,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-05-03,3018.0,2638.0,7732.0
2020-05-04,2851.0,2417.0,7749.0
2020-05-05,3710.0,2932.0,9594.0
2020-05-06,3388.0,2646.0,8811.0
2020-05-07,3262.0,2718.0,8816.0
2020-05-08,4263.0,3276.0,10910.0
2020-05-09,3891.0,3844.0,11047.0
2020-05-10,3450.0,2976.0,8634.0
2020-05-11,3096.0,2440.0,8284.0
2020-05-12,3389.0,2566.0,8754.0
2020-05-13,3510.0,2515.0,8992.0
2020-05-14,3799.0,2716.0,9601.0
2020-05-15,4337.0,3017.0,10801.0
2020-05-16,4046.0,3130.0,10577.0
2020-05-17,3433.0,2689.0,8514.0
2020-05-18,3879.0,2812.0,10475.0
2020-05-19,4328.0,2784.0,10756.0
2020-05-20,4371.0,2809.0,10927.0
2020-05-21,4506.0,2892.0,11214.0
2020-05-22,5097.0,3325.0,13458.0
2020-05-23,4723.0,3200.0,12734.0
2020-05-24,3894.0,2809.0,10469.0
2020-05-25,3865.0,2622.0,10271.0
2020-05-26,4347.0,2910.0,11212.0
2020-05-27,4606.0,2734.0,11208.0
2020-05-28,4445.0,2826.0,11183.0
2020-05-29,5581.0,3293.0,13860.0
2020-05-30,5301.0,3146.0,13433.0
2020-05-31,4638.0,2958.0,11214.0
2020-06-01,4479.0,3061.0,11918.0
2020-06-02,4589.0,2988.0,11999.0
2020-06-03,4675.0,3058.0,12247.0
2020-06-04,4812.0,3146.0,12675.0
2020-06-05,5493.0,3438.0,14116.0
2020-06-06,5505.0,3325.0,14055.0
2020-06-07,4302.0,2957.0,11261.0
2020-06-08,4519.0,3087.0,11845.0
2020-06-09,4722.0,3026.0,12170.0
2020-06-10,4973.0,3081.0,12540.0
2020-06-11,5407.0,3054.0,13131.0
2020-06-12,6281.0,3339.0,14942.0
2020-06-13,6258.0,3326.0,15222.0
2020-06-14,4982.0,3125.0,12486.0
