Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
04/01/2017 05:00,N.Y.C.,61761,26.27,1.02,-14.71
04/01/2017 05:00,NORTH,61755,10.14,-0.40,0.00
04/01/2017 05:00,NPX,61845,28.60,0.75,-17.31
04/01/2017 05:00,O H,61846,11.39,-0.16,-1.01
04/01/2017 05:00,PJM,61847,17.46,0.32,-6.60
04/01/2017 05:00,WEST,61752,11.59,0.06,-0.98
04/01/2017 06:00,CAPITL,61757,30.46,0.55,-19.31
04/01/2017 06:00,CENTRL,61754,11.73,0.18,-0.95
04/01/2017 06:00,DUNWOD,61760,25.47,0.96,-13.90
04/01/2017 06:00,GENESE,61753,11.21,-0.12,-0.73
04/01/2017 06:00,H Q,61844,10.27,-0.33,0.00
04/01/2017 06:00,HUD VL,61758,24.56,0.85,-13.12
04/01/2017 06:00,LONGIL,61762,25.92,1.41,-13.91
04/01/2017 06:00,MHK VL,61756,12.28,0.24,-1.43
04/01/2017 06:00,MILLWD,61759,25.51,0.93,-13.98
04/01/2017 06:00,N.Y.C.,61761,25.57,1.07,-13.90
04/01/2017 06:00,NORTH,61755,10.15,-0.44,0.00
04/01/2017 06:00,NPX,61845,27.76,0.80,-16.37
04/01/2017 06:00,O H,61846,11.39,-0.16,-0.95
04/01/2017 06:00,PJM,61847,17.22,0.38,-6.24
04/01/2017 06:00,WEST,61752,11.58,0.05,-0.93
04/01/2017 07:00,CAPITL,61757,33.02,0.86,-15.21
04/01/2017 07:00,CENTRL,61754,17.99,0.29,-0.75
04/01/2017 07:00,DUNWOD,61760,29.65,1.86,-10.84
04/01/2017 07:00,GENESE,61753,17.31,-0.20,-0.57
04/01/2017 07:00,H Q,61844,17.95,-0.59,-1.60
04/01/2017 07:00,HUD VL,61758,28.79,1.59,-10.25
04/01/2017 07:00,LONGIL,61762,31.50,2.71,-11.84
04/01/2017 07:00,MHK VL,61756,18.42,0.39,-1.09
04/01/2017 07:00,MILLWD,61759,29.68,1.83,-10.90
04/01/2017 07:00,N.Y.C.,61761,29.85,2.07,-10.84
04/01/2017 07:00,NORTH,61755,16.10,-0.85,0.00
04/01/2017 07:00,NPX,61845,32.62,1.51,-14.17
04/01/2017 07:00,O H,61846,18.90,-0.39,-2.34
04/01/2017 07:00,PJM,61847,24.04,0.63,-6.46
04/01/2017 07:00,WEST,61752,17.69,0.02,-0.73
04/01/2017 08:00,CAPITL,61757,36.56,1.63,-5.83
04/01/2017 08:00,CENTRL,61754,29.62,0.23,-0.29
04/01/2017 08:00,DUNWOD,61760,36.54,3.29,-4.15
04/01/2017 08:00,GENESE,61753,28.51,-0.81,-0.22
04/01/2017 08:00,H Q,61844,26.57,-0.93,1.60
04/01/2017 08:00,HUD VL,61758,35.91,2.88,-3.93
04/01/2017 08:00,LONGIL,61762,37.71,4.45,-4.16
04/01/2017 08:00,MHK VL,61756,30.25,0.73,-0.42
04/01/2017 08:00,MILLWD,61759,36.57,3.29,-4.18
04/01/2017 08:00,N.Y.C.,61761,36.86,3.61,-4.16
04/01/2017 08:00,NORTH,61755,27.88,-1.22,0.00
04/01/2017 08:00,NPX,61845,34.97,2.65,-3.22
04/01/2017 08:00,O H,61846,26.19,-1.60,1.31
04/01/2017 08:00,PJM,61847,30.01,0.64,-0.27
04/01/2017 08:00,WEST,61752,28.36,-1.02,-0.28
04/01/2017 09:00,CAPITL,61757,42.10,1.62,-11.50
04/01/2017 09:00,CENTRL,61754,29.77,0.23,-0.57
04/01/2017 09:00,DUNWOD,61760,40.41,3.24,-8.19
04/01/2017 09:00,GENESE,61753,28.65,-0.75,-0.43
04/01/2017 09:00,H Q,61844,28.04,-0.93,0.00
04/01/2017 09:00,HUD VL,61758,39.59,2.87,-7.75
04/01/2017 09:00,LONGIL,61762,41.31,4.14,-8.20
04/01/2017 09:00,MHK VL,61756,30.46,0.67,-0.82
04/01/2017 09:00,MILLWD,61759,40.49,3.27,-8.24
04/01/2017 09:00,N.Y.C.,61761,40.76,3.59,-8.19
04/01/2017 09:00,NORTH,61755,27.78,-1.19,0.00
04/01/2017 09:00,NPX,61845,41.05,2.58,-9.50
04/01/2017 09:00,O H,61846,28.00,-1.54,-0.56
04/01/2017 09:00,PJM,61847,33.23,0.58,-3.68
04/01/2017 09:00,WEST,61752,28.59,-0.93,-0.55
04/01/2017 10:00,CAPITL,61757,42.40,1.71,-12.25
04/01/2017 10:00,CENTRL,61754,29.24,0.20,-0.61
04/01/2017 10:00,DUNWOD,61760,40.38,3.21,-8.73
04/01/2017 10:00,GENESE,61753,28.10,-0.80,-0.46
04/01/2017 10:00,H Q,61844,27.53,-0.91,0.00
04/01/2017 10:00,HUD VL,61758,39.51,2.82,-8.26
04/01/2017 10:00,LONGIL,61762,41.03,3.87,-8.73
04/01/2017 10:00,MHK VL,61756,29.97,0.65,-0.87
04/01/2017 10:00,MILLWD,61759,40.46,3.24,-8.78
04/01/2017 10:00,N.Y.C.,61761,40.75,3.58,-8.73
