Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
01/17/2019 00:00,CAPITL,61757,36.38,2.72,-1.31
01/17/2019 00:00,CENTRL,61754,32.93,0.42,-0.17
01/17/2019 00:00,DUNWOD,61760,35.93,2.62,-0.96
01/17/2019 00:00,GENESE,61753,31.92,-0.55,-0.12
01/17/2019 00:00,H Q,61844,31.41,-0.94,0.00
01/17/2019 00:00,HUD VL,61758,35.66,2.36,-0.95
01/17/2019 00:00,LONGIL,61762,40.67,4.34,-3.98
01/17/2019 00:00,MHK VL,61756,33.73,1.20,-0.18
01/17/2019 00:00,MILLWD,61759,35.91,2.59,-0.97
01/17/2019 00:00,N.Y.C.,61761,36.22,2.91,-0.96
01/17/2019 00:00,NORTH,61755,31.25,-1.10,0.00
01/17/2019 00:00,NPX,61845,46.00,2.65,-11.00
01/17/2019 00:00,O H,61846,31.50,-1.00,-0.16
01/17/2019 00:00,PJM,61847,33.74,0.84,-0.55
01/17/2019 00:00,WEST,61752,32.37,-0.13,-0.16
01/17/2019 01:00,CAPITL,61757,36.18,2.58,-1.71
01/17/2019 01:00,CENTRL,61754,32.55,0.45,-0.22
01/17/2019 01:00,DUNWOD,61760,35.65,2.52,-1.25
01/17/2019 01:00,GENESE,61753,31.41,-0.64,-0.16
01/17/2019 01:00,H Q,61844,30.96,-0.93,0.00
01/17/2019 01:00,HUD VL,61758,35.42,2.30,-1.24
01/17/2019 01:00,LONGIL,61762,40.44,4.21,-4.35
01/17/2019 01:00,MHK VL,61756,33.27,1.15,-0.24
01/17/2019 01:00,MILLWD,61759,35.64,2.49,-1.27
01/17/2019 01:00,N.Y.C.,61761,35.88,2.74,-1.25
01/17/2019 01:00,NORTH,61755,30.77,-1.12,0.00
01/17/2019 01:00,NPX,61845,46.98,2.58,-12.51
01/17/2019 01:00,O H,61846,31.01,-1.08,-0.21
01/17/2019 01:00,PJM,61847,33.37,0.76,-0.72
01/17/2019 01:00,WEST,61752,31.87,-0.22,-0.20
01/17/2019 02:00,CAPITL,61757,33.43,2.56,0.00
01/17/2019 02:00,CENTRL,61754,31.34,0.46,0.00
01/17/2019 02:00,DUNWOD,61760,33.22,2.35,0.00
01/17/2019 02:00,GENESE,61753,30.50,-0.37,0.00
01/17/2019 02:00,H Q,61844,29.95,-0.93,0.00
01/17/2019 02:00,HUD VL,61758,33.03,2.16,0.00
01/17/2019 02:00,LONGIL,61762,34.71,3.83,-0.01
01/17/2019 02:00,MHK VL,61756,31.95,1.08,0.00
01/17/2019 02:00,MILLWD,61759,33.22,2.35,0.00
01/17/2019 02:00,N.Y.C.,61761,33.41,2.53,0.00
01/17/2019 02:00,NORTH,61755,29.76,-1.11,0.00
01/17/2019 02:00,NPX,61845,44.00,2.47,-10.66
01/17/2019 02:00,O H,61846,30.07,-0.80,0.00
01/17/2019 02:00,PJM,61847,31.67,0.80,0.00
01/17/2019 02:00,WEST,61752,30.87,0.00,0.00
01/17/2019 03:00,CAPITL,61757,33.41,2.53,0.00
01/17/2019 03:00,CENTRL,61754,31.34,0.46,0.00
01/17/2019 03:00,DUNWOD,61760,33.22,2.35,0.00
01/17/2019 03:00,GENESE,61753,30.44,-0.43,0.00
01/17/2019 03:00,H Q,61844,29.95,-0.93,0.00
01/17/2019 03:00,HUD VL,61758,33.04,2.16,0.00
01/17/2019 03:00,LONGIL,61762,34.74,3.86,-0.01
01/17/2019 03:00,MHK VL,61756,31.96,1.08,0.00
01/17/2019 03:00,MILLWD,61759,33.22,2.35,0.00
01/17/2019 03:00,N.Y.C.,61761,33.41,2.53,0.00
01/17/2019 03:00,NORTH,61755,29.83,-1.05,0.00
01/17/2019 03:00,NPX,61845,46.65,2.47,-13.30
01/17/2019 03:00,O H,61846,29.95,-0.93,0.00
01/17/2019 03:00,PJM,61847,31.65,0.77,0.00
01/17/2019 03:00,WEST,61752,30.72,-0.15,0.00
01/17/2019 04:00,CAPITL,61757,34.29,2.69,0.00
01/17/2019 04:00,CENTRL,61754,32.15,0.54,0.00
01/17/2019 04:00,DUNWOD,61760,33.92,2.31,0.00
01/17/2019 04:00,GENESE,61753,31.23,-0.38,0.00
01/17/2019 04:00,H Q,61844,30.66,-0.95,0.00
01/17/2019 04:00,HUD VL,61758,33.76,2.15,0.00
01/17/2019 04:00,LONGIL,61762,35.31,3.70,-0.01
01/17/2019 04:00,MHK VL,61756,32.81,1.20,0.00
01/17/2019 04:00,MILLWD,61759,33.89,2.28,0.00
01/17/2019 04:00,N.Y.C.,61761,34.11,2.50,0.00
01/17/2019 04:00,NORTH,61755,30.47,-1.14,0.00
01/17/2019 04:00,NPX,61845,45.00,2.50,-10.89
01/17/2019 04:00,O H,61846,30.72,-0.88,0.00
01/17/2019 04:00,PJM,61847,32.40,0.79,0.00
01/17/2019 04:00,WEST,61752,31.55,-0.06,0.00
01/17/2019 05:00,CAPITL,61757,39.81,2.71,0.00
01/17/2019 05:00,CENTRL,61754,37.55,0.45,0.00
01/17/2019 05:00,DUNWOD,61760,39.36,2.26,0.00
01/17/2019 05:00,GENESE,61753,36.50,-0.60,0.00
01/17/2019 05:00,H Q,61844,27.59,-0.60,8.91
01/17/2019 05:00,HUD VL,61758,39.21,2.11,0.00
01/17/2019 05:00,LONGIL,61762,50.07,4.26,-8.70
01/17/2019 05:00,MHK VL,61756,38.54,1.45,0.00
01/17/2019 05:00,MILLWD,61759,39.32,2.23,0.00
01/17/2019 05:00,N.Y.C.,61761,39.47,2.38,0.00
01/17/2019 05:00,NORTH,61755,36.76,-0.33,0.00
01/17/2019 05:00,NPX,61845,49.00,2.52,-9.38
01/17/2019 05:00,O H,61846,35.84,-1.26,0.00
01/17/2019 05:00,PJM,61847,37.69,0.59,0.00
01/17/2019 05:00,WEST,61752,36.91,-0.18,0.00
01/17/2019 06:00,CAPITL,61757,53.28,3.58,0.00
01/17/2019 06:00,CENTRL,61754,49.46,-0.25,0.00
01/17/2019 06:00,DUNWOD,61760,52.49,2.78,0.00
01/17/2019 06:00,GENESE,61753,46.97,-2.73,0.00
01/17/2019 06:00,H Q,61844,58.32,-0.30,-8.91
01/17/2019 06:00,HUD VL,61758,52.39,2.68,0.00
01/17/2019 06:00,LONGIL,61762,55.60,5.37,-0.52
01/17/2019 06:00,MHK VL,61756,51.64,1.94,0.00
01/17/2019 06:00,MILLWD,61759,52.59,2.88,0.00
01/17/2019 06:00,N.Y.C.,61761,52.48,2.78,0.00
01/17/2019 06:00,NORTH,61755,50.00,0.30,0.00
01/17/2019 06:00,NPX,61845,65.00,3.18,-12.11
01/17/2019 06:00,O H,61846,44.88,-4.82,0.00
01/17/2019 06:00,PJM,61847,49.11,-0.59,0.00
01/17/2019 06:00,WEST,61752,46.22,-3.48,0.00
01/17/2019 07:00,CAPITL,61757,57.77,3.01,0.00
01/17/2019 07:00,CENTRL,61754,54.49,-0.27,0.00
01/17/2019 07:00,DUNWOD,61760,57.66,2.90,0.00
01/17/2019 07:00,GENESE,61753,52.02,-2.74,0.00
01/17/2019 07:00,H Q,61844,54.76,0.00,0.00
01/17/2019 07:00,HUD VL,61758,57.66,2.90,0.00
01/17/2019 07:00,LONGIL,61762,60.57,5.59,-0.22
01/17/2019 07:00,MHK VL,61756,56.79,2.03,0.00
01/17/2019 07:00,MILLWD,61759,57.82,3.06,0.00
01/17/2019 07:00,N.Y.C.,61761,57.60,2.85,0.00
01/17/2019 07:00,NORTH,61755,55.42,0.66,0.00
01/17/2019 07:00,NPX,61845,71.54,3.06,-13.72
01/17/2019 07:00,O H,61846,49.78,-4.98,0.00
01/17/2019 07:00,PJM,61847,53.15,-0.71,0.90
01/17/2019 07:00,WEST,61752,51.36,-3.40,0.00
01/17/2019 08:00,CAPITL,61757,54.69,3.72,0.00
01/17/2019 08:00,CENTRL,61754,50.62,-0.35,0.00
01/17/2019 08:00,DUNWOD,61760,54.59,3.62,0.00
01/17/2019 08:00,GENESE,61753,48.32,-2.65,0.00
01/17/2019 08:00,H Q,61844,51.41,-0.30,-0.74
01/17/2019 08:00,HUD VL,61758,54.44,3.47,0.00
01/17/2019 08:00,LONGIL,61762,56.71,5.71,-0.02
01/17/2019 08:00,MHK VL,61756,52.86,1.89,0.00
01/17/2019 08:00,MILLWD,61759,54.69,3.72,0.00
01/17/2019 08:00,N.Y.C.,61761,54.74,3.77,0.00
01/17/2019 08:00,NORTH,61755,51.13,0.15,0.00
01/17/2019 08:00,NPX,61845,74.45,3.62,-19.86
01/17/2019 08:00,O H,61846,47.08,-4.64,-0.74
01/17/2019 08:00,PJM,61847,50.82,-0.20,-0.05
01/17/2019 08:00,WEST,61752,48.03,-2.96,-0.01
01/17/2019 09:00,CAPITL,61757,50.77,3.72,0.00
01/17/2019 09:00,CENTRL,61754,46.96,-0.09,0.00
01/17/2019 09:00,DUNWOD,61760,50.82,3.77,0.00
01/17/2019 09:00,GENESE,61753,44.93,-2.30,-0.18
01/17/2019 09:00,H Q,61844,45.70,-0.61,0.74
01/17/2019 09:00,HUD VL,61758,50.63,3.57,0.00
01/17/2019 09:00,LONGIL,61762,55.44,6.11,-2.27
01/17/2019 09:00,MHK VL,61756,48.94,1.88,0.00
01/17/2019 09:00,MILLWD,61759,50.82,3.77,0.00
01/17/2019 09:00,N.Y.C.,61761,50.96,3.90,0.00
01/17/2019 09:00,NORTH,61755,46.91,-0.14,0.00
01/17/2019 09:00,NPX,61845,68.31,3.67,-17.58
01/17/2019 09:00,O H,61846,41.83,-4.00,1.22
01/17/2019 09:00,PJM,61847,46.93,0.09,0.22
01/17/2019 09:00,WEST,61752,49.53,-2.30,-4.78
01/17/2019 10:00,CAPITL,61757,45.18,3.58,0.00
01/17/2019 10:00,CENTRL,61754,42.08,0.21,-0.27
01/17/2019 10:00,DUNWOD,61760,45.59,3.99,0.00
01/17/2019 10:00,GENESE,61753,38.60,-1.58,1.42
01/17/2019 10:00,H Q,61844,40.68,-0.92,0.00
01/17/2019 10:00,HUD VL,61758,45.26,3.66,0.00
01/17/2019 10:00,LONGIL,61762,56.97,6.07,-9.30
01/17/2019 10:00,MHK VL,61756,43.47,1.87,0.00
01/17/2019 10:00,MILLWD,61759,45.51,3.91,0.00
01/17/2019 10:00,N.Y.C.,61761,45.92,4.33,0.00
01/17/2019 10:00,NORTH,61755,41.10,-0.50,0.00
01/17/2019 10:00,NPX,61845,54.20,3.70,-8.90
01/17/2019 10:00,O H,61846,37.78,-2.87,0.95
01/17/2019 10:00,PJM,61847,44.28,0.66,-2.02
01/17/2019 10:00,WEST,61752,56.02,-1.29,-15.71
01/17/2019 11:00,CAPITL,61757,43.41,3.16,-3.93
01/17/2019 11:00,CENTRL,61754,37.17,0.36,-0.50
01/17/2019 11:00,DUNWOD,61760,42.78,3.63,-2.84
01/17/2019 11:00,GENESE,61753,35.88,-1.13,-0.70
01/17/2019 11:00,H Q,61844,35.37,-0.94,0.00
01/17/2019 11:00,HUD VL,61758,42.43,3.30,-2.81
01/17/2019 11:00,LONGIL,61762,50.53,5.48,-8.73
01/17/2019 11:00,MHK VL,61756,38.47,1.64,-0.52
01/17/2019 11:00,MILLWD,61759,42.71,3.52,-2.88
01/17/2019 11:00,N.Y.C.,61761,43.14,3.99,-2.84
01/17/2019 11:00,NORTH,61755,35.66,-0.65,0.00
01/17/2019 11:00,NPX,61845,51.60,3.34,-11.95
01/17/2019 11:00,O H,61846,33.82,-2.07,0.42
01/17/2019 11:00,PJM,61847,40.64,0.91,-3.42
01/17/2019 11:00,WEST,61752,45.00,-0.69,-9.38
01/17/2019 12:00,CAPITL,61757,42.38,2.99,-5.38
01/17/2019 12:00,CENTRL,61754,34.99,0.31,-0.68
01/17/2019 12:00,DUNWOD,61760,41.39,3.50,-3.88
01/17/2019 12:00,GENESE,61753,33.23,-1.09,-0.31
01/17/2019 12:00,H Q,61844,33.16,-0.85,0.00
01/17/2019 12:00,HUD VL,61758,40.98,3.13,-3.84
01/17/2019 12:00,LONGIL,61762,47.53,5.20,-8.32
01/17/2019 12:00,MHK VL,61756,36.12,1.39,-0.71
01/17/2019 12:00,MILLWD,61759,41.28,3.33,-3.93
01/17/2019 12:00,N.Y.C.,61761,41.76,3.88,-3.88
01/17/2019 12:00,NORTH,61755,33.43,-0.58,0.00
01/17/2019 12:00,NPX,61845,49.31,3.20,-12.11
01/17/2019 12:00,O H,61846,32.42,-1.90,-0.32
01/17/2019 12:00,PJM,61847,38.15,0.92,-3.23
01/17/2019 12:00,WEST,61752,39.98,-0.58,-6.55
01/17/2019 13:00,CAPITL,61757,41.36,3.00,-4.34
01/17/2019 13:00,CENTRL,61754,34.92,0.34,-0.55
01/17/2019 13:00,DUNWOD,61760,40.69,3.54,-3.12
01/17/2019 13:00,GENESE,61753,33.17,-1.06,-0.20
01/17/2019 13:00,H Q,61844,33.14,-0.88,0.00
01/17/2019 13:00,HUD VL,61758,40.29,3.17,-3.10
01/17/2019 13:00,LONGIL,61762,47.11,5.24,-7.84
01/17/2019 13:00,MHK VL,61756,36.00,1.40,-0.57
01/17/2019 13:00,MILLWD,61759,40.57,3.37,-3.17
01/17/2019 13:00,N.Y.C.,61761,41.07,3.91,-3.12
01/17/2019 13:00,NORTH,61755,33.45,-0.58,0.00
01/17/2019 13:00,NPX,61845,48.30,3.20,-11.07
01/17/2019 13:00,O H,61846,32.35,-1.84,-0.16
01/17/2019 13:00,PJM,61847,37.87,0.95,-2.89
01/17/2019 13:00,WEST,61752,40.53,-0.51,-7.01
01/17/2019 14:00,CAPITL,61757,41.47,2.88,-5.49
01/17/2019 14:00,CENTRL,61754,34.13,0.33,-0.69
01/17/2019 14:00,DUNWOD,61760,40.47,3.41,-3.96
01/17/2019 14:00,GENESE,61753,32.44,-0.96,-0.30
01/17/2019 14:00,H Q,61844,32.24,-0.86,0.00
01/17/2019 14:00,HUD VL,61758,40.07,3.04,-3.92
01/17/2019 14:00,LONGIL,61762,49.58,5.10,-11.38
01/17/2019 14:00,MHK VL,61756,35.19,1.36,-0.73
01/17/2019 14:00,MILLWD,61759,40.40,3.28,-4.01
01/17/2019 14:00,N.Y.C.,61761,40.80,3.74,-3.96
01/17/2019 14:00,NORTH,61755,32.51,-0.59,0.00
01/17/2019 14:00,NPX,61845,48.45,3.08,-12.26
01/17/2019 14:00,O H,61846,31.78,-1.62,-0.29
01/17/2019 14:00,PJM,61847,37.48,0.99,-3.38
01/17/2019 14:00,WEST,61752,40.00,-0.33,-7.23
01/17/2019 15:00,CAPITL,61757,40.60,2.96,-2.41
01/17/2019 15:00,CENTRL,61754,35.67,0.14,-0.30
01/17/2019 15:00,DUNWOD,61760,40.52,3.56,-1.74
01/17/2019 15:00,GENESE,61753,33.92,-1.45,-0.14
01/17/2019 15:00,H Q,61844,18.34,-0.78,16.11
01/17/2019 15:00,HUD VL,61758,40.16,3.21,-1.72
01/17/2019 15:00,LONGIL,61762,50.92,5.35,-10.34
01/17/2019 15:00,MHK VL,61756,36.96,1.41,-0.32
01/17/2019 15:00,MILLWD,61759,40.38,3.38,-1.76
01/17/2019 15:00,N.Y.C.,61761,40.91,3.94,-1.74
01/17/2019 15:00,NORTH,61755,34.70,-0.53,0.00
01/17/2019 15:00,NPX,61845,50.00,3.21,-11.57
01/17/2019 15:00,O H,61846,32.80,-2.36,0.07
01/17/2019 15:00,PJM,61847,37.20,0.74,-1.23
01/17/2019 15:00,WEST,61752,37.00,-1.13,-2.90
01/17/2019 16:00,CAPITL,61757,46.63,3.01,0.00
01/17/2019 16:00,CENTRL,61754,43.41,-0.22,0.00
01/17/2019 16:00,DUNWOD,61760,47.50,3.88,0.00
01/17/2019 16:00,GENESE,61753,41.24,-2.36,0.02
01/17/2019 16:00,H Q,61844,59.30,-0.44,-16.11
