Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
03/13/2017 00:00,CAPITL,61757,56.28,1.75,-30.86
03/13/2017 00:00,CENTRL,61754,27.76,0.52,-3.56
03/13/2017 00:00,DUNWOD,61760,49.73,2.27,-23.78
03/13/2017 00:00,GENESE,61753,26.39,-0.07,-2.78
03/13/2017 00:00,H Q,61844,22.89,-0.78,0.00
03/13/2017 00:00,HUD VL,61758,49.41,2.22,-23.52
03/13/2017 00:00,LONGIL,61762,65.45,3.22,-38.56
03/13/2017 00:00,MHK VL,61756,28.43,0.71,-4.04
03/13/2017 00:00,MILLWD,61759,49.98,2.32,-23.98
03/13/2017 00:00,N.Y.C.,61761,49.88,2.42,-23.79
03/13/2017 00:00,NORTH,61755,22.54,-1.14,0.00
03/13/2017 00:00,NPX,61845,53.16,1.82,-27.66
03/13/2017 00:00,O H,61846,26.84,-0.64,-3.80
03/13/2017 00:00,PJM,61847,37.53,0.64,-13.21
03/13/2017 00:00,WEST,61752,27.27,-0.05,-3.64
03/13/2017 01:00,CAPITL,61757,51.65,1.54,-29.30
03/13/2017 01:00,CENTRL,61754,24.61,0.42,-3.38
03/13/2017 01:00,DUNWOD,61760,45.38,1.98,-22.58
03/13/2017 01:00,GENESE,61753,23.33,-0.12,-2.64
03/13/2017 01:00,H Q,61844,20.15,-0.67,0.00
03/13/2017 01:00,HUD VL,61758,45.08,1.94,-22.33
03/13/2017 01:00,LONGIL,61762,58.23,2.81,-34.61
03/13/2017 01:00,MHK VL,61756,25.28,0.62,-3.84
03/13/2017 01:00,MILLWD,61759,45.60,2.02,-22.77
03/13/2017 01:00,N.Y.C.,61761,45.49,2.08,-22.59
03/13/2017 01:00,NORTH,61755,19.88,-0.94,0.00
03/13/2017 01:00,NPX,61845,48.68,1.60,-26.26
03/13/2017 01:00,O H,61846,23.82,-0.60,-3.61
03/13/2017 01:00,PJM,61847,33.90,0.54,-12.55
03/13/2017 01:00,WEST,61752,24.17,-0.10,-3.46
03/13/2017 02:00,CAPITL,61757,44.00,1.73,-17.19
03/13/2017 02:00,CENTRL,61754,27.54,0.48,-1.99
03/13/2017 02:00,DUNWOD,61760,40.69,2.36,-13.25
03/13/2017 02:00,GENESE,61753,26.41,-0.23,-1.55
03/13/2017 02:00,H Q,61844,24.28,-0.80,0.00
03/13/2017 02:00,HUD VL,61758,40.51,2.33,-13.10
03/13/2017 02:00,LONGIL,61762,53.15,3.36,-24.70
03/13/2017 02:00,MHK VL,61756,28.06,0.73,-2.25
03/13/2017 02:00,MILLWD,61759,40.87,2.43,-13.36
03/13/2017 02:00,N.Y.C.,61761,40.82,2.48,-13.26
03/13/2017 02:00,NORTH,61755,23.98,-1.10,0.00
03/13/2017 02:00,NPX,61845,42.42,1.93,-15.41
03/13/2017 02:00,O H,61846,26.42,-0.78,-2.12
03/13/2017 02:00,PJM,61847,33.07,0.63,-7.36
03/13/2017 02:00,WEST,61752,26.91,-0.20,-2.03
03/13/2017 03:00,CAPITL,61757,44.65,1.85,-17.50
03/13/2017 03:00,CENTRL,61754,27.82,0.51,-2.02
03/13/2017 03:00,DUNWOD,61760,41.19,2.40,-13.49
03/13/2017 03:00,GENESE,61753,26.70,-0.18,-1.58
03/13/2017 03:00,H Q,61844,24.49,-0.81,0.00
03/13/2017 03:00,HUD VL,61758,40.99,2.35,-13.34
03/13/2017 03:00,LONGIL,61762,53.62,3.41,-24.91
03/13/2017 03:00,MHK VL,61756,28.33,0.73,-2.29
03/13/2017 03:00,MILLWD,61759,41.36,2.45,-13.60
03/13/2017 03:00,N.Y.C.,61761,41.32,2.53,-13.50
03/13/2017 03:00,NORTH,61755,24.16,-1.14,0.00
03/13/2017 03:00,NPX,61845,42.96,1.97,-15.69
03/13/2017 03:00,O H,61846,26.69,-0.76,-2.16
03/13/2017 03:00,PJM,61847,33.50,0.71,-7.50
03/13/2017 03:00,WEST,61752,27.21,-0.15,-2.07
03/13/2017 04:00,CAPITL,61757,45.35,2.03,-15.53
03/13/2017 04:00,CENTRL,61754,30.17,0.58,-1.79
03/13/2017 04:00,DUNWOD,61760,42.37,2.61,-11.97
03/13/2017 04:00,GENESE,61753,29.08,-0.11,-1.40
03/13/2017 04:00,H Q,61844,26.90,-0.89,0.00
03/13/2017 04:00,HUD VL,61758,42.21,2.58,-11.83
03/13/2017 04:00,LONGIL,61762,54.50,3.73,-22.99
03/13/2017 04:00,MHK VL,61756,30.69,0.86,-2.04
03/13/2017 04:00,MILLWD,61759,42.55,2.69,-12.07
03/13/2017 04:00,N.Y.C.,61761,42.52,2.75,-11.97
03/13/2017 04:00,NORTH,61755,26.57,-1.22,0.00
03/13/2017 04:00,NPX,61845,43.88,2.17,-13.92
03/13/2017 04:00,O H,61846,28.90,-0.81,-1.91
03/13/2017 04:00,PJM,61847,35.22,0.78,-6.65
03/13/2017 04:00,WEST,61752,29.51,-0.11,-1.83
03/13/2017 05:00,CAPITL,61757,52.25,2.43,-15.54
03/13/2017 05:00,CENTRL,61754,36.75,0.65,-1.82
03/13/2017 05:00,DUNWOD,61760,49.51,3.26,-11.97
03/13/2017 05:00,GENESE,61753,35.56,-0.14,-1.41
03/13/2017 05:00,H Q,61844,33.22,-1.06,0.00
03/13/2017 05:00,HUD VL,61758,49.31,3.19,-11.84
03/13/2017 05:00,LONGIL,61762,60.77,4.63,-21.86
03/13/2017 05:00,MHK VL,61756,37.37,1.10,-1.99
03/13/2017 05:00,MILLWD,61759,49.72,3.36,-12.08
03/13/2017 05:00,N.Y.C.,61761,49.69,3.43,-11.98
03/13/2017 05:00,NORTH,61755,32.91,-1.37,0.00
03/13/2017 05:00,NPX,61845,50.88,2.68,-13.92
03/13/2017 05:00,O H,61846,35.00,-1.41,-2.13
03/13/2017 05:00,PJM,61847,41.74,0.72,-6.74
03/13/2017 05:00,WEST,61752,35.76,-0.55,-2.03
03/13/2017 06:00,CAPITL,61757,81.35,2.07,-47.84
03/13/2017 06:00,CENTRL,61754,39.91,0.66,-7.81
03/13/2017 06:00,DUNWOD,61760,73.61,3.14,-39.03
03/13/2017 06:00,GENESE,61753,37.21,-0.22,-6.00
03/13/2017 06:00,H Q,61844,30.65,-0.78,0.00
03/13/2017 06:00,HUD VL,61758,73.18,3.08,-38.66
03/13/2017 06:00,LONGIL,61762,78.82,4.40,-42.99
03/13/2017 06:00,MHK VL,61756,41.16,1.32,-8.41
03/13/2017 06:00,MILLWD,61759,74.03,3.30,-39.30
03/13/2017 06:00,N.Y.C.,61761,73.76,3.30,-39.03
03/13/2017 06:00,NORTH,61755,30.65,-0.78,0.00
03/13/2017 06:00,NPX,61845,77.51,2.26,-43.81
03/13/2017 06:00,O H,61846,38.38,-2.14,-9.08
03/13/2017 06:00,PJM,61847,55.43,0.53,-23.46
03/13/2017 06:00,WEST,61752,38.69,-1.41,-8.67
03/13/2017 07:00,CAPITL,61757,89.18,3.03,-38.15
03/13/2017 07:00,CENTRL,61754,55.16,0.91,-6.25
03/13/2017 07:00,DUNWOD,61760,84.16,5.04,-31.12
03/13/2017 07:00,GENESE,61753,52.01,-0.72,-4.73
03/13/2017 07:00,H Q,61844,46.90,-1.10,0.00
03/13/2017 07:00,HUD VL,61758,83.74,4.95,-30.79
03/13/2017 07:00,LONGIL,61762,86.62,6.53,-32.09
03/13/2017 07:00,MHK VL,61756,56.80,2.21,-6.59
03/13/2017 07:00,MILLWD,61759,84.63,5.28,-31.35
03/13/2017 07:00,N.Y.C.,61761,84.59,5.47,-31.12
03/13/2017 07:00,NORTH,61755,47.14,-0.86,0.00
03/13/2017 07:00,NPX,61845,86.21,3.27,-34.94
03/13/2017 07:00,O H,61846,51.62,-3.60,-7.22
03/13/2017 07:00,PJM,61847,67.42,0.72,-18.70
03/13/2017 07:00,WEST,61752,52.50,-2.40,-6.90
03/13/2017 08:00,CAPITL,61757,79.69,3.15,-32.86
03/13/2017 08:00,CENTRL,61754,50.09,1.05,-5.36
03/13/2017 08:00,DUNWOD,61760,75.78,5.28,-26.81
03/13/2017 08:00,GENESE,61753,47.24,-0.48,-4.04
03/13/2017 08:00,H Q,61844,42.37,-1.31,0.00
03/13/2017 08:00,HUD VL,61758,75.58,5.11,-26.79
03/13/2017 08:00,LONGIL,61762,80.46,6.81,-29.97
03/13/2017 08:00,MHK VL,61756,51.23,2.01,-5.54
03/13/2017 08:00,MILLWD,61759,76.17,5.46,-27.02
03/13/2017 08:00,N.Y.C.,61761,76.22,5.72,-26.82
03/13/2017 08:00,NORTH,61755,42.02,-1.66,0.00
03/13/2017 08:00,NPX,61845,77.31,3.54,-30.09
03/13/2017 08:00,O H,61846,39.60,-2.88,1.20
03/13/2017 08:00,PJM,61847,60.72,1.18,-15.86
03/13/2017 08:00,WEST,61752,47.68,-1.92,-5.92
03/13/2017 09:00,CAPITL,61757,79.46,2.41,-43.15
03/13/2017 09:00,CENTRL,61754,41.75,0.81,-7.03
03/13/2017 09:00,DUNWOD,61760,73.29,4.17,-35.22
03/13/2017 09:00,GENESE,61753,38.87,-0.34,-5.30
03/13/2017 09:00,H Q,61844,32.85,-1.05,0.00
03/13/2017 09:00,HUD VL,61758,73.09,4.00,-35.19
03/13/2017 09:00,LONGIL,61762,80.13,5.42,-40.81
03/13/2017 09:00,MHK VL,61756,42.71,1.53,-7.28
03/13/2017 09:00,MILLWD,61759,73.63,4.24,-35.49
03/13/2017 09:00,N.Y.C.,61761,73.70,4.57,-35.22
03/13/2017 09:00,NORTH,61755,32.58,-1.32,0.00
03/13/2017 09:00,NPX,61845,76.17,2.74,-39.52
03/13/2017 09:00,O H,61846,39.54,-2.31,-7.95
03/13/2017 09:00,PJM,61847,55.58,0.85,-20.83
03/13/2017 09:00,WEST,61752,40.15,-1.52,-7.78
03/13/2017 10:00,CAPITL,61757,77.68,2.17,-44.99
03/13/2017 10:00,CENTRL,61754,38.71,0.85,-7.33
03/13/2017 10:00,DUNWOD,61760,71.12,3.88,-36.71
03/13/2017 10:00,GENESE,61753,35.72,-0.34,-5.53
03/13/2017 10:00,H Q,61844,29.55,-0.98,0.00
03/13/2017 10:00,HUD VL,61758,70.93,3.72,-36.69
03/13/2017 10:00,LONGIL,61762,75.91,5.01,-40.38
03/13/2017 10:00,MHK VL,61756,39.55,1.43,-7.59
03/13/2017 10:00,MILLWD,61759,71.47,3.94,-37.00
03/13/2017 10:00,N.Y.C.,61761,71.48,4.24,-36.72
03/13/2017 10:00,NORTH,61755,29.30,-1.22,0.00
03/13/2017 10:00,NPX,61845,74.20,2.47,-41.20
03/13/2017 10:00,O H,61846,35.50,-1.74,-6.71
03/13/2017 10:00,PJM,61847,53.22,0.98,-21.72
03/13/2017 10:00,WEST,61752,37.68,-0.95,-8.11
03/13/2017 11:00,CAPITL,61757,75.25,2.13,-43.55
03/13/2017 11:00,CENTRL,61754,37.50,0.83,-7.10
03/13/2017 11:00,DUNWOD,61760,68.87,3.76,-35.54
03/13/2017 11:00,GENESE,61753,34.57,-0.35,-5.35
03/13/2017 11:00,H Q,61844,28.63,-0.95,0.00
03/13/2017 11:00,HUD VL,61758,68.63,3.55,-35.51
03/13/2017 11:00,LONGIL,61762,70.07,4.82,-35.68
03/13/2017 11:00,MHK VL,61756,38.25,1.33,-7.34
03/13/2017 11:00,MILLWD,61759,69.18,3.79,-35.82
03/13/2017 11:00,N.Y.C.,61761,69.22,4.11,-35.54
03/13/2017 11:00,NORTH,61755,28.36,-1.21,0.00
03/13/2017 11:00,NPX,61845,71.82,2.37,-39.89
03/13/2017 11:00,O H,61846,33.00,-1.72,-5.14
03/13/2017 11:00,PJM,61847,51.48,0.89,-21.02
03/13/2017 11:00,WEST,61752,36.47,-0.95,-7.85
03/13/2017 12:00,CAPITL,61757,70.77,1.67,-44.86
03/13/2017 12:00,CENTRL,61754,32.23,0.68,-7.31
03/13/2017 12:00,DUNWOD,61760,63.91,3.05,-36.61
03/13/2017 12:00,GENESE,61753,29.51,-0.24,-5.51
03/13/2017 12:00,H Q,61844,23.46,-0.78,0.00
03/13/2017 12:00,HUD VL,61758,63.68,2.86,-36.58
03/13/2017 12:00,LONGIL,61762,64.97,3.93,-36.80
03/13/2017 12:00,MHK VL,61756,32.82,1.02,-7.57
03/13/2017 12:00,MILLWD,61759,64.22,3.08,-36.90
03/13/2017 12:00,N.Y.C.,61761,64.20,3.35,-36.62
03/13/2017 12:00,NORTH,61755,23.24,-0.99,0.00
03/13/2017 12:00,NPX,61845,67.27,1.94,-41.09
03/13/2017 12:00,O H,61846,29.30,-1.31,-6.37
03/13/2017 12:00,PJM,61847,46.65,0.75,-21.66
03/13/2017 12:00,WEST,61752,31.64,-0.68,-8.08
03/13/2017 13:00,CAPITL,61757,63.79,1.62,-38.60
03/13/2017 13:00,CENTRL,61754,30.51,0.66,-6.29
03/13/2017 13:00,DUNWOD,61760,58.11,3.04,-31.50
03/13/2017 13:00,GENESE,61753,28.07,-0.24,-4.74
03/13/2017 13:00,H Q,61844,22.81,-0.75,0.00
03/13/2017 13:00,HUD VL,61758,57.87,2.83,-31.48
03/13/2017 13:00,LONGIL,61762,58.95,3.89,-31.50
03/13/2017 13:00,MHK VL,61756,31.02,0.94,-6.51
03/13/2017 13:00,MILLWD,61759,58.35,3.04,-31.75
03/13/2017 13:00,N.Y.C.,61761,58.39,3.32,-31.51
03/13/2017 13:00,NORTH,61755,22.62,-0.94,0.00
03/13/2017 13:00,NPX,61845,60.83,1.91,-35.36
03/13/2017 13:00,O H,61846,27.55,-1.13,-5.12
03/13/2017 13:00,PJM,61847,43.04,0.85,-18.63
03/13/2017 13:00,WEST,61752,30.00,-0.52,-6.96
03/13/2017 14:00,CAPITL,61757,60.31,1.36,-38.63
03/13/2017 14:00,CENTRL,61754,27.18,0.57,-6.30
03/13/2017 14:00,DUNWOD,61760,54.51,2.66,-31.53
03/13/2017 14:00,GENESE,61753,24.86,-0.20,-4.75
03/13/2017 14:00,H Q,61844,19.67,-0.65,0.00
03/13/2017 14:00,HUD VL,61758,54.28,2.46,-31.50
03/13/2017 14:00,LONGIL,61762,56.07,3.39,-32.36
03/13/2017 14:00,MHK VL,61756,27.60,0.77,-6.52
03/13/2017 14:00,MILLWD,61759,54.73,2.64,-31.78
03/13/2017 14:00,N.Y.C.,61761,54.76,2.91,-31.54
03/13/2017 14:00,NORTH,61755,19.48,-0.83,0.00
03/13/2017 14:00,NPX,61845,57.37,1.67,-35.39
03/13/2017 14:00,O H,61846,26.52,-0.91,-7.12
03/13/2017 14:00,PJM,61847,39.76,0.79,-18.65
03/13/2017 14:00,WEST,61752,26.89,-0.39,-6.96
03/13/2017 15:00,CAPITL,61757,59.04,1.51,-34.93
03/13/2017 15:00,CENTRL,61754,28.83,0.54,-5.69
03/13/2017 15:00,DUNWOD,61760,53.95,2.85,-28.51
03/13/2017 15:00,GENESE,61753,26.53,-0.36,-4.29
03/13/2017 15:00,H Q,61844,21.87,-0.72,0.00
03/13/2017 15:00,HUD VL,61758,53.70,2.62,-28.49
03/13/2017 15:00,LONGIL,61762,54.70,3.59,-28.51
03/13/2017 15:00,MHK VL,61756,29.28,0.79,-5.89
03/13/2017 15:00,MILLWD,61759,54.17,2.85,-28.73
03/13/2017 15:00,N.Y.C.,61761,54.23,3.12,-28.51
