t_formated,genout_coal_interp,genout_ng_interp,genout_nuclear_interp,genout_solar_interp,genout_wind_interp
14-Feb-2021 11:20:00,1493.734336,12057.92668,0,471.1779449,14546.36591
14-Feb-2021 11:30:00,1493.734336,12202.72188,0,471.1779449,14566.84911
14-Feb-2021 11:40:00,1493.734336,12333.26576,0,471.1779449,14591.4787
14-Feb-2021 11:50:00,1493.734336,12402.28328,0,496.2037447,14635.27385
14-Feb-2021 12:00:00,1493.734336,12337.87594,0,544.0162907,14707.31516
14-Feb-2021 12:10:00,1493.734336,12198.11784,0,600.8219077,14763.41282
14-Feb-2021 12:20:00,1493.734336,12076.83424,0,651.6290727,14817.04261
14-Feb-2021 12:30:00,1493.734336,11965.18871,0,651.6290727,14807.04519
14-Feb-2021 12:40:00,1493.734336,11721.22709,0,659.2461546,14784.36287
14-Feb-2021 12:50:00,1493.734336,11568.92231,0,698.5889202,14746.94223
14-Feb-2021 13:00:00,1493.734336,11568.92231,0,741.8546366,14710.78431
14-Feb-2021 13:10:00,1493.734336,11544.047,0,741.8546366,14730.18637
14-Feb-2021 13:20:00,1493.734336,11494.66804,0,741.8546366,14750.06143
14-Feb-2021 13:30:00,1493.734336,11447.6817,0,741.8546366,14702.06767
14-Feb-2021 13:40:00,1493.734336,11372.90492,0,747.0433897,14661.51055
14-Feb-2021 13:50:00,1493.734336,11341.53091,0,767.8571429,14787.07185
14-Feb-2021 14:00:00,1493.734336,11353.93631,0,786.9674185,14881.39466
14-Feb-2021 14:10:00,1498.645511,11385.0957,0,786.9674185,14950.23711
14-Feb-2021 14:20:00,1588.94786,11388.47118,0,786.9674185,14982.07529
14-Feb-2021 14:30:00,1791.123028,11440.5499,0,773.947737,14938.68863
14-Feb-2021 14:40:00,1917.841479,11573.22995,0,734.6752297,14927.3444
14-Feb-2021 14:50:00,2097.148509,11635.14485,0,696.6282127,14958.58519
14-Feb-2021 15:00:00,2090.225564,11749.37343,0,651.6290727,14972.43108
14-Feb-2021 15:10:00,2090.225564,11749.37343,0,651.6290727,14992.84056
14-Feb-2021 15:20:00,2090.225564,11765.82387,0,651.6290727,15046.35363
14-Feb-2021 15:30:00,2090.225564,11865.51339,0,651.6290727,15042.60652
14-Feb-2021 15:40:00,2090.225564,12057.03597,0,651.6290727,15041.23667
14-Feb-2021 15:50:00,2090.225564,12155.38847,0,651.6290727,15038.86862
14-Feb-2021 16:00:00,2090.225564,12155.38847,0,651.6290727,15052.04187
14-Feb-2021 16:10:00,2090.225564,12155.38847,0,651.6290727,15093.54882
14-Feb-2021 16:20:00,2090.225564,12145.93123,0,651.6290727,15137.0353
14-Feb-2021 16:30:00,2090.225564,12120.97339,0,651.6290727,15158.82537
14-Feb-2021 16:40:00,2090.225564,12173.97661,0,651.6290727,15177.94486
14-Feb-2021 16:50:00,2090.225564,12241.59971,0,651.6290727,15163.96997
14-Feb-2021 17:00:00,2090.225564,12221.23323,0,651.6290727,15112.28439
14-Feb-2021 17:10:00,2090.225564,12105.1261,0,651.6290727,15132.83208
14-Feb-2021 17:20:00,2090.225564,12035.874,0,651.6290727,15136.86176
14-Feb-2021 17:30:00,2090.225564,11791.2336,0,651.6290727,15149.23338
14-Feb-2021 17:40:00,2090.225564,11428.15372,0,651.6290727,15172.86476
14-Feb-2021 17:50:00,2090.225564,11119.76018,0,651.6290727,15395.04705
14-Feb-2021 18:00:00,2090.225564,10987.46867,0,651.6290727,15493.73434
14-Feb-2021 18:10:00,2090.225564,11028.76658,0,651.6290727,15493.73434
14-Feb-2021 18:20:00,2090.225564,11076.96324,0,651.6290727,15493.73434
14-Feb-2021 18:30:00,2090.225564,11066.95968,0,651.6290727,15493.73434
14-Feb-2021 18:40:00,2090.225564,11027.56892,0,651.6290727,15500.76171
14-Feb-2021 18:50:00,2090.225564,11027.56892,0,651.6290727,15566.91361
14-Feb-2021 19:00:00,2090.225564,11040.58976,0,651.6290727,15652.099
14-Feb-2021 19:10:00,2090.775345,11208.50533,0,651.6290727,15692.52175
14-Feb-2021 19:20:00,2093.874392,11244.95061,0,651.6290727,15716.57084
14-Feb-2021 19:30:00,2080.91921,11163.26662,0,651.6290727,15694.61337
14-Feb-2021 19:40:00,2090.489705,11173.20261,0,651.6290727,15763.35446
14-Feb-2021 19:50:00,2098.468828,11272.47807,0,651.6290727,15742.56605
14-Feb-2021 20:00:00,2191.360755,11385.15406,0,651.6290727,15692.76132
14-Feb-2021 20:10:00,2266.21087,11338.43801,0,651.6290727,15674.18546
14-Feb-2021 20:20:00,2275.511082,11249.92629,0,651.6290727,15674.18546
14-Feb-2021 20:30:00,2270.676692,11161.41457,0,651.6290727,15674.18546
14-Feb-2021 20:40:00,2270.676692,11072.90285,0,651.6290727,15674.18546
14-Feb-2021 20:50:00,2270.676692,11200.21254,0,651.6290727,15674.18546
14-Feb-2021 21:00:00,2270.676692,11226.87233,0,651.6290727,15674.18546
14-Feb-2021 21:10:00,2270.676692,11162.9472,0,651.6290727,15674.18546
14-Feb-2021 21:20:00,2270.676692,10985.9944,0,651.6290727,15625.043
14-Feb-2021 21:30:00,2270.676692,11025.82744,0,651.6290727,15585.50789
14-Feb-2021 21:40:00,2270.676692,11027.56892,0,651.6290727,15583.9599
14-Feb-2021 21:50:00,2270.676692,11027.56892,0,651.6290727,15583.9599
14-Feb-2021 22:00:00,2270.676692,11254.49654,0,651.6290727,15583.9599
14-Feb-2021 22:10:00,2270.676692,11329.42036,0,651.6290727,15583.9599
14-Feb-2021 22:20:00,2275.314512,11509.57049,0,651.6290727,15542.21952
14-Feb-2021 22:30:00,2307.487469,11523.80952,0,651.6290727,15493.42105
14-Feb-2021 22:40:00,2324.953008,11504.9081,0,651.6290727,15469.82038
14-Feb-2021 22:50:00,2325.814536,11475.87719,0,651.6290727,15533.73016
14-Feb-2021 23:00:00,2325.814536,11478.23603,0,669.8363556,15579.8135
14-Feb-2021 23:10:00,2325.814536,11483.15335,0,747.4415205,15735.48454
14-Feb-2021 23:20:00,2325.814536,11623.27387,0,822.3131358,15850.33663
14-Feb-2021 23:30:00,2325.814536,11752.89787,0,872.8755482,16036.90868
14-Feb-2021 23:40:00,2321.348715,11791.20596,0,877.1929825,16233.7707
14-Feb-2021 23:50:00,2325.172613,11851.30412,0,877.1929825,16294.97457
15-Feb-2021 00:00:00,2325.814536,12034.94029,0,877.1929825,16612.85567
15-Feb-2021 00:10:00,2325.814536,12533.34316,0,877.1929825,16817.15318
15-Feb-2021 00:20:00,2325.814536,12716.4357,0,877.1929825,16847.11779
15-Feb-2021 00:30:00,2325.814536,12910.64576,0,877.1929825,16978.53031
15-Feb-2021 00:40:00,2325.814536,13072.22714,0,877.1929825,17165.89267
15-Feb-2021 00:50:00,2325.814536,13134.59199,0,877.1929825,17222.56008
15-Feb-2021 01:00:00,2325.814536,13526.75807,0,877.1929825,17368.03406
15-Feb-2021 01:10:00,2325.814536,14006.62809,0,877.1929825,17547.94769
15-Feb-2021 01:20:00,2325.814536,14204.31287,0,877.1929825,17609.2053
15-Feb-2021 01:30:00,2325.814536,14409.94029,0,877.1929825,17614.03509
15-Feb-2021 01:40:00,2314.07563,15111.56261,0,877.1929825,17629.68696
15-Feb-2021 01:50:00,2662.010418,15935.21334,0,877.1929825,17634.08521
15-Feb-2021 02:00:00,2816.600324,16601.10276,0,877.1929825,17663.3655
15-Feb-2021 02:10:00,3167.381344,17216.35756,0,877.1929825,17702.04351
15-Feb-2021 02:20:00,3520.750405,17831.61236,0,877.1929825,17740.72152
15-Feb-2021 02:30:00,3819.171089,18651.66593,0,877.1929825,17779.39952
15-Feb-2021 02:40:00,3894.736842,19009.4845,0,877.1929825,17807.6564
15-Feb-2021 02:50:00,3894.736842,19340.95042,0,877.1929825,17772.0404
15-Feb-2021 03:00:00,3894.736842,19220.64928,0,877.1929825,17728.75548
15-Feb-2021 03:10:00,3894.736842,18994.29333,0,877.1929825,17839.60821
15-Feb-2021 03:20:00,3894.736842,18864.24394,0,877.1929825,17884.71178
15-Feb-2021 03:30:00,3894.736842,19015.21266,0,877.1929825,17881.25645
15-Feb-2021 03:40:00,3894.736842,19127.9854,0,877.1929825,17923.38076
15-Feb-2021 03:50:00,3894.736842,19394.25463,0,877.1929825,18062.39864
15-Feb-2021 04:00:00,3894.736842,19559.13221,0,1042.214912,18088.26754
15-Feb-2021 04:10:00,3894.736842,19678.38407,0,1304.750848,18184.73266
15-Feb-2021 04:20:00,3894.736842,19919.22207,0,1419.676643,18273.34267
15-Feb-2021 04:30:00,3897.915745,20137.66954,0,1452.657379,18290.72682
15-Feb-2021 04:40:00,3896.665684,20304.19185,0,1463.659148,18290.72682
15-Feb-2021 04:50:00,3897.912098,20334.16223,0,1463.659148,18290.72682
15-Feb-2021 05:00:00,3899.749373,20596.3438,0,1463.659148,18290.72682
15-Feb-2021 05:10:00,4054.394565,20961.02388,0,1463.659148,18290.72682
15-Feb-2021 05:20:00,4318.246597,21357.51143,270.0918964,1463.659148,18290.72682
15-Feb-2021 05:30:00,4436.882648,21602.70161,713.1422306,1463.659148,18290.72682
15-Feb-2021 05:40:00,4441.102757,21717.7253,1156.192565,1463.659148,18299.67497
15-Feb-2021 05:50:00,4441.102757,21764.41103,1328.320802,1463.659148,18323.80584
15-Feb-2021 06:00:00,4438.191066,21854.67345,1328.320802,1463.659148,18283.42916
15-Feb-2021 06:10:00,4436.090226,22060.62337,1328.320802,1463.659148,18239.98108
15-Feb-2021 06:20:00,4436.090226,22121.44331,1328.320802,1463.659148,18290.01425
15-Feb-2021 06:30:00,4436.090226,22135.34756,1328.320802,1463.659148,18335.8396
15-Feb-2021 06:40:00,4436.090226,22371.00564,1328.320802,1463.659148,18335.8396
15-Feb-2021 06:50:00,4436.090226,22678.77414,1328.320802,1463.659148,18335.8396
15-Feb-2021 07:00:00,4436.090226,22820.45186,1328.320802,1463.659148,18335.8396
15-Feb-2021 07:10:00,4436.090226,22877.73355,1328.320802,1463.659148,18335.8396
15-Feb-2021 07:20:00,4436.090226,22993.0832,1328.320802,1463.659148,18335.8396
15-Feb-2021 07:30:00,4436.090226,23122.61122,1328.320802,1463.659148,18353.31493
15-Feb-2021 07:40:00,4436.090226,23519.63241,1328.320802,1463.659148,18365.82879
15-Feb-2021 07:50:00,4436.090226,24185.93358,1328.320802,1463.659148,18336.36174
15-Feb-2021 08:00:00,4436.090226,24653.98791,1328.320802,1463.659148,18301.34159
15-Feb-2021 08:10:00,4436.090226,24728.59846,1328.320802,1463.659148,18290.72682
15-Feb-2021 08:20:00,4436.090226,24651.62907,1328.320802,1463.659148,18290.72682
15-Feb-2021 08:30:00,4436.090226,24691.88596,1328.320802,1461.291095,18321.5115
15-Feb-2021 08:40:00,4436.090226,24780.02605,1328.320802,1322.276279,18387.70947
15-Feb-2021 08:50:00,4436.090226,24840.7907,1328.320802,1153.539486,18386.86791
15-Feb-2021 09:00:00,4436.090226,24843.80068,1328.320802,1147.869674,18354.58131
15-Feb-2021 09:10:00,4436.090226,24840.52579,1328.320802,1147.869674,18380.95238
15-Feb-2021 09:20:00,4436.090226,24793.08566,1328.320802,1147.869674,18387.5129
15-Feb-2021 09:30:00,4436.090226,24624.76043,1328.320802,1147.869674,18408.53973
15-Feb-2021 09:40:00,4436.090226,24494.24419,1328.320802,1147.869674,18426.06516
15-Feb-2021 09:50:00,4436.090226,24525.44965,1328.320802,1147.869674,18426.06516
15-Feb-2021 10:00:00,4436.090226,24590.48356,1328.320802,1147.869674,18427.87115
15-Feb-2021 10:10:00,4436.090226,24635.59942,1328.320802,1147.869674,18421.98922
15-Feb-2021 10:20:00,4436.090226,24719.19382,1328.320802,1147.869674,18402.19421
15-Feb-2021 10:30:00,4436.090226,24726.54983,1330.136002,1147.869674,18406.88117
15-Feb-2021 10:40:00,4436.090226,24601.8969,1333.333333,1108.309991,18426.06516
15-Feb-2021 10:50:00,4436.090226,24565.03391,1333.333333,1011.459408,18426.06516
15-Feb-2021 11:00:00,4434.465069,24676.41761,1333.333333,982.0449561,18426.06516
15-Feb-2021 11:10:00,4431.077694,24783.20188,1333.333333,1022.906531,18426.06516
15-Feb-2021 11:20:00,4434.345668,25004.55796,1333.333333,1047.508477,18427.69915
