t_formated,v_gen_avail_interp,v_load_shed_interp,,v_gen_avail_interp_shift_30min
2/14/2021 17:40,71025.76707,0,,70959.05621
2/14/2021 17:50,71068.47431,0,,71294.16659
2/14/2021 18:00,71679.11541,0,,71216.5459
2/14/2021 18:10,72317.57845,0,,71025.76707
2/14/2021 18:20,72393.32913,0,,71068.47431
2/14/2021 18:30,72418.26774,0,,71679.11541
2/14/2021 18:40,72173.55955,0,,72317.57845
2/14/2021 18:50,71972.57154,0,,72393.32913
2/14/2021 19:00,71801.04206,0,,72418.26774
2/14/2021 19:10,71740.25481,0,,72173.55955
2/14/2021 19:20,71956.5959,0,,71972.57154
2/14/2021 19:30,71962.83069,0,,71801.04206
2/14/2021 19:40,71813.58994,0,,71740.25481
2/14/2021 19:50,71454.71048,0,,71956.5959
2/14/2021 20:00,71172.59464,0,,71962.83069
2/14/2021 20:10,71112.11912,0,,71813.58994
2/14/2021 20:20,71094.6624,0,,71454.71048
2/14/2021 20:30,70985.55693,0,,71172.59464
2/14/2021 20:40,70972.15271,0,,71112.11912
2/14/2021 20:50,71031.06994,0,,71094.6624
2/14/2021 21:00,70921.96447,0,,70985.55693
2/14/2021 21:10,71015.48378,0,,70972.15271
2/14/2021 21:20,70772.9577,0,,71031.06994
2/14/2021 21:30,70667.593,0,,70921.96447
2/14/2021 21:40,70480.55493,0,,71015.48378
2/14/2021 21:50,70339.34123,0,,70772.9577
2/14/2021 22:00,70049.43213,0,,70667.593
2/14/2021 22:10,69841.19639,0,,70480.55493
2/14/2021 22:20,69352.67605,0,,70339.34123
2/14/2021 22:30,68987.99061,0,,70049.43213
2/14/2021 22:40,68702.75746,0,,69841.19639
2/14/2021 22:50,68422.20027,0,,69352.67605
2/14/2021 23:00,68436.22832,0,,68987.99061
2/14/2021 23:10,68004.63774,0,,68702.75746
2/14/2021 23:20,67835.8359,0,,68422.20027
2/14/2021 23:30,67457.08363,0,,68436.22832
2/14/2021 23:40,67161.56338,0,,68004.63774
2/14/2021 23:50,66385.04309,0,,67835.8359
2/15/2021 0:00,66164.41607,0,,67457.08363
2/15/2021 0:10,66371.95078,0,,67161.56338
2/15/2021 0:20,66152.18102,0,,66385.04309
2/15/2021 0:30,66117.89085,0,,66164.41607
2/15/2021 0:40,65941.76335,0,,66371.95078
2/15/2021 0:50,65619.90188,0,,66152.18102
2/15/2021 1:00,65485.70212,12.98586353,,66117.89085
2/15/2021 1:10,64663.66919,360.8542676,,65941.76335
2/15/2021 1:20,64149.31419,494.898528,,65619.90188
2/15/2021 1:30,63751.85809,824.7094894,,65485.70212
2/15/2021 1:40,62725.09622,2470.061771,,64663.66919
2/15/2021 1:50,61382.7073,5084.505981,,64149.31419
2/15/2021 2:00,60071.88108,7296.233461,,63751.85809
2/15/2021 2:10,58304.36981,9827.484617,,62725.09622
2/15/2021 2:20,56871.657,9936.278714,,61382.7073
2/15/2021 2:30,56553.92595,9129.442647,,60071.88108
2/15/2021 2:40,56577.69558,8946.535008,,58304.36981
2/15/2021 2:50,56489.47605,8950.587685,,56871.657
2/15/2021 3:00,56443.34013,8950.587867,,56553.92595
2/15/2021 3:10,56405.93267,8950.588049,,56577.69558
2/15/2021 3:20,56424.75357,8950.58823,,56489.47605
2/15/2021 3:30,56303.99718,8950.588412,,56443.34013
2/15/2021 3:40,56302.43871,8950.588594,,56405.93267
2/15/2021 3:50,56178.99365,8950.588775,,56424.75357
2/15/2021 4:00,55827.05019,8950.588957,,56303.99718
2/15/2021 4:10,55527.16572,8950.589139,,56302.43871
2/15/2021 4:20,55357.58455,8950.589321,,56178.99365
2/15/2021 4:30,55032.13818,9310.638132,,55827.05019
2/15/2021 4:40,54611.3023,9786.338928,,55527.16572
2/15/2021 4:50,54287.10285,10425.69819,,55357.58455
2/15/2021 5:00,53803.53122,11218.07812,,55032.13818
2/15/2021 5:10,53507.15371,11849.37136,,54611.3023
2/15/2021 5:20,53301.41182,12611.24068,,54287.10285
2/15/2021 5:30,52718.47613,13253.40552,,53803.53122
2/15/2021 5:40,52484.05503,13494.99677,,53507.15371
2/15/2021 5:50,52772.79551,13529.2873,,53301.41182
2/15/2021 6:00,53046.7288,13529.28748,,52718.47613
2/15/2021 6:10,53023.3492,13529.28766,,52484.05503
2/15/2021 6:20,52548.27223,13738.77068,,52772.79551
2/15/2021 6:30,52107.79733,13978.17982,,53046.7288
2/15/2021 6:40,52080.56007,14304.99038,,53023.3492
2/15/2021 6:50,52154.86899,14530.87822,,52548.27223
2/15/2021 7:00,52119.95536,14530.8784,,52107.79733
2/15/2021 7:10,52204.12276,14530.87858,,52080.56007
2/15/2021 7:20,52266.46902,14538.67202,,52154.86899
2/15/2021 7:30,52146.14126,14562.67544,,52119.95536
2/15/2021 7:40,51936.65861,14846.03857,,52204.12276
2/15/2021 7:50,51585.96207,15578.60523,,52266.46902
2/15/2021 8:00,51157.64466,16289.97422,,52146.14126
2/15/2021 8:10,50929.14645,16534.05932,,51936.65861
2/15/2021 8:20,50967.02188,16534.0595,,51585.96207
2/15/2021 8:30,50836.87461,16534.05968,,51157.64466
2/15/2021 8:40,50644.53712,16534.05986,,50929.14645
2/15/2021 8:50,50670.0992,16534.06005,,50967.02188
2/15/2021 9:00,50741.48565,16534.06023,,50836.87461
2/15/2021 9:10,50845.13619,16534.06041,,50644.53712
2/15/2021 9:20,50985.88266,16534.06059,,50670.0992
2/15/2021 9:30,51173.54455,16534.06077,,50741.48565
2/15/2021 9:40,51263.94655,16534.06095,,50845.13619
2/15/2021 9:50,51110.8871,16534.06114,,50985.88266
2/15/2021 10:00,51104.80854,16534.06132,,51173.54455
2/15/2021 10:10,51181.962,16534.0615,,51263.94655
