BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ERCO,2/5/2021 3 a.m. CST,33587,34480,33629,42
ERCO,2/5/2021 4 a.m. CST,33915,34752,33862,-52
ERCO,2/5/2021 5 a.m. CST,34895,35738,35047,151
ERCO,2/5/2021 6 a.m. CST,37098,37765,37380,282
ERCO,2/5/2021 7 a.m. CST,40588,41386,40943,354
ERCO,2/5/2021 8 a.m. CST,42767,43542,43090,323
ERCO,2/5/2021 9 a.m. CST,43389,43279,43522,133
ERCO,2/5/2021 10 a.m. CST,43658,42873,43906,247
ERCO,2/5/2021 11 a.m. CST,43384,42198,43803,418
ERCO,2/5/2021 12 p.m. CST,42708,41275,43122,414
ERCO,2/5/2021 1 p.m. CST,41945,40074,42217,273
ERCO,2/5/2021 2 p.m. CST,40960,38957,40974,14
ERCO,2/5/2021 3 p.m. CST,40019,38177,40019,0
ERCO,2/5/2021 4 p.m. CST,39479,37702,39479,0
ERCO,2/5/2021 5 p.m. CST,39417,37582,39409,-8
ERCO,2/5/2021 6 p.m. CST,40124,38643,40065,-59
ERCO,2/5/2021 7 p.m. CST,41875,40973,41703,-171
ERCO,2/5/2021 8 p.m. CST,42222,40736,42165,-57
ERCO,2/5/2021 9 p.m. CST,41925,40852,41947,21
ERCO,2/5/2021 10 p.m. CST,41423,40394,41454,31
ERCO,2/5/2021 11 p.m. CST,40084,39706,40152,67
ERCO,2/6/2021 12 a.m. CST,38632,38603,38515,-117
ERCO,2/6/2021 1 a.m. CST,37262,37098,37259,-4
ERCO,2/6/2021 2 a.m. CST,36495,36406,36458,-37
ERCO,2/6/2021 3 a.m. CST,36127,35972,35984,-142
ERCO,2/6/2021 4 a.m. CST,36008,35879,36020,12
ERCO,2/6/2021 5 a.m. CST,36306,36238,36306,0
ERCO,2/6/2021 6 a.m. CST,37080,37058,37080,0
ERCO,2/6/2021 7 a.m. CST,38418,38604,38417,0
ERCO,2/6/2021 8 a.m. CST,39817,39868,39817,0
ERCO,2/6/2021 9 a.m. CST,41184,40562,41185,1
ERCO,2/6/2021 10 a.m. CST,42226,40577,42206,-20
ERCO,2/6/2021 11 a.m. CST,42179,40236,42240,61
ERCO,2/6/2021 12 p.m. CST,41038,39157,41408,369
ERCO,2/6/2021 1 p.m. CST,39822,38033,40123,300
ERCO,2/6/2021 2 p.m. CST,38553,37120,38757,202
ERCO,2/6/2021 3 p.m. CST,37545,36607,37749,203
ERCO,2/6/2021 4 p.m. CST,36975,36265,37145,170
ERCO,2/6/2021 5 p.m. CST,36952,36418,37007,57
ERCO,2/6/2021 6 p.m. CST,37493,36966,37141,-350
ERCO,2/6/2021 7 p.m. CST,38856,38603,38065,-790
ERCO,2/6/2021 8 p.m. CST,39762,39125,38946,-815
ERCO,2/6/2021 9 p.m. CST,39496,38965,39022,-474
ERCO,2/6/2021 10 p.m. CST,38891,38671,38865,-27
ERCO,2/6/2021 11 p.m. CST,38114,38060,38113,-1
ERCO,2/7/2021 12 a.m. CST,37269,37316,37289,20
ERCO,2/7/2021 1 a.m. CST,36619,36725,36754,136
ERCO,2/7/2021 2 a.m. CST,36323,36808,36524,201
ERCO,2/7/2021 3 a.m. CST,36406,36994,36988,581
ERCO,2/7/2021 4 a.m. CST,36925,37567,37728,802
ERCO,2/7/2021 5 a.m. CST,37717,38610,38265,548
ERCO,2/7/2021 6 a.m. CST,38839,39798,39357,517
ERCO,2/7/2021 7 a.m. CST,40336,42202,40507,171
ERCO,2/7/2021 8 a.m. CST,41820,43675,41873,52
ERCO,2/7/2021 9 a.m. CST,42754,43780,42586,-167
ERCO,2/7/2021 10 a.m. CST,42980,43868,43042,62
ERCO,2/7/2021 11 a.m. CST,42339,42668,42631,291
ERCO,2/7/2021 12 p.m. CST,41031,40676,41276,245
ERCO,2/7/2021 1 p.m. CST,39457,38450,39706,247
ERCO,2/7/2021 2 p.m. CST,38294,36906,38570,275
ERCO,2/7/2021 3 p.m. CST,37440,35811,37716,275
ERCO,2/7/2021 4 p.m. CST,37093,35426,37369,275
ERCO,2/7/2021 5 p.m. CST,37181,35669,37456,275
ERCO,2/7/2021 6 p.m. CST,37702,36302,38013,311
ERCO,2/7/2021 7 p.m. CST,38891,38915,39235,343
ERCO,2/7/2021 8 p.m. CST,39534,40088,39918,383
ERCO,2/7/2021 9 p.m. CST,39566,39893,39983,417
ERCO,2/7/2021 10 p.m. CST,39445,39015,39924,478
ERCO,2/7/2021 11 p.m. CST,38249,37355,38781,531
ERCO,2/8/2021 12 a.m. CST,36392,35226,36929,535
ERCO,2/8/2021 1 a.m. CST,35076,34246,35573,496
ERCO,2/8/2021 2 a.m. CST,34398,33296,34982,583
ERCO,2/8/2021 3 a.m. CST,34227,32929,34813,584
ERCO,2/8/2021 4 a.m. CST,34342,33219,35083,740
ERCO,2/8/2021 5 a.m. CST,35124,34242,35860,735
ERCO,2/8/2021 6 a.m. CST,37035,36758,37593,557
ERCO,2/8/2021 7 a.m. CST,40057,40654,40532,474
ERCO,2/8/2021 8 a.m. CST,41661,41841,42158,496
ERCO,2/8/2021 9 a.m. CST,41816,41646,42428,611
ERCO,2/8/2021 10 a.m. CST,41800,41359,42290,490
ERCO,2/8/2021 11 a.m. CST,41643,40795,42141,497
ERCO,2/8/2021 12 p.m. CST,41268,40624,41775,506
ERCO,2/8/2021 1 p.m. CST,40739,40278,41183,444
ERCO,2/8/2021 2 p.m. CST,40347,39857,40721,374
ERCO,2/8/2021 3 p.m. CST,39638,39524,40012,374
ERCO,2/8/2021 4 p.m. CST,39115,39342,39491,375
ERCO,2/8/2021 5 p.m. CST,39247,39048,39708,460
ERCO,2/8/2021 6 p.m. CST,39817,39533,40237,419
ERCO,2/8/2021 7 p.m. CST,41382,40945,41810,427
ERCO,2/8/2021 8 p.m. CST,41687,41309,42317,629
ERCO,2/8/2021 9 p.m. CST,41100,40535,41948,846
ERCO,2/8/2021 10 p.m. CST,39981,39327,40834,852
ERCO,2/8/2021 11 p.m. CST,38094,37386,38926,831
ERCO,2/9/2021 12 a.m. CST,36232,34805,37061,828
ERCO,2/9/2021 1 a.m. CST,35059,33389,35856,796
ERCO,2/9/2021 2 a.m. CST,34608,32707,35438,830
ERCO,2/9/2021 3 a.m. CST,34607,32187,35438,830
ERCO,2/9/2021 4 a.m. CST,35027,32464,35857,830
ERCO,2/9/2021 5 a.m. CST,36285,33324,36865,579
ERCO,2/9/2021 6 a.m. CST,38794,35757,39048,254
ERCO,2/9/2021 7 a.m. CST,42179,39396,42125,-53
ERCO,2/9/2021 8 a.m. CST,44777,40957,44056,-720
ERCO,2/9/2021 9 a.m. CST,45823,41263,45380,-443
ERCO,2/9/2021 10 a.m. CST,46515,41497,46297,-218
ERCO,2/9/2021 11 a.m. CST,47126,41384,46806,-319
ERCO,2/9/2021 12 p.m. CST,47244,41592,47031,-213
ERCO,2/9/2021 1 p.m. CST,46915,41244,46743,-172
ERCO,2/9/2021 2 p.m. CST,46516,41213,46465,-51
ERCO,2/9/2021 3 p.m. CST,45973,40725,46047,74
ERCO,2/9/2021 4 p.m. CST,45666,41131,45831,164
ERCO,2/9/2021 5 p.m. CST,46030,40810,46238,207
ERCO,2/9/2021 6 p.m. CST,46889,41366,47055,165
ERCO,2/9/2021 7 p.m. CST,48440,42464,48608,168
ERCO,2/9/2021 8 p.m. CST,48565,42710,48765,199
ERCO,2/9/2021 9 p.m. CST,47680,42051,47890,210
ERCO,2/9/2021 10 p.m. CST,46168,40849,46073,-96
ERCO,2/9/2021 11 p.m. CST,43922,38527,43499,-423
ERCO,2/10/2021 12 a.m. CST,41754,36346,41292,-455
ERCO,2/10/2021 1 a.m. CST,40509,38450,40238,-271
ERCO,2/10/2021 2 a.m. CST,39968,37625,39327,-642
ERCO,2/10/2021 3 a.m. CST,39916,37133,39105,-811
ERCO,2/10/2021 4 a.m. CST,40226,37165,39412,-814
ERCO,2/10/2021 5 a.m. CST,41248,38248,40536,-712
ERCO,2/10/2021 6 a.m. CST,43506,40311,42916,-590
ERCO,2/10/2021 7 a.m. CST,46894,43892,46200,-693
ERCO,2/10/2021 8 a.m. CST,49110,45817,48388,-721
ERCO,2/10/2021 9 a.m. CST,49710,45833,49072,-637
ERCO,2/10/2021 10 a.m. CST,50378,46128,49841,-537
ERCO,2/10/2021 11 a.m. CST,51005,46184,50627,-377
ERCO,2/10/2021 12 p.m. CST,51227,45853,50993,-234
ERCO,2/10/2021 1 p.m. CST,51087,45424,50789,-297
ERCO,2/10/2021 2 p.m. CST,51093,45005,50828,-264
ERCO,2/10/2021 3 p.m. CST,50951,44129,50717,-234
ERCO,2/10/2021 4 p.m. CST,51011,43757,50786,-224
ERCO,2/10/2021 5 p.m. CST,51606,43932,51206,-399
ERCO,2/10/2021 6 p.m. CST,52680,44703,51955,-724
ERCO,2/10/2021 7 p.m. CST,53784,46479,52972,-811
ERCO,2/10/2021 8 p.m. CST,53801,46879,53165,-635
ERCO,2/10/2021 9 p.m. CST,53153,46223,52555,-597
ERCO,2/10/2021 10 p.m. CST,51755,44920,51161,-594
ERCO,2/10/2021 11 p.m. CST,49530,43029,48993,-537
ERCO,2/11/2021 12 a.m. CST,47564,40713,47114,-449
ERCO,2/11/2021 1 a.m. CST,46428,43672,45997,-430
ERCO,2/11/2021 2 a.m. CST,46046,42783,45576,-469
ERCO,2/11/2021 3 a.m. CST,46071,42731,45691,-380
ERCO,2/11/2021 4 a.m. CST,46566,42745,45969,-597
ERCO,2/11/2021 5 a.m. CST,47930,43816,47344,-586
ERCO,2/11/2021 6 a.m. CST,50504,46855,49729,-775
ERCO,2/11/2021 7 a.m. CST,53935,50215,52952,-983
ERCO,2/11/2021 8 a.m. CST,56573,52038,55543,-1030
ERCO,2/11/2021 9 a.m. CST,57841,52116,56987,-854
ERCO,2/11/2021 10 a.m. CST,58762,51917,57855,-906
ERCO,2/11/2021 11 a.m. CST,59455,51627,58608,-847
ERCO,2/11/2021 12 p.m. CST,59821,51421,59006,-815
ERCO,2/11/2021 1 p.m. CST,59505,50925,58642,-862
ERCO,2/11/2021 2 p.m. CST,59223,49542,58359,-864
ERCO,2/11/2021 3 p.m. CST,58831,49243,57967,-864
ERCO,2/11/2021 4 p.m. CST,58692,48256,57794,-898
ERCO,2/11/2021 5 p.m. CST,58893,48760,57982,-911
ERCO,2/11/2021 6 p.m. CST,59619,50230,58429,-1191
ERCO,2/11/2021 7 p.m. CST,60768,52381,59614,-1154
ERCO,2/11/2021 8 p.m. CST,60849,52111,59753,-1096
ERCO,2/11/2021 9 p.m. CST,60314,51777,59372,-942
ERCO,2/11/2021 10 p.m. CST,58669,50307,57852,-816
ERCO,2/11/2021 11 p.m. CST,56448,48479,55632,-815
ERCO,2/12/2021 12 a.m. CST,54499,46472,53683,-815
ERCO,2/12/2021 1 a.m. CST,53355,51355,52441,-914
ERCO,2/12/2021 2 a.m. CST,52940,50433,51977,-963
ERCO,2/12/2021 3 a.m. CST,52934,48415,52020,-914
ERCO,2/12/2021 4 a.m. CST,53340,49612,52426,-913
ERCO,2/12/2021 5 a.m. CST,54503,51692,53540,-962
ERCO,2/12/2021 6 a.m. CST,56754,53404,55768,-986
ERCO,2/12/2021 7 a.m. CST,59933,57809,58744,-1189
ERCO,2/12/2021 8 a.m. CST,62083,59736,60889,-1194
ERCO,2/12/2021 9 a.m. CST,63049,59983,61855,-1194
ERCO,2/12/2021 10 a.m. CST,63576,60101,62382,-1194
ERCO,2/12/2021 11 a.m. CST,63716,60375,62522,-1193
ERCO,2/12/2021 12 p.m. CST,63106,59888,61913,-1193
ERCO,2/12/2021 1 p.m. CST,62424,59519,61231,-1193
ERCO,2/12/2021 2 p.m. CST,61883,58607,60689,-1193
ERCO,2/12/2021 3 p.m. CST,61501,57837,60308,-1194
ERCO,2/12/2021 4 p.m. CST,61018,56924,59823,-1194
ERCO,2/12/2021 5 p.m. CST,61092,57958,59898,-1194
ERCO,2/12/2021 6 p.m. CST,61808,58520,60614,-1194
ERCO,2/12/2021 7 p.m. CST,62736,59720,61542,-1194
ERCO,2/12/2021 8 p.m. CST,62723,59688,61528,-1194
ERCO,2/12/2021 9 p.m. CST,62030,59098,60835,-1194
ERCO,2/12/2021 10 p.m. CST,60885,57764,59901,-983
ERCO,2/12/2021 11 p.m. CST,59008,55817,58046,-962
ERCO,2/13/2021 12 a.m. CST,57303,53951,56349,-955
ERCO,2/13/2021 1 a.m. CST,55790,53966,54774,-1015
ERCO,2/13/2021 2 a.m. CST,55132,51704,54113,-1018
ERCO,2/13/2021 3 a.m. CST,54878,52830,53786,-1093
ERCO,2/13/2021 4 a.m. CST,55030,52772,53937,-1093
ERCO,2/13/2021 5 a.m. CST,55687,53308,54594,-1093
ERCO,2/13/2021 6 a.m. CST,56936,54625,55772,-1163
ERCO,2/13/2021 7 a.m. CST,58627,55275,57431,-1196
ERCO,2/13/2021 8 a.m. CST,60081,57183,58885,-1196
ERCO,2/13/2021 9 a.m. CST,61701,58775,60505,-1196
ERCO,2/13/2021 10 a.m. CST,63195,61933,62000,-1195
ERCO,2/13/2021 11 a.m. CST,63694,62619,62525,-1169
ERCO,2/13/2021 12 p.m. CST,63135,63010,62049,-1085
ERCO,2/13/2021 1 p.m. CST,61653,63043,60547,-1107
ERCO,2/13/2021 2 p.m. CST,59679,62408,58571,-1108
ERCO,2/13/2021 3 p.m. CST,58089,61280,56982,-1108
ERCO,2/13/2021 4 p.m. CST,57012,61567,55904,-1108
ERCO,2/13/2021 5 p.m. CST,57170,63060,55995,-1174
ERCO,2/13/2021 6 p.m. CST,58384,61745,57190,-1193
ERCO,2/13/2021 7 p.m. CST,60139,61207,58942,-1197
ERCO,2/13/2021 8 p.m. CST,60330,61143,59134,-1196
ERCO,2/13/2021 9 p.m. CST,59721,60248,58561,-1160
ERCO,2/13/2021 10 p.m. CST,58746,59706,57639,-1107
ERCO,2/13/2021 11 p.m. CST,57164,58134,56107,-1056
ERCO,2/14/2021 12 a.m. CST,55867,55882,54773,-1093
ERCO,2/14/2021 1 a.m. CST,54875,56179,53681,-1194
ERCO,2/14/2021 2 a.m. CST,54376,54689,53182,-1194
ERCO,2/14/2021 3 a.m. CST,54327,56145,53132,-1194
ERCO,2/14/2021 4 a.m. CST,54629,56032,53435,-1194
ERCO,2/14/2021 5 a.m. CST,55229,57194,54035,-1194
ERCO,2/14/2021 6 a.m. CST,56275,56630,55080,-1194
ERCO,2/14/2021 7 a.m. CST,57637,56283,56443,-1194
ERCO,2/14/2021 8 a.m. CST,59045,61088,57851,-1194
ERCO,2/14/2021 9 a.m. CST,60842,64387,59647,-1194
ERCO,2/14/2021 10 a.m. CST,62573,65501,61379,-1194
ERCO,2/14/2021 11 a.m. CST,63700,66395,62506,-1194
ERCO,2/14/2021 12 p.m. CST,64431,67082,63237,-1194
ERCO,2/14/2021 1 p.m. CST,64589,67471,63395,-1194
ERCO,2/14/2021 2 p.m. CST,64593,69088,63399,-1194
ERCO,2/14/2021 3 p.m. CST,64746,70007,63552,-1194
ERCO,2/14/2021 4 p.m. CST,65106,70795,63912,-1194
ERCO,2/14/2021 5 p.m. CST,66011,72101,64817,-1194
ERCO,2/14/2021 6 p.m. CST,67643,70872,66449,-1194
ERCO,2/14/2021 7 p.m. CST,69175,69094,67981,-1194
ERCO,2/14/2021 8 p.m. CST,69215,71491,68021,-1194
ERCO,2/14/2021 9 p.m. CST,68862,70522,67667,-1195
ERCO,2/14/2021 10 p.m. CST,67999,66375,66804,-1195
ERCO,2/14/2021 11 p.m. CST,66689,65166,65493,-1196
ERCO,2/15/2021 12 a.m. CST,65766,62892,64571,-1196
ERCO,2/15/2021 1 a.m. CST,65255,64579,64059,-1196
ERCO,2/15/2021 2 a.m. CST,63395,64731,62198,-1197
ERCO,2/15/2021 3 a.m. CST,54178,64015,52982,-1196
ERCO,2/15/2021 4 a.m. CST,54173,64450,52977,-1196
ERCO,2/15/2021 5 a.m. CST,54504,67069,53308,-1196
ERCO,2/15/2021 6 a.m. CST,52185,64516,51089,-1096
ERCO,2/15/2021 7 a.m. CST,51388,71408,50573,-815
ERCO,2/15/2021 8 a.m. CST,51402,72183,50588,-814
ERCO,2/15/2021 9 a.m. CST,49849,74356,49035,-814
ERCO,2/15/2021 10 a.m. CST,49597,75857,48782,-814
ERCO,2/15/2021 11 a.m. CST,48747,76783,47933,-815
ERCO,2/15/2021 12 p.m. CST,47698,71092,46883,-815
ERCO,2/15/2021 1 p.m. CST,46247,71972,45550,-696
