BA Code,Timestamp (Hour Ending),Demand (MWh),Demand Forecast (MWh),Net Generation (MWh),Total Interchange (MWh)
ERCO,2/18/2021 6 a.m. CST,49865,61974,49201,-664
ERCO,2/18/2021 7 a.m. CST,51517,64912,50853,-664
ERCO,2/18/2021 8 a.m. CST,52680,66327,52016,-664
ERCO,2/18/2021 9 a.m. CST,53837,66471,53172,-664
ERCO,2/18/2021 10 a.m. CST,54998,65485,54333,-664
ERCO,2/18/2021 11 a.m. CST,55426,64457,54760,-667
ERCO,2/18/2021 12 p.m. CST,55172,63585,54362,-810
ERCO,2/18/2021 1 p.m. CST,53915,62053,53101,-814
ERCO,2/18/2021 2 p.m. CST,52238,60557,51425,-814
ERCO,2/18/2021 3 p.m. CST,50877,60250,50064,-814
ERCO,2/18/2021 4 p.m. CST,50067,59555,49254,-814
ERCO,2/18/2021 5 p.m. CST,50187,59783,49373,-814
ERCO,2/18/2021 6 p.m. CST,51526,60335,50713,-814
ERCO,2/18/2021 7 p.m. CST,54211,63393,53398,-813
ERCO,2/18/2021 8 p.m. CST,54942,64703,54130,-811
ERCO,2/18/2021 9 p.m. CST,54606,63696,53937,-669
ERCO,2/18/2021 10 p.m. CST,53899,62502,53234,-664
ERCO,2/18/2021 11 p.m. CST,52703,60798,52038,-664
ERCO,2/19/2021 12 a.m. CST,51776,59303,51110,-667
ERCO,2/19/2021 1 a.m. CST,51231,57383,,
ERCO,2/19/2021 2 a.m. CST,51276,56968,,
ERCO,2/19/2021 3 a.m. CST,51626,57850,,
ERCO,2/19/2021 4 a.m. CST,52247,57092,,
ERCO,2/19/2021 5 a.m. CST,53339,57468,,
ERCO,2/19/2021 6 a.m. CST,55055,61188,,
ERCO,2/19/2021 7 a.m. CST,57302,64821,,
ERCO,2/19/2021 8 a.m. CST,58410,66218,,
ERCO,2/19/2021 9 a.m. CST,56948,64506,,
ERCO,2/19/2021 10 a.m. CST,54320,61180,,
ERCO,2/19/2021 11 a.m. CST,51516,58324,,
ERCO,2/19/2021 12 p.m. CST,,56345,,
ERCO,2/19/2021 1 p.m. CST,,53849,,
ERCO,2/19/2021 2 p.m. CST,,50668,,
ERCO,2/19/2021 3 p.m. CST,,49722,,
ERCO,2/19/2021 4 p.m. CST,,48437,,
ERCO,2/19/2021 5 p.m. CST,,48208,,
ERCO,2/19/2021 6 p.m. CST,,49666,,
ERCO,2/19/2021 7 p.m. CST,,53854,,
ERCO,2/19/2021 8 p.m. CST,,55136,,
ERCO,2/19/2021 9 p.m. CST,,55873,,
ERCO,2/19/2021 10 p.m. CST,,55539,,
ERCO,2/19/2021 11 p.m. CST,,54206,,
ERCO,2/20/2021 12 a.m. CST,,53103,,
