file_pair,score,score_clipped
"('Code2-data\\i yop .txt', 'Code2-data\\wqkh .txt')",0.46465328335762024,0.46465328335762024
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\new 8.txt')",0.5366865992546082,0.5366865992546082
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\oto .txt')",0.5130075812339783,0.5130075812339783
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\ri3r2  231; 1.txt')",0.5400082468986511,0.5400082468986511
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\rinpx.txt')",0.587098240852356,0.587098240852356
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\titvtovt23vot32v.txt')",0.5482638478279114,0.5482638478279114
"('Code2-data\\k qooi4oo4t .txt', 'Code2-data\\wqkh .txt')",0.4715808033943176,0.4715808033943176
"('Code2-data\\new 8.txt', 'Code2-data\\oto .txt')",0.5380045771598816,0.5380045771598816
"('Code2-data\\new 8.txt', 'Code2-data\\ri3r2  231; 1.txt')",0.547977089881897,0.547977089881897
"('Code2-data\\new 8.txt', 'Code2-data\\rinpx.txt')",0.5904607176780701,0.5904607176780701
"('Code2-data\\new 8.txt', 'Code2-data\\titvtovt23vot32v.txt')",0.5540589690208435,0.5540589690208435
"('Code2-data\\new 8.txt', 'Code2-data\\wqkh .txt')",0.48023730516433716,0.48023730516433716
"('Code2-data\\oto .txt', 'Code2-data\\ri3r2  231; 1.txt')",0.5747344493865967,0.5747344493865967
"('Code2-data\\oto .txt', 'Code2-data\\rinpx.txt')",0.6086281538009644,0.6086281538009644
"('Code2-data\\oto .txt', 'Code2-data\\titvtovt23vot32v.txt')",0.577335000038147,0.577335000038147
"('Code2-data\\oto .txt', 'Code2-data\\wqkh .txt')",0.47589853405952454,0.47589853405952454
"('Code2-data\\ri3r2  231; 1.txt', 'Code2-data\\rinpx.txt')",0.5895307660102844,0.5895307660102844
"('Code2-data\\ri3r2  231; 1.txt', 'Code2-data\\titvtovt23vot32v.txt')",0.5515223145484924,0.5515223145484924
"('Code2-data\\ri3r2  231; 1.txt', 'Code2-data\\wqkh .txt')",0.4840709865093231,0.4840709865093231
"('Code2-data\\rinpx.txt', 'Code2-data\\titvtovt23vot32v.txt')",0.5448115468025208,0.5448115468025208
"('Code2-data\\rinpx.txt', 'Code2-data\\wqkh .txt')",0.4926129877567291,0.4926129877567291
"('Code2-data\\titvtovt23vot32v.txt', 'Code2-data\\wqkh .txt')",0.4873273968696594,0.4873273968696594
