,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-05-03,16046.0,8803.0,28598.0
2020-05-04,19655.0,10095.0,36104.0
2020-05-05,20315.0,10721.0,37687.0
2020-05-06,19661.0,10385.0,36613.0
2020-05-07,21587.0,11216.0,39723.0
2020-05-08,21027.0,11126.0,39446.0
2020-05-09,19962.0,12394.0,39162.0
2020-05-10,18872.0,10246.0,33771.0
2020-05-11,19072.0,10045.0,35886.0
2020-05-12,21180.0,10673.0,38582.0
2020-05-13,22654.0,10819.0,39986.0
2020-05-14,23016.0,11176.0,40677.0
2020-05-15,25030.0,11654.0,43868.0
2020-05-16,23375.0,11538.0,40501.0
2020-05-17,18764.0,10273.0,33412.0
2020-05-18,22950.0,11078.0,40957.0
2020-05-19,23404.0,11105.0,41865.0
2020-05-20,22997.0,11065.0,41149.0
2020-05-21,24615.0,11429.0,42415.0
2020-05-22,24223.0,11645.0,43395.0
2020-05-23,21459.0,11469.0,39717.0
2020-05-24,20061.0,10457.0,34858.0
2020-05-25,19319.0,9924.0,33663.0
2020-05-26,23820.0,11004.0,41677.0
2020-05-27,24464.0,11308.0,42973.0
2020-05-28,23324.0,11223.0,42255.0
2020-05-29,25513.0,12156.0,46249.0
2020-05-30,25014.0,11753.0,43423.0
2020-05-31,19598.0,8920.0,33565.0
2020-06-01,21706.0,9099.0,37994.0
2020-06-02,22882.0,10599.0,40206.0
2020-06-03,21930.0,9592.0,38705.0
2020-06-04,23819.0,10509.0,41834.0
2020-06-05,24169.0,10705.0,43140.0
2020-06-06,22796.0,11137.0,40539.0
2020-06-07,19821.0,9659.0,34289.0
