date,completely_home_device_count_percentage,median_home_dwell_time_percentage,part_time_work_behavior_devices_percentage,full_time_work_behavior_devices_percentage,completely_home_device_count,device_count,part_time_work_behavior_devices,full_time_work_behavior_devices
2020-01-01,37.816059644754986,53.19444444444444,3.7920464736510997,2.4227335394664635,28252.0,74708.0,2833.0,1810.0
2020-01-02,31.555124032491864,47.22222222222222,7.525367174465989,7.350326833137324,23075.0,73125.0,5503.0,5375.0
2020-01-03,30.448335049776865,44.513888888888886,8.038448335049777,7.173360796429798,22174.0,72824.0,5854.0,5224.0
2020-01-04,35.47918948521358,50.97222222222222,4.875410733844468,2.838170865279299,25914.0,73039.0,3561.0,2073.0
2020-01-05,38.55006537371977,55.208333333333336,4.5570930485944645,2.634016125517542,28305.0,73423.0,3346.0,1934.0
2020-01-06,29.85022881708501,45.763888888888886,8.775481902648732,8.858688115379282,21525.0,72109.0,6328.0,6388.0
2020-01-07,29.739240151408946,46.59722222222222,9.17846628347119,8.893873545492779,21213.0,71329.0,6547.0,6344.0
2020-01-08,29.122568396593984,46.80555555555556,9.482721979002848,8.964168827304798,20555.0,70580.0,6693.0,6327.0
2020-01-09,27.022998296422486,45.520833333333336,8.685406019307212,8.167234525837593,19035.0,70439.0,6118.0,5753.0
2020-01-10,26.92407471463161,43.22916666666667,9.790441600368961,8.611495445635882,18681.0,69383.0,6793.0,5975.0
2020-01-11,31.3585291113381,49.583333333333336,5.222530278710054,2.813366408872027,21490.0,68529.0,3579.0,1928.0
2020-01-12,34.47819189964053,55.00000000000001,4.392181974298896,2.4609608079984864,23691.0,68712.0,3018.0,1691.0
2020-01-13,27.845813186316597,46.111111111111114,9.078584662659859,9.307545151912272,18486.0,66386.0,6027.0,6179.0
2020-01-14,27.725914286594573,47.74305555555556,9.477154388883754,9.769849339125612,17998.0,64913.0,6152.0,6342.0
2020-01-15,25.59591102335876,47.43055555555556,10.311609318026209,9.077591834784963,16075.0,62802.0,6476.0,5701.0
2020-01-16,25.25230466861127,47.36111111111111,9.817654307507526,9.04241214182096,16189.0,64108.0,6294.0,5797.0
2020-01-17,26.8454481298518,43.22916666666667,9.83925350897828,8.159648710107426,17118.0,63764.0,6274.0,5203.0
2020-01-18,35.193658568022165,54.13194444444444,4.835019655861314,3.0160469162853647,21844.0,62067.0,3001.0,1872.0
2020-01-19,35.5291218425667,54.30555555555555,5.134037881301044,2.9951187147528553,22491.0,63302.0,3250.0,1896.0
2020-01-20,33.18882618154302,52.22222222222223,5.925844184506731,4.516505344137213,21053.0,63433.0,3759.0,2865.0
2020-01-21,26.66377802384735,47.083333333333336,8.872947859997112,9.394508369040167,16615.0,62312.0,5529.0,5854.0
2020-01-22,23.843236021315477,45.763888888888886,9.384646098561051,8.561512354684645,15526.0,65116.0,6111.0,5575.0
2020-01-23,25.486133248326425,46.80555555555556,9.281160344277971,8.93369461268728,15990.0,62739.0,5823.0,5605.0
2020-01-24,24.491207748121692,43.68055555555556,10.450954840162813,7.267081744614444,15223.0,62156.0,6496.0,4517.0
2020-01-25,33.133128164399885,53.75,5.8274595453191695,3.4862172805188787,20025.0,60437.0,3522.0,2107.0
2020-01-26,33.72180574197139,55.625,5.05286934887223,2.8988116672668345,20602.0,61093.0,3087.0,1771.0
