INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2020-12-26T12:00:00-00:00,2020-12-26T13:00:00-00:00,ALL,2020-12-26,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19148.07,1
2020-12-26T17:00:00-00:00,2020-12-26T18:00:00-00:00,ALL,2020-12-26,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20491.68,1
2020-12-26T22:00:00-00:00,2020-12-26T23:00:00-00:00,ALL,2020-12-26,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20369.33,1
2020-12-27T04:00:00-00:00,2020-12-27T05:00:00-00:00,ALL,2020-12-26,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24744.94,1
2020-12-27T05:00:00-00:00,2020-12-27T06:00:00-00:00,ALL,2020-12-26,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23747.59,1
2020-12-26T16:00:00-00:00,2020-12-26T17:00:00-00:00,ALL,2020-12-26,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20860,1
2020-12-27T06:00:00-00:00,2020-12-27T07:00:00-00:00,ALL,2020-12-26,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22603.19,1
2020-12-27T07:00:00-00:00,2020-12-27T08:00:00-00:00,ALL,2020-12-26,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21231.79,1
2020-12-26T13:00:00-00:00,2020-12-26T14:00:00-00:00,ALL,2020-12-26,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19585.82,1
2020-12-27T00:00:00-00:00,2020-12-27T01:00:00-00:00,ALL,2020-12-26,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22978.2,1
2020-12-26T15:00:00-00:00,2020-12-26T16:00:00-00:00,ALL,2020-12-26,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20646.35,1
2020-12-26T18:00:00-00:00,2020-12-26T19:00:00-00:00,ALL,2020-12-26,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20165.68,1
2020-12-26T19:00:00-00:00,2020-12-26T20:00:00-00:00,ALL,2020-12-26,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19627.92,1
2020-12-26T20:00:00-00:00,2020-12-26T21:00:00-00:00,ALL,2020-12-26,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19500.65,1
