INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2021-07-18T04:00:00-00:00,2021-07-18T05:00:00-00:00,ALL,2021-07-17,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,31407.08,1
2021-07-18T06:00:00-00:00,2021-07-18T07:00:00-00:00,ALL,2021-07-17,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,27383.11,1
2021-07-17T08:00:00-00:00,2021-07-17T09:00:00-00:00,ALL,2021-07-17,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24379.83,1
2021-07-17T21:00:00-00:00,2021-07-17T22:00:00-00:00,ALL,2021-07-17,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,29729.63,1
2021-07-18T03:00:00-00:00,2021-07-18T04:00:00-00:00,ALL,2021-07-17,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32722.23,1
2021-07-17T18:00:00-00:00,2021-07-17T19:00:00-00:00,ALL,2021-07-17,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25566.67,1
2021-07-17T17:00:00-00:00,2021-07-17T18:00:00-00:00,ALL,2021-07-17,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24518.06,1
2021-07-17T09:00:00-00:00,2021-07-17T10:00:00-00:00,ALL,2021-07-17,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23337.92,1
2021-07-18T01:00:00-00:00,2021-07-18T02:00:00-00:00,ALL,2021-07-17,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,34139.04,1
2021-07-17T14:00:00-00:00,2021-07-17T15:00:00-00:00,ALL,2021-07-17,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22606.8,1
2021-07-17T22:00:00-00:00,2021-07-17T23:00:00-00:00,ALL,2021-07-17,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,31269.44,1
2021-07-17T20:00:00-00:00,2021-07-17T21:00:00-00:00,ALL,2021-07-17,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,28201,1
2021-07-17T16:00:00-00:00,2021-07-17T17:00:00-00:00,ALL,2021-07-17,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23778.1,1
2021-07-17T13:00:00-00:00,2021-07-17T14:00:00-00:00,ALL,2021-07-17,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22186.03,1
2021-07-17T11:00:00-00:00,2021-07-17T12:00:00-00:00,ALL,2021-07-17,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22319.18,1
2021-07-18T05:00:00-00:00,2021-07-18T06:00:00-00:00,ALL,2021-07-17,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,29376.09,1
2021-07-18T02:00:00-00:00,2021-07-18T03:00:00-00:00,ALL,2021-07-17,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,33432.63,1
2021-07-18T00:00:00-00:00,2021-07-18T01:00:00-00:00,ALL,2021-07-17,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,33895.8,1
2021-07-17T12:00:00-00:00,2021-07-17T13:00:00-00:00,ALL,2021-07-17,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22192.6,1
2021-07-17T19:00:00-00:00,2021-07-17T20:00:00-00:00,ALL,2021-07-17,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,26779.11,1
2021-07-17T15:00:00-00:00,2021-07-17T16:00:00-00:00,ALL,2021-07-17,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23234.57,1
2021-07-17T10:00:00-00:00,2021-07-17T11:00:00-00:00,ALL,2021-07-17,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22651.8,1
2021-07-17T07:00:00-00:00,2021-07-17T08:00:00-00:00,ALL,2021-07-17,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25896.17,1
2021-07-17T23:00:00-00:00,2021-07-18T00:00:00-00:00,ALL,2021-07-17,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32444.18,1
2021-07-18T06:00:00-00:00,2021-07-18T07:00:00-00:00,LOAD,2021-07-17,24,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.64,2
2021-07-18T05:00:00-00:00,2021-07-18T06:00:00-00:00,LOAD,2021-07-17,23,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.63,2
2021-07-17T22:00:00-00:00,2021-07-17T23:00:00-00:00,LOAD,2021-07-17,16,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T17:00:00-00:00,2021-07-17T18:00:00-00:00,LOAD,2021-07-17,11,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T16:00:00-00:00,2021-07-17T17:00:00-00:00,LOAD,2021-07-17,10,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-18T02:00:00-00:00,2021-07-18T03:00:00-00:00,LOAD,2021-07-17,20,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.05,2
2021-07-18T00:00:00-00:00,2021-07-18T01:00:00-00:00,LOAD,2021-07-17,18,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T15:00:00-00:00,2021-07-17T16:00:00-00:00,LOAD,2021-07-17,9,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T09:00:00-00:00,2021-07-17T10:00:00-00:00,LOAD,2021-07-17,3,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.66,2
2021-07-18T03:00:00-00:00,2021-07-18T04:00:00-00:00,LOAD,2021-07-17,21,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.75,2
2021-07-17T14:00:00-00:00,2021-07-17T15:00:00-00:00,LOAD,2021-07-17,8,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T12:00:00-00:00,2021-07-17T13:00:00-00:00,LOAD,2021-07-17,6,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.56,2
2021-07-17T10:00:00-00:00,2021-07-17T11:00:00-00:00,LOAD,2021-07-17,4,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.66,2
2021-07-17T08:00:00-00:00,2021-07-17T09:00:00-00:00,LOAD,2021-07-17,2,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-07-17T07:00:00-00:00,2021-07-17T08:00:00-00:00,LOAD,2021-07-17,1,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-07-17T19:00:00-00:00,2021-07-17T20:00:00-00:00,LOAD,2021-07-17,13,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-18T04:00:00-00:00,2021-07-18T05:00:00-00:00,LOAD,2021-07-17,22,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.64,2
2021-07-17T13:00:00-00:00,2021-07-17T14:00:00-00:00,LOAD,2021-07-17,7,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-07-17T11:00:00-00:00,2021-07-17T12:00:00-00:00,LOAD,2021-07-17,5,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.66,2
