INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2021-06-22T16:00:00-00:00,2021-06-22T17:00:00-00:00,ALL,2021-06-22,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25443.52,1
2021-06-22T23:00:00-00:00,2021-06-23T00:00:00-00:00,ALL,2021-06-22,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,31676.54,1
2021-06-23T06:00:00-00:00,2021-06-23T07:00:00-00:00,ALL,2021-06-22,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,26398.25,1
2021-06-22T15:00:00-00:00,2021-06-22T16:00:00-00:00,ALL,2021-06-22,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25234.55,1
2021-06-23T03:00:00-00:00,2021-06-23T04:00:00-00:00,ALL,2021-06-22,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32408.14,1
2021-06-23T04:00:00-00:00,2021-06-23T05:00:00-00:00,ALL,2021-06-22,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,31038.71,1
2021-06-22T07:00:00-00:00,2021-06-22T08:00:00-00:00,ALL,2021-06-22,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24525.85,1
2021-06-22T21:00:00-00:00,2021-06-22T22:00:00-00:00,ALL,2021-06-22,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,29444.76,1
2021-06-23T01:00:00-00:00,2021-06-23T02:00:00-00:00,ALL,2021-06-22,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,33369.27,1
2021-06-22T13:00:00-00:00,2021-06-22T14:00:00-00:00,ALL,2021-06-22,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23629.94,1
2021-06-23T02:00:00-00:00,2021-06-23T03:00:00-00:00,ALL,2021-06-22,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32927.38,1
2021-06-22T10:00:00-00:00,2021-06-22T11:00:00-00:00,ALL,2021-06-22,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21995.93,1
2021-06-22T09:00:00-00:00,2021-06-22T10:00:00-00:00,ALL,2021-06-22,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22357,1
2021-06-22T11:00:00-00:00,2021-06-22T12:00:00-00:00,ALL,2021-06-22,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21927.79,1
2021-06-22T12:00:00-00:00,2021-06-22T13:00:00-00:00,ALL,2021-06-22,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22600.61,1
2021-06-22T19:00:00-00:00,2021-06-22T20:00:00-00:00,ALL,2021-06-22,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,27077.83,1
2021-06-23T00:00:00-00:00,2021-06-23T01:00:00-00:00,ALL,2021-06-22,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,32928.71,1
2021-06-22T08:00:00-00:00,2021-06-22T09:00:00-00:00,ALL,2021-06-22,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23197.74,1
2021-06-22T14:00:00-00:00,2021-06-22T15:00:00-00:00,ALL,2021-06-22,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24763.05,1
2021-06-22T17:00:00-00:00,2021-06-22T18:00:00-00:00,ALL,2021-06-22,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25762.94,1
2021-06-22T18:00:00-00:00,2021-06-22T19:00:00-00:00,ALL,2021-06-22,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,26350.16,1
2021-06-22T20:00:00-00:00,2021-06-22T21:00:00-00:00,ALL,2021-06-22,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,28233.19,1
2021-06-22T22:00:00-00:00,2021-06-22T23:00:00-00:00,ALL,2021-06-22,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,30670.82,1
2021-06-23T05:00:00-00:00,2021-06-23T06:00:00-00:00,ALL,2021-06-22,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,28640.83,1
