INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,SLRS_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_ZONE_NAME,SCHEDULE,XML_DATA_ITEM,POS,MW,GROUP
2021-01-23T16:00:00-00:00,2021-01-23T17:00:00-00:00,ALL,2021-01-23,9,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22084.49,1
2021-01-24T00:00:00-00:00,2021-01-24T01:00:00-00:00,ALL,2021-01-23,17,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22758.88,1
2021-01-23T09:00:00-00:00,2021-01-23T10:00:00-00:00,ALL,2021-01-23,2,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19824.49,1
2021-01-23T21:00:00-00:00,2021-01-23T22:00:00-00:00,ALL,2021-01-23,14,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20786.31,1
2021-01-23T20:00:00-00:00,2021-01-23T21:00:00-00:00,ALL,2021-01-23,13,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20835.11,1
2021-01-23T08:00:00-00:00,2021-01-23T09:00:00-00:00,ALL,2021-01-23,1,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20630.3,1
2021-01-24T04:00:00-00:00,2021-01-24T05:00:00-00:00,ALL,2021-01-23,21,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,24859.25,1
2021-01-24T03:00:00-00:00,2021-01-24T04:00:00-00:00,ALL,2021-01-23,20,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25382.92,1
2021-01-23T22:00:00-00:00,2021-01-23T23:00:00-00:00,ALL,2021-01-23,15,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20895.37,1
2021-01-23T18:00:00-00:00,2021-01-23T19:00:00-00:00,ALL,2021-01-23,11,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21546.57,1
2021-01-23T10:00:00-00:00,2021-01-23T11:00:00-00:00,ALL,2021-01-23,3,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19388.32,1
2021-01-24T07:00:00-00:00,2021-01-24T08:00:00-00:00,ALL,2021-01-23,24,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21251.5,1
2021-01-23T19:00:00-00:00,2021-01-23T20:00:00-00:00,ALL,2021-01-23,12,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21125.47,1
2021-01-23T17:00:00-00:00,2021-01-23T18:00:00-00:00,ALL,2021-01-23,10,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21915.26,1
2021-01-23T11:00:00-00:00,2021-01-23T12:00:00-00:00,ALL,2021-01-23,4,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19163.39,1
2021-01-24T06:00:00-00:00,2021-01-24T07:00:00-00:00,ALL,2021-01-23,23,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,22527.82,1
2021-01-24T05:00:00-00:00,2021-01-24T06:00:00-00:00,ALL,2021-01-23,22,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,23812.69,1
2021-01-24T02:00:00-00:00,2021-01-24T03:00:00-00:00,ALL,2021-01-23,19,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25676.06,1
2021-01-24T01:00:00-00:00,2021-01-24T02:00:00-00:00,ALL,2021-01-23,18,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,25124.87,1
2021-01-23T23:00:00-00:00,2021-01-24T00:00:00-00:00,ALL,2021-01-23,16,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21481.04,1
2021-01-23T15:00:00-00:00,2021-01-23T16:00:00-00:00,ALL,2021-01-23,8,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,21591.83,1
2021-01-23T14:00:00-00:00,2021-01-23T15:00:00-00:00,ALL,2021-01-23,7,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,20784.51,1
2021-01-23T13:00:00-00:00,2021-01-23T14:00:00-00:00,ALL,2021-01-23,6,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19878.68,1
2021-01-23T12:00:00-00:00,2021-01-23T13:00:00-00:00,ALL,2021-01-23,5,0,DAM,Caiso_Totals,Load,ISO_TOT_LOAD_MW,4,19315.13,1
2021-01-23T22:00:00-00:00,2021-01-23T23:00:00-00:00,LOAD,2021-01-23,15,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-01-23T17:00:00-00:00,2021-01-23T18:00:00-00:00,LOAD,2021-01-23,10,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-01-23T14:00:00-00:00,2021-01-23T15:00:00-00:00,LOAD,2021-01-23,7,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-01-23T21:00:00-00:00,2021-01-23T22:00:00-00:00,LOAD,2021-01-23,14,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-01-23T13:00:00-00:00,2021-01-23T14:00:00-00:00,LOAD,2021-01-23,6,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.68,2
2021-01-24T07:00:00-00:00,2021-01-24T08:00:00-00:00,LOAD,2021-01-23,24,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-01-24T06:00:00-00:00,2021-01-24T07:00:00-00:00,LOAD,2021-01-23,23,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-01-23T20:00:00-00:00,2021-01-23T21:00:00-00:00,LOAD,2021-01-23,13,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-01-23T19:00:00-00:00,2021-01-23T20:00:00-00:00,LOAD,2021-01-23,12,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
2021-01-23T08:00:00-00:00,2021-01-23T09:00:00-00:00,LOAD,2021-01-23,1,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-01-24T02:00:00-00:00,2021-01-24T03:00:00-00:00,LOAD,2021-01-23,19,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.64,2
2021-01-23T10:00:00-00:00,2021-01-23T11:00:00-00:00,LOAD,2021-01-23,3,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0.65,2
2021-01-23T23:00:00-00:00,2021-01-24T00:00:00-00:00,LOAD,2021-01-23,16,0,DAM,NONTAC,Load,TOT_LOAD_MW,8,0,2
