Time Stamp,Time Zone,Fuel Category,Gen MWh
01/15/2017 00:05:00,EST,Dual Fuel,2053.0
01/15/2017 00:05:00,EST,Natural Gas,2498.0
01/15/2017 00:05:00,EST,Nuclear,4512.0
01/15/2017 00:05:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:05:00,EST,Other Renewables,284.0
01/15/2017 00:05:00,EST,Wind,643.0
01/15/2017 00:05:00,EST,Hydro,2466.0
01/15/2017 00:10:00,EST,Dual Fuel,1994.0
01/15/2017 00:10:00,EST,Natural Gas,2481.0
01/15/2017 00:10:00,EST,Nuclear,4513.0
01/15/2017 00:10:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:10:00,EST,Other Renewables,282.0
01/15/2017 00:10:00,EST,Wind,648.0
01/15/2017 00:10:00,EST,Hydro,2342.0
01/15/2017 00:15:00,EST,Dual Fuel,2036.0
01/15/2017 00:15:00,EST,Natural Gas,2470.0
01/15/2017 00:15:00,EST,Nuclear,4513.0
01/15/2017 00:15:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:15:00,EST,Other Renewables,286.0
01/15/2017 00:15:00,EST,Wind,646.0
01/15/2017 00:15:00,EST,Hydro,2254.0
01/15/2017 00:20:00,EST,Dual Fuel,1985.0
01/15/2017 00:20:00,EST,Natural Gas,2439.0
01/15/2017 00:20:00,EST,Nuclear,4512.0
01/15/2017 00:20:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:20:00,EST,Other Renewables,292.0
01/15/2017 00:20:00,EST,Wind,652.0
01/15/2017 00:20:00,EST,Hydro,2228.0
01/15/2017 00:25:00,EST,Dual Fuel,1975.0
01/15/2017 00:25:00,EST,Natural Gas,2419.0
01/15/2017 00:25:00,EST,Nuclear,4513.0
01/15/2017 00:25:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:25:00,EST,Other Renewables,290.0
01/15/2017 00:25:00,EST,Wind,663.0
01/15/2017 00:25:00,EST,Hydro,2161.0
01/15/2017 00:30:00,EST,Dual Fuel,1979.0
01/15/2017 00:30:00,EST,Natural Gas,2380.0
01/15/2017 00:30:00,EST,Nuclear,4514.0
01/15/2017 00:30:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:30:00,EST,Other Renewables,290.0
01/15/2017 00:30:00,EST,Wind,681.0
01/15/2017 00:30:00,EST,Hydro,2125.0
01/15/2017 00:35:00,EST,Dual Fuel,1976.0
01/15/2017 00:35:00,EST,Natural Gas,2352.0
01/15/2017 00:35:00,EST,Nuclear,4512.0
01/15/2017 00:35:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:35:00,EST,Other Renewables,286.0
01/15/2017 00:35:00,EST,Wind,684.0
01/15/2017 00:35:00,EST,Hydro,2038.0
01/15/2017 00:40:00,EST,Dual Fuel,1953.0
01/15/2017 00:40:00,EST,Natural Gas,2323.0
01/15/2017 00:40:00,EST,Nuclear,4511.0
01/15/2017 00:40:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:40:00,EST,Other Renewables,289.0
01/15/2017 00:40:00,EST,Wind,694.0
01/15/2017 00:40:00,EST,Hydro,2005.0
01/15/2017 00:45:00,EST,Dual Fuel,1903.0
01/15/2017 00:45:00,EST,Natural Gas,2280.0
01/15/2017 00:45:00,EST,Nuclear,4512.0
01/15/2017 00:45:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:45:00,EST,Other Renewables,287.0
01/15/2017 00:45:00,EST,Wind,703.0
01/15/2017 00:45:00,EST,Hydro,1990.0
01/15/2017 00:50:00,EST,Dual Fuel,1871.0
01/15/2017 00:50:00,EST,Natural Gas,2210.0
01/15/2017 00:50:00,EST,Nuclear,4512.0
01/15/2017 00:50:00,EST,Other Fossil Fuels,0.0
01/15/2017 00:50:00,EST,Other Renewables,280.0
01/15/2017 00:50:00,EST,Wind,706.0
01/15/2017 00:50:00,EST,Hydro,1977.0
