Time Stamp,Time Zone,Fuel Category,Gen MW
10/11/2021 00:05:00,EDT,Dual Fuel,1690.0
10/11/2021 00:05:00,EDT,Natural Gas,2831.0
10/11/2021 00:05:00,EDT,Nuclear,2731.0
10/11/2021 00:05:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:05:00,EDT,Other Renewables,246.0
10/11/2021 00:05:00,EDT,Wind,652.0
10/11/2021 00:05:00,EDT,Hydro,2430.0
10/11/2021 00:10:00,EDT,Dual Fuel,1721.0
10/11/2021 00:10:00,EDT,Natural Gas,2795.0
10/11/2021 00:10:00,EDT,Nuclear,2731.0
10/11/2021 00:10:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:10:00,EDT,Other Renewables,247.0
10/11/2021 00:10:00,EDT,Wind,657.0
10/11/2021 00:10:00,EDT,Hydro,2464.0
10/11/2021 00:15:00,EDT,Dual Fuel,1727.0
10/11/2021 00:15:00,EDT,Natural Gas,2732.0
10/11/2021 00:15:00,EDT,Nuclear,2733.0
10/11/2021 00:15:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:15:00,EDT,Other Renewables,250.0
10/11/2021 00:15:00,EDT,Wind,661.0
10/11/2021 00:15:00,EDT,Hydro,2473.0
10/11/2021 00:20:00,EDT,Dual Fuel,1704.0
10/11/2021 00:20:00,EDT,Natural Gas,2728.0
10/11/2021 00:20:00,EDT,Nuclear,2730.0
10/11/2021 00:20:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:20:00,EDT,Other Renewables,247.0
10/11/2021 00:20:00,EDT,Wind,647.0
10/11/2021 00:20:00,EDT,Hydro,2496.0
10/11/2021 00:25:00,EDT,Dual Fuel,1677.0
10/11/2021 00:25:00,EDT,Natural Gas,2662.0
10/11/2021 00:25:00,EDT,Nuclear,2729.0
10/11/2021 00:25:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:25:00,EDT,Other Renewables,246.0
10/11/2021 00:25:00,EDT,Wind,648.0
10/11/2021 00:25:00,EDT,Hydro,2508.0
10/11/2021 00:30:00,EDT,Dual Fuel,1749.0
10/11/2021 00:30:00,EDT,Natural Gas,2589.0
10/11/2021 00:30:00,EDT,Nuclear,2731.0
10/11/2021 00:30:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:30:00,EDT,Other Renewables,249.0
10/11/2021 00:30:00,EDT,Wind,642.0
10/11/2021 00:30:00,EDT,Hydro,2505.0
10/11/2021 00:35:00,EDT,Dual Fuel,1847.0
10/11/2021 00:35:00,EDT,Natural Gas,2566.0
10/11/2021 00:35:00,EDT,Nuclear,2730.0
10/11/2021 00:35:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:35:00,EDT,Other Renewables,248.0
10/11/2021 00:35:00,EDT,Wind,632.0
10/11/2021 00:35:00,EDT,Hydro,2491.0
10/11/2021 00:40:00,EDT,Dual Fuel,1795.0
10/11/2021 00:40:00,EDT,Natural Gas,2593.0
10/11/2021 00:40:00,EDT,Nuclear,2730.0
10/11/2021 00:40:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:40:00,EDT,Other Renewables,245.0
10/11/2021 00:40:00,EDT,Wind,634.0
10/11/2021 00:40:00,EDT,Hydro,2467.0
10/11/2021 00:45:00,EDT,Dual Fuel,1766.0
10/11/2021 00:45:00,EDT,Natural Gas,2591.0
10/11/2021 00:45:00,EDT,Nuclear,2730.0
10/11/2021 00:45:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:45:00,EDT,Other Renewables,244.0
10/11/2021 00:45:00,EDT,Wind,637.0
10/11/2021 00:45:00,EDT,Hydro,2464.0
10/11/2021 00:50:00,EDT,Dual Fuel,1818.0
10/11/2021 00:50:00,EDT,Natural Gas,2572.0
10/11/2021 00:50:00,EDT,Nuclear,2733.0
10/11/2021 00:50:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:50:00,EDT,Other Renewables,246.0
10/11/2021 00:50:00,EDT,Wind,630.0
10/11/2021 00:50:00,EDT,Hydro,2441.0
10/11/2021 00:55:00,EDT,Dual Fuel,1922.0
10/11/2021 00:55:00,EDT,Natural Gas,2488.0
10/11/2021 00:55:00,EDT,Nuclear,2730.0
10/11/2021 00:55:00,EDT,Other Fossil Fuels,3.0
10/11/2021 00:55:00,EDT,Other Renewables,246.0
10/11/2021 00:55:00,EDT,Wind,625.0
10/11/2021 00:55:00,EDT,Hydro,2364.0
10/11/2021 01:00:00,EDT,Dual Fuel,1938.0
10/11/2021 01:00:00,EDT,Natural Gas,2457.0
10/11/2021 01:00:00,EDT,Nuclear,2732.0
10/11/2021 01:00:00,EDT,Other Fossil Fuels,3.0
