Time Stamp,Time Zone,Fuel Category,Gen MW
08/14/2021 00:05:00,EDT,Dual Fuel,5992.0
08/14/2021 00:05:00,EDT,Natural Gas,4970.0
08/14/2021 00:05:00,EDT,Nuclear,3222.0
08/14/2021 00:05:00,EDT,Other Fossil Fuels,50.0
08/14/2021 00:05:00,EDT,Other Renewables,244.0
08/14/2021 00:05:00,EDT,Wind,393.0
08/14/2021 00:05:00,EDT,Hydro,2756.0
08/14/2021 00:10:00,EDT,Dual Fuel,5934.0
08/14/2021 00:10:00,EDT,Natural Gas,4773.0
08/14/2021 00:10:00,EDT,Nuclear,3223.0
08/14/2021 00:10:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:10:00,EDT,Other Renewables,251.0
08/14/2021 00:10:00,EDT,Wind,393.0
08/14/2021 00:10:00,EDT,Hydro,2689.0
08/14/2021 00:15:00,EDT,Dual Fuel,5880.0
08/14/2021 00:15:00,EDT,Natural Gas,4543.0
08/14/2021 00:15:00,EDT,Nuclear,3221.0
08/14/2021 00:15:00,EDT,Other Fossil Fuels,50.0
08/14/2021 00:15:00,EDT,Other Renewables,249.0
08/14/2021 00:15:00,EDT,Wind,393.0
08/14/2021 00:15:00,EDT,Hydro,2710.0
08/14/2021 00:20:00,EDT,Dual Fuel,5935.0
08/14/2021 00:20:00,EDT,Natural Gas,4389.0
08/14/2021 00:20:00,EDT,Nuclear,3223.0
08/14/2021 00:20:00,EDT,Other Fossil Fuels,50.0
08/14/2021 00:20:00,EDT,Other Renewables,246.0
08/14/2021 00:20:00,EDT,Wind,416.0
08/14/2021 00:20:00,EDT,Hydro,2769.0
08/14/2021 00:25:00,EDT,Dual Fuel,5949.0
08/14/2021 00:25:00,EDT,Natural Gas,4370.0
08/14/2021 00:25:00,EDT,Nuclear,3223.0
08/14/2021 00:25:00,EDT,Other Fossil Fuels,50.0
08/14/2021 00:25:00,EDT,Other Renewables,246.0
08/14/2021 00:25:00,EDT,Wind,428.0
08/14/2021 00:25:00,EDT,Hydro,2788.0
08/14/2021 00:30:00,EDT,Dual Fuel,5952.0
08/14/2021 00:30:00,EDT,Natural Gas,4314.0
08/14/2021 00:30:00,EDT,Nuclear,3223.0
08/14/2021 00:30:00,EDT,Other Fossil Fuels,50.0
08/14/2021 00:30:00,EDT,Other Renewables,248.0
08/14/2021 00:30:00,EDT,Wind,429.0
08/14/2021 00:30:00,EDT,Hydro,2787.0
08/14/2021 00:35:00,EDT,Dual Fuel,5905.0
08/14/2021 00:35:00,EDT,Natural Gas,4261.0
08/14/2021 00:35:00,EDT,Nuclear,3222.0
08/14/2021 00:35:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:35:00,EDT,Other Renewables,248.0
08/14/2021 00:35:00,EDT,Wind,427.0
08/14/2021 00:35:00,EDT,Hydro,2803.0
08/14/2021 00:39:01,EDT,Dual Fuel,5872.0
08/14/2021 00:39:01,EDT,Natural Gas,4214.0
08/14/2021 00:39:01,EDT,Nuclear,3222.0
08/14/2021 00:39:01,EDT,Other Fossil Fuels,51.0
08/14/2021 00:39:01,EDT,Other Renewables,249.0
08/14/2021 00:39:01,EDT,Wind,408.0
08/14/2021 00:39:01,EDT,Hydro,2789.0
08/14/2021 00:40:00,EDT,Dual Fuel,5884.0
08/14/2021 00:40:00,EDT,Natural Gas,4206.0
08/14/2021 00:40:00,EDT,Nuclear,3221.0
08/14/2021 00:40:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:40:00,EDT,Other Renewables,249.0
08/14/2021 00:40:00,EDT,Wind,394.0
08/14/2021 00:40:00,EDT,Hydro,2754.0
08/14/2021 00:40:13,EDT,Dual Fuel,5885.0
08/14/2021 00:40:13,EDT,Natural Gas,4205.0
08/14/2021 00:40:13,EDT,Nuclear,3225.0
08/14/2021 00:40:13,EDT,Other Fossil Fuels,51.0
08/14/2021 00:40:13,EDT,Other Renewables,249.0
08/14/2021 00:40:13,EDT,Wind,392.0
08/14/2021 00:40:13,EDT,Hydro,2748.0
08/14/2021 00:41:19,EDT,Dual Fuel,5886.0
08/14/2021 00:41:19,EDT,Natural Gas,4214.0
08/14/2021 00:41:19,EDT,Nuclear,3221.0
08/14/2021 00:41:19,EDT,Other Fossil Fuels,50.0
08/14/2021 00:41:19,EDT,Other Renewables,248.0
08/14/2021 00:41:19,EDT,Wind,389.0
08/14/2021 00:41:19,EDT,Hydro,2737.0
08/14/2021 00:42:25,EDT,Dual Fuel,5890.0
08/14/2021 00:42:25,EDT,Natural Gas,4217.0
08/14/2021 00:42:25,EDT,Nuclear,3225.0
08/14/2021 00:42:25,EDT,Other Fossil Fuels,51.0
08/14/2021 00:42:25,EDT,Other Renewables,246.0
08/14/2021 00:42:25,EDT,Wind,387.0
08/14/2021 00:42:25,EDT,Hydro,2755.0
08/14/2021 00:45:00,EDT,Dual Fuel,5888.0
08/14/2021 00:45:00,EDT,Natural Gas,4204.0
08/14/2021 00:45:00,EDT,Nuclear,3222.0
08/14/2021 00:45:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:45:00,EDT,Other Renewables,245.0
08/14/2021 00:45:00,EDT,Wind,381.0
08/14/2021 00:45:00,EDT,Hydro,2746.0
08/14/2021 00:50:00,EDT,Dual Fuel,5851.0
08/14/2021 00:50:00,EDT,Natural Gas,4189.0
08/14/2021 00:50:00,EDT,Nuclear,3222.0
08/14/2021 00:50:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:50:00,EDT,Other Renewables,245.0
08/14/2021 00:50:00,EDT,Wind,377.0
08/14/2021 00:50:00,EDT,Hydro,2698.0
08/14/2021 00:55:00,EDT,Dual Fuel,5793.0
08/14/2021 00:55:00,EDT,Natural Gas,4191.0
08/14/2021 00:55:00,EDT,Nuclear,3220.0
08/14/2021 00:55:00,EDT,Other Fossil Fuels,51.0
08/14/2021 00:55:00,EDT,Other Renewables,246.0
08/14/2021 00:55:00,EDT,Wind,347.0
08/14/2021 00:55:00,EDT,Hydro,2647.0
08/14/2021 01:00:00,EDT,Dual Fuel,5745.0
08/14/2021 01:00:00,EDT,Natural Gas,4183.0
08/14/2021 01:00:00,EDT,Nuclear,3222.0
08/14/2021 01:00:00,EDT,Other Fossil Fuels,50.0
08/14/2021 01:00:00,EDT,Other Renewables,247.0
08/14/2021 01:00:00,EDT,Wind,317.0
08/14/2021 01:00:00,EDT,Hydro,2603.0
08/14/2021 01:05:00,EDT,Dual Fuel,5782.0
08/14/2021 01:05:00,EDT,Natural Gas,4188.0
08/14/2021 01:05:00,EDT,Nuclear,3223.0
08/14/2021 01:05:00,EDT,Other Fossil Fuels,50.0
08/14/2021 01:05:00,EDT,Other Renewables,246.0
08/14/2021 01:05:00,EDT,Wind,299.0
08/14/2021 01:05:00,EDT,Hydro,2604.0
08/14/2021 01:10:00,EDT,Dual Fuel,5748.0
08/14/2021 01:10:00,EDT,Natural Gas,4189.0
08/14/2021 01:10:00,EDT,Nuclear,3222.0
08/14/2021 01:10:00,EDT,Other Fossil Fuels,51.0
08/14/2021 01:10:00,EDT,Other Renewables,244.0
08/14/2021 01:10:00,EDT,Wind,289.0
08/14/2021 01:10:00,EDT,Hydro,2643.0
08/14/2021 01:15:00,EDT,Dual Fuel,5694.0
08/14/2021 01:15:00,EDT,Natural Gas,4182.0
08/14/2021 01:15:00,EDT,Nuclear,3221.0
08/14/2021 01:15:00,EDT,Other Fossil Fuels,52.0
08/14/2021 01:15:00,EDT,Other Renewables,250.0
08/14/2021 01:15:00,EDT,Wind,289.0
08/14/2021 01:15:00,EDT,Hydro,2738.0
08/14/2021 01:20:00,EDT,Dual Fuel,5636.0
08/14/2021 01:20:00,EDT,Natural Gas,4190.0
08/14/2021 01:20:00,EDT,Nuclear,3223.0
08/14/2021 01:20:00,EDT,Other Fossil Fuels,51.0
08/14/2021 01:20:00,EDT,Other Renewables,248.0
08/14/2021 01:20:00,EDT,Wind,275.0
08/14/2021 01:20:00,EDT,Hydro,2704.0
08/14/2021 01:25:00,EDT,Dual Fuel,5532.0
08/14/2021 01:25:00,EDT,Natural Gas,4160.0
08/14/2021 01:25:00,EDT,Nuclear,3224.0
08/14/2021 01:25:00,EDT,Other Fossil Fuels,50.0
08/14/2021 01:25:00,EDT,Other Renewables,248.0
08/14/2021 01:25:00,EDT,Wind,258.0
08/14/2021 01:25:00,EDT,Hydro,2691.0
08/14/2021 01:30:00,EDT,Dual Fuel,5456.0
08/14/2021 01:30:00,EDT,Natural Gas,4120.0
08/14/2021 01:30:00,EDT,Nuclear,3224.0
08/14/2021 01:30:00,EDT,Other Fossil Fuels,35.0
08/14/2021 01:30:00,EDT,Other Renewables,249.0
08/14/2021 01:30:00,EDT,Wind,253.0
08/14/2021 01:30:00,EDT,Hydro,2695.0
08/14/2021 01:35:00,EDT,Dual Fuel,5460.0
08/14/2021 01:35:00,EDT,Natural Gas,4068.0
08/14/2021 01:35:00,EDT,Nuclear,3224.0
08/14/2021 01:35:00,EDT,Other Fossil Fuels,5.0
08/14/2021 01:35:00,EDT,Other Renewables,249.0
08/14/2021 01:35:00,EDT,Wind,255.0
08/14/2021 01:35:00,EDT,Hydro,2687.0
08/14/2021 01:40:00,EDT,Dual Fuel,5450.0
08/14/2021 01:40:00,EDT,Natural Gas,4085.0
08/14/2021 01:40:00,EDT,Nuclear,3225.0
08/14/2021 01:40:00,EDT,Other Fossil Fuels,3.0
08/14/2021 01:40:00,EDT,Other Renewables,246.0
08/14/2021 01:40:00,EDT,Wind,275.0
08/14/2021 01:40:00,EDT,Hydro,2622.0
08/14/2021 01:45:00,EDT,Dual Fuel,5396.0
08/14/2021 01:45:00,EDT,Natural Gas,4084.0
08/14/2021 01:45:00,EDT,Nuclear,3224.0
08/14/2021 01:45:00,EDT,Other Fossil Fuels,3.0
08/14/2021 01:45:00,EDT,Other Renewables,246.0
08/14/2021 01:45:00,EDT,Wind,296.0
08/14/2021 01:45:00,EDT,Hydro,2547.0
08/14/2021 01:50:00,EDT,Dual Fuel,5290.0
08/14/2021 01:50:00,EDT,Natural Gas,4067.0
08/14/2021 01:50:00,EDT,Nuclear,3223.0
08/14/2021 01:50:00,EDT,Other Fossil Fuels,3.0
08/14/2021 01:50:00,EDT,Other Renewables,247.0
08/14/2021 01:50:00,EDT,Wind,287.0
08/14/2021 01:50:00,EDT,Hydro,2555.0
08/14/2021 01:55:00,EDT,Dual Fuel,5268.0
08/14/2021 01:55:00,EDT,Natural Gas,4086.0
08/14/2021 01:55:00,EDT,Nuclear,3224.0
08/14/2021 01:55:00,EDT,Other Fossil Fuels,3.0
08/14/2021 01:55:00,EDT,Other Renewables,247.0
08/14/2021 01:55:00,EDT,Wind,274.0
08/14/2021 01:55:00,EDT,Hydro,2557.0
08/14/2021 02:00:00,EDT,Dual Fuel,5257.0
08/14/2021 02:00:00,EDT,Natural Gas,4088.0
08/14/2021 02:00:00,EDT,Nuclear,3224.0
08/14/2021 02:00:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:00:00,EDT,Other Renewables,250.0
08/14/2021 02:00:00,EDT,Wind,272.0
08/14/2021 02:00:00,EDT,Hydro,2547.0
08/14/2021 02:05:00,EDT,Dual Fuel,5238.0
08/14/2021 02:05:00,EDT,Natural Gas,4083.0
08/14/2021 02:05:00,EDT,Nuclear,3225.0
08/14/2021 02:05:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:05:00,EDT,Other Renewables,248.0
08/14/2021 02:05:00,EDT,Wind,274.0
08/14/2021 02:05:00,EDT,Hydro,2541.0
08/14/2021 02:10:00,EDT,Dual Fuel,5253.0
08/14/2021 02:10:00,EDT,Natural Gas,4065.0
08/14/2021 02:10:00,EDT,Nuclear,3226.0
08/14/2021 02:10:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:10:00,EDT,Other Renewables,249.0
08/14/2021 02:10:00,EDT,Wind,275.0
08/14/2021 02:10:00,EDT,Hydro,2529.0
08/14/2021 02:15:00,EDT,Dual Fuel,5267.0
08/14/2021 02:15:00,EDT,Natural Gas,4043.0
08/14/2021 02:15:00,EDT,Nuclear,3226.0
08/14/2021 02:15:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:15:00,EDT,Other Renewables,249.0
08/14/2021 02:15:00,EDT,Wind,275.0
08/14/2021 02:15:00,EDT,Hydro,2484.0
08/14/2021 02:20:00,EDT,Dual Fuel,5276.0
08/14/2021 02:20:00,EDT,Natural Gas,4023.0
08/14/2021 02:20:00,EDT,Nuclear,3226.0
08/14/2021 02:20:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:20:00,EDT,Other Renewables,249.0
08/14/2021 02:20:00,EDT,Wind,279.0
08/14/2021 02:20:00,EDT,Hydro,2475.0
08/14/2021 02:25:00,EDT,Dual Fuel,5263.0
08/14/2021 02:25:00,EDT,Natural Gas,3999.0
08/14/2021 02:25:00,EDT,Nuclear,3229.0
08/14/2021 02:25:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:25:00,EDT,Other Renewables,249.0
08/14/2021 02:25:00,EDT,Wind,289.0
08/14/2021 02:25:00,EDT,Hydro,2447.0
08/14/2021 02:30:00,EDT,Dual Fuel,5239.0
08/14/2021 02:30:00,EDT,Natural Gas,3996.0
08/14/2021 02:30:00,EDT,Nuclear,3228.0
08/14/2021 02:30:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:30:00,EDT,Other Renewables,250.0
08/14/2021 02:30:00,EDT,Wind,289.0
08/14/2021 02:30:00,EDT,Hydro,2400.0
08/14/2021 02:35:00,EDT,Dual Fuel,5175.0
08/14/2021 02:35:00,EDT,Natural Gas,3999.0
08/14/2021 02:35:00,EDT,Nuclear,3230.0
08/14/2021 02:35:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:35:00,EDT,Other Renewables,248.0
08/14/2021 02:35:00,EDT,Wind,304.0
08/14/2021 02:35:00,EDT,Hydro,2402.0
08/14/2021 02:40:00,EDT,Dual Fuel,5136.0
08/14/2021 02:40:00,EDT,Natural Gas,3985.0
08/14/2021 02:40:00,EDT,Nuclear,3229.0
08/14/2021 02:40:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:40:00,EDT,Other Renewables,249.0
08/14/2021 02:40:00,EDT,Wind,303.0
08/14/2021 02:40:00,EDT,Hydro,2386.0
08/14/2021 02:45:00,EDT,Dual Fuel,5092.0
08/14/2021 02:45:00,EDT,Natural Gas,3975.0
08/14/2021 02:45:00,EDT,Nuclear,3230.0
08/14/2021 02:45:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:45:00,EDT,Other Renewables,244.0
08/14/2021 02:45:00,EDT,Wind,278.0
08/14/2021 02:45:00,EDT,Hydro,2375.0
08/14/2021 02:50:00,EDT,Dual Fuel,4970.0
08/14/2021 02:50:00,EDT,Natural Gas,3989.0
08/14/2021 02:50:00,EDT,Nuclear,3231.0
08/14/2021 02:50:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:50:00,EDT,Other Renewables,244.0
08/14/2021 02:50:00,EDT,Wind,268.0
08/14/2021 02:50:00,EDT,Hydro,2384.0
08/14/2021 02:55:00,EDT,Dual Fuel,4946.0
08/14/2021 02:55:00,EDT,Natural Gas,3986.0
08/14/2021 02:55:00,EDT,Nuclear,3228.0
08/14/2021 02:55:00,EDT,Other Fossil Fuels,3.0
08/14/2021 02:55:00,EDT,Other Renewables,248.0
08/14/2021 02:55:00,EDT,Wind,262.0
08/14/2021 02:55:00,EDT,Hydro,2403.0
08/14/2021 03:00:00,EDT,Dual Fuel,4937.0
08/14/2021 03:00:00,EDT,Natural Gas,3971.0
08/14/2021 03:00:00,EDT,Nuclear,3230.0
08/14/2021 03:00:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:00:00,EDT,Other Renewables,245.0
08/14/2021 03:00:00,EDT,Wind,257.0
08/14/2021 03:00:00,EDT,Hydro,2394.0
08/14/2021 03:05:00,EDT,Dual Fuel,4945.0
08/14/2021 03:05:00,EDT,Natural Gas,3918.0
08/14/2021 03:05:00,EDT,Nuclear,3230.0
08/14/2021 03:05:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:05:00,EDT,Other Renewables,247.0
08/14/2021 03:05:00,EDT,Wind,266.0
08/14/2021 03:05:00,EDT,Hydro,2395.0
08/14/2021 03:10:00,EDT,Dual Fuel,4893.0
08/14/2021 03:10:00,EDT,Natural Gas,3879.0
08/14/2021 03:10:00,EDT,Nuclear,3229.0
08/14/2021 03:10:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:10:00,EDT,Other Renewables,249.0
08/14/2021 03:10:00,EDT,Wind,255.0
08/14/2021 03:10:00,EDT,Hydro,2389.0
08/14/2021 03:15:00,EDT,Dual Fuel,4848.0
08/14/2021 03:15:00,EDT,Natural Gas,3850.0
08/14/2021 03:15:00,EDT,Nuclear,3230.0
08/14/2021 03:15:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:15:00,EDT,Other Renewables,250.0
08/14/2021 03:15:00,EDT,Wind,252.0
08/14/2021 03:15:00,EDT,Hydro,2401.0
08/14/2021 03:20:00,EDT,Dual Fuel,4823.0
08/14/2021 03:20:00,EDT,Natural Gas,3815.0
08/14/2021 03:20:00,EDT,Nuclear,3230.0
08/14/2021 03:20:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:20:00,EDT,Other Renewables,250.0
08/14/2021 03:20:00,EDT,Wind,251.0
08/14/2021 03:20:00,EDT,Hydro,2404.0
08/14/2021 03:25:00,EDT,Dual Fuel,4800.0
08/14/2021 03:25:00,EDT,Natural Gas,3780.0
08/14/2021 03:25:00,EDT,Nuclear,3230.0
08/14/2021 03:25:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:25:00,EDT,Other Renewables,250.0
08/14/2021 03:25:00,EDT,Wind,233.0
08/14/2021 03:25:00,EDT,Hydro,2395.0
08/14/2021 03:30:00,EDT,Dual Fuel,4790.0
08/14/2021 03:30:00,EDT,Natural Gas,3754.0
08/14/2021 03:30:00,EDT,Nuclear,3233.0
08/14/2021 03:30:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:30:00,EDT,Other Renewables,249.0
08/14/2021 03:30:00,EDT,Wind,248.0
08/14/2021 03:30:00,EDT,Hydro,2401.0
08/14/2021 03:35:00,EDT,Dual Fuel,4793.0
08/14/2021 03:35:00,EDT,Natural Gas,3728.0
08/14/2021 03:35:00,EDT,Nuclear,3233.0
08/14/2021 03:35:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:35:00,EDT,Other Renewables,250.0
08/14/2021 03:35:00,EDT,Wind,274.0
08/14/2021 03:35:00,EDT,Hydro,2399.0
08/14/2021 03:40:00,EDT,Dual Fuel,4789.0
08/14/2021 03:40:00,EDT,Natural Gas,3688.0
08/14/2021 03:40:00,EDT,Nuclear,3235.0
08/14/2021 03:40:00,EDT,Other Fossil Fuels,3.0
08/14/2021 03:40:00,EDT,Other Renewables,250.0
08/14/2021 03:40:00,EDT,Wind,293.0
08/14/2021 03:40:00,EDT,Hydro,2380.0
08/14/2021 03:45:00,EDT,Dual Fuel,4775.0
