fileId,fileUrls from query VNP46A1--5000 2020-01-01..2020-06-05 x-93.09y44.71 x-93.09y44.71[5],size
5139849498,/archive/allData/5000/VNP46A1/2020/001/VNP46A1.A2020001.h08v04.001.2020003090823.h5,41259201
5140649426,/archive/allData/5000/VNP46A1/2020/002/VNP46A1.A2020002.h08v04.001.2020004080925.h5,45403060
5141635643,/archive/allData/5000/VNP46A1/2020/003/VNP46A1.A2020003.h08v04.001.2020007042202.h5,46709264
5142210205,/archive/allData/5000/VNP46A1/2020/004/VNP46A1.A2020004.h08v04.001.2020007182827.h5,44767252
5142505257,/archive/allData/5000/VNP46A1/2020/005/VNP46A1.A2020005.h08v04.001.2020008023513.h5,39648602
5142527783,/archive/allData/5000/VNP46A1/2020/006/VNP46A1.A2020006.h08v04.001.2020029060511.h5,39867363
5142687614,/archive/allData/5000/VNP46A1/2020/007/VNP46A1.A2020007.h08v04.001.2020035223722.h5,43675568
5196774111,/archive/allData/5000/VNP46A1/2020/008/VNP46A1.A2020008.h08v04.001.2020056211807.h5,48291995
5193890519,/archive/allData/5000/VNP46A1/2020/009/VNP46A1.A2020009.h08v04.001.2020056041907.h5,50728576
5194191672,/archive/allData/5000/VNP46A1/2020/010/VNP46A1.A2020010.h08v04.001.2020056055427.h5,45556774
5188730517,/archive/allData/5000/VNP46A1/2020/011/VNP46A1.A2020011.h08v04.001.2020052153955.h5,42793387
5188990176,/archive/allData/5000/VNP46A1/2020/012/VNP46A1.A2020012.h08v04.001.2020052165525.h5,44092658
5189877665,/archive/allData/5000/VNP46A1/2020/013/VNP46A1.A2020013.h08v04.001.2020052221722.h5,47080769
5189937852,/archive/allData/5000/VNP46A1/2020/014/VNP46A1.A2020014.h08v04.001.2020052225604.h5,48844258
5187141762,/archive/allData/5000/VNP46A1/2020/015/VNP46A1.A2020015.h08v04.001.2020051191539.h5,47127631
5187297926,/archive/allData/5000/VNP46A1/2020/016/VNP46A1.A2020016.h08v04.001.2020051200516.h5,40265628
5190088710,/archive/allData/5000/VNP46A1/2020/017/VNP46A1.A2020017.h08v04.001.2020053004955.h5,40276164
5190369197,/archive/allData/5000/VNP46A1/2020/018/VNP46A1.A2020018.h08v04.001.2020053035804.h5,45836966
5190412123,/archive/allData/5000/VNP46A1/2020/019/VNP46A1.A2020019.h08v04.001.2020053060956.h5,45851851
5190540561,/archive/allData/5000/VNP46A1/2020/020/VNP46A1.A2020020.h08v04.001.2020053111820.h5,45575565
5190638902,/archive/allData/5000/VNP46A1/2020/021/VNP46A1.A2020021.h08v04.001.2020053142926.h5,40802773
5190710661,/archive/allData/5000/VNP46A1/2020/022/VNP46A1.A2020022.h08v04.001.2020053165736.h5,40245494
5190771742,/archive/allData/5000/VNP46A1/2020/023/VNP46A1.A2020023.h08v04.001.2020053175112.h5,45009801
5190808558,/archive/allData/5000/VNP46A1/2020/024/VNP46A1.A2020024.h08v04.001.2020053191407.h5,47199680
5190839848,/archive/allData/5000/VNP46A1/2020/025/VNP46A1.A2020025.h08v04.001.2020053195330.h5,46305657
5190882541,/archive/allData/5000/VNP46A1/2020/026/VNP46A1.A2020026.h08v04.001.2020053222054.h5,41567301
