fileId,fileUrls from query VNP46A1--5000 2020-01-01..2020-06-05 x-121.85y36.59 x-121.85y36.59[5],size
5139854038,/archive/allData/5000/VNP46A1/2020/001/VNP46A1.A2020001.h05v05.001.2020003092452.h5,43689062
5140643362,/archive/allData/5000/VNP46A1/2020/002/VNP46A1.A2020002.h05v05.001.2020004080335.h5,45555410
5141632444,/archive/allData/5000/VNP46A1/2020/003/VNP46A1.A2020003.h05v05.001.2020007041527.h5,44730770
5142189449,/archive/allData/5000/VNP46A1/2020/004/VNP46A1.A2020004.h05v05.001.2020007175112.h5,45358064
5142414815,/archive/allData/5000/VNP46A1/2020/005/VNP46A1.A2020005.h05v05.001.2020007222011.h5,39401313
5142517468,/archive/allData/5000/VNP46A1/2020/006/VNP46A1.A2020006.h05v05.001.2020029060543.h5,36885107
5142690874,/archive/allData/5000/VNP46A1/2020/007/VNP46A1.A2020007.h05v05.001.2020035223402.h5,44034187
5196712186,/archive/allData/5000/VNP46A1/2020/008/VNP46A1.A2020008.h05v05.001.2020056210120.h5,49068782
5193965780,/archive/allData/5000/VNP46A1/2020/009/VNP46A1.A2020009.h05v05.001.2020056044312.h5,50044892
5194076099,/archive/allData/5000/VNP46A1/2020/010/VNP46A1.A2020010.h05v05.001.2020056051711.h5,45063303
5188729873,/archive/allData/5000/VNP46A1/2020/011/VNP46A1.A2020011.h05v05.001.2020052153924.h5,44865753
5189014872,/archive/allData/5000/VNP46A1/2020/012/VNP46A1.A2020012.h05v05.001.2020052170329.h5,48608991
5189853978,/archive/allData/5000/VNP46A1/2020/013/VNP46A1.A2020013.h05v05.001.2020052215951.h5,51163533
5189933210,/archive/allData/5000/VNP46A1/2020/014/VNP46A1.A2020014.h05v05.001.2020052225345.h5,52043514
5187129367,/archive/allData/5000/VNP46A1/2020/015/VNP46A1.A2020015.h05v05.001.2020051191038.h5,45049916
5187268274,/archive/allData/5000/VNP46A1/2020/016/VNP46A1.A2020016.h05v05.001.2020051195340.h5,42374027
5190094296,/archive/allData/5000/VNP46A1/2020/017/VNP46A1.A2020017.h05v05.001.2020053005356.h5,43212392
5190347127,/archive/allData/5000/VNP46A1/2020/018/VNP46A1.A2020018.h05v05.001.2020053034202.h5,46672787
5190411589,/archive/allData/5000/VNP46A1/2020/019/VNP46A1.A2020019.h05v05.001.2020053060800.h5,49667047
5190546825,/archive/allData/5000/VNP46A1/2020/020/VNP46A1.A2020020.h05v05.001.2020053113048.h5,46266395
5190633733,/archive/allData/5000/VNP46A1/2020/021/VNP46A1.A2020021.h05v05.001.2020053142120.h5,39729532
5190748824,/archive/allData/5000/VNP46A1/2020/022/VNP46A1.A2020022.h05v05.001.2020053173255.h5,40785104
5190769698,/archive/allData/5000/VNP46A1/2020/023/VNP46A1.A2020023.h05v05.001.2020053174904.h5,46840411
5190799376,/archive/allData/5000/VNP46A1/2020/024/VNP46A1.A2020024.h05v05.001.2020053185624.h5,27105933
5190835467,/archive/allData/5000/VNP46A1/2020/025/VNP46A1.A2020025.h05v05.001.2020053194423.h5,49243895
5190881856,/archive/allData/5000/VNP46A1/2020/026/VNP46A1.A2020026.h05v05.001.2020053221629.h5,41513726
5190923444,/archive/allData/5000/VNP46A1/2020/027/VNP46A1.A2020027.h05v05.001.2020054004207.h5,41121820
5190964539,/archive/allData/5000/VNP46A1/2020/028/VNP46A1.A2020028.h05v05.001.2020054022213.h5,44634344
5191035876,/archive/allData/5000/VNP46A1/2020/029/VNP46A1.A2020029.h05v05.001.2020054043401.h5,48035011
5191069716,/archive/allData/5000/VNP46A1/2020/030/VNP46A1.A2020030.h05v05.001.2020054052658.h5,48810685
5191084406,/archive/allData/5000/VNP46A1/2020/031/VNP46A1.A2020031.h05v05.001.2020054060308.h5,43813109
5191104995,/archive/allData/5000/VNP46A1/2020/032/VNP46A1.A2020032.h05v05.001.2020054070343.h5,38342028
5188387591,/archive/allData/5000/VNP46A1/2020/033/VNP46A1.A2020033.h05v05.001.2020052070321.h5,41797474
5188420268,/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h05v05.001.2020052080646.h5,46858302
5188503142,/archive/allData/5000/VNP46A1/2020/035/VNP46A1.A2020035.h05v05.001.2020052103415.h5,47870127
5188575621,/archive/allData/5000/VNP46A1/2020/036/VNP46A1.A2020036.h05v05.001.2020052142731.h5,45650296
5191288318,/archive/allData/5000/VNP46A1/2020/037/VNP46A1.A2020037.h05v05.001.2020054144630.h5,40120531
