fileId,fileUrls from query VNP46A1--5000 2020-01-01..2020-06-05 x-76.52y39.41 x-76.52y39.41[5],size
5139847057,/archive/allData/5000/VNP46A1/2020/001/VNP46A1.A2020001.h10v05.001.2020003085905.h5,43481126
5140653238,/archive/allData/5000/VNP46A1/2020/002/VNP46A1.A2020002.h10v05.001.2020004081316.h5,46938166
5141649549,/archive/allData/5000/VNP46A1/2020/003/VNP46A1.A2020003.h10v05.001.2020007044802.h5,49550372
5142190615,/archive/allData/5000/VNP46A1/2020/004/VNP46A1.A2020004.h10v05.001.2020007175347.h5,43937178
5142501073,/archive/allData/5000/VNP46A1/2020/005/VNP46A1.A2020005.h10v05.001.2020008022617.h5,40171340
5142528514,/archive/allData/5000/VNP46A1/2020/006/VNP46A1.A2020006.h10v05.001.2020029060617.h5,40835786
5142688746,/archive/allData/5000/VNP46A1/2020/007/VNP46A1.A2020007.h10v05.001.2020035223405.h5,45413462
5196779474,/archive/allData/5000/VNP46A1/2020/008/VNP46A1.A2020008.h10v05.001.2020056212035.h5,50560471
5193952664,/archive/allData/5000/VNP46A1/2020/009/VNP46A1.A2020009.h10v05.001.2020056044100.h5,47791932
5194227074,/archive/allData/5000/VNP46A1/2020/010/VNP46A1.A2020010.h10v05.001.2020056060415.h5,45795312
5188700818,/archive/allData/5000/VNP46A1/2020/011/VNP46A1.A2020011.h10v05.001.2020052152810.h5,45273570
5189060929,/archive/allData/5000/VNP46A1/2020/012/VNP46A1.A2020012.h10v05.001.2020052171553.h5,50329442
5189932298,/archive/allData/5000/VNP46A1/2020/013/VNP46A1.A2020013.h10v05.001.2020052225254.h5,52790162
5189917129,/archive/allData/5000/VNP46A1/2020/014/VNP46A1.A2020014.h10v05.001.2020052224400.h5,51822569
5187172203,/archive/allData/5000/VNP46A1/2020/015/VNP46A1.A2020015.h10v05.001.2020051192323.h5,46432892
5187297160,/archive/allData/5000/VNP46A1/2020/016/VNP46A1.A2020016.h10v05.001.2020051200442.h5,41847545
5190100304,/archive/allData/5000/VNP46A1/2020/017/VNP46A1.A2020017.h10v05.001.2020053005732.h5,44593889
5190349119,/archive/allData/5000/VNP46A1/2020/018/VNP46A1.A2020018.h10v05.001.2020053034132.h5,47401509
5190415174,/archive/allData/5000/VNP46A1/2020/019/VNP46A1.A2020019.h10v05.001.2020053062212.h5,49080122
5190556458,/archive/allData/5000/VNP46A1/2020/020/VNP46A1.A2020020.h10v05.001.2020053115230.h5,45362309
5190643008,/archive/allData/5000/VNP46A1/2020/021/VNP46A1.A2020021.h10v05.001.2020053143503.h5,40520933
5190714003,/archive/allData/5000/VNP46A1/2020/022/VNP46A1.A2020022.h10v05.001.2020053170207.h5,42239977
5190772167,/archive/allData/5000/VNP46A1/2020/023/VNP46A1.A2020023.h10v05.001.2020053175110.h5,47433451
5190825982,/archive/allData/5000/VNP46A1/2020/024/VNP46A1.A2020024.h10v05.001.2020053192545.h5,52834610
5190840386,/archive/allData/5000/VNP46A1/2020/025/VNP46A1.A2020025.h10v05.001.2020053195621.h5,50379315
5190885446,/archive/allData/5000/VNP46A1/2020/026/VNP46A1.A2020026.h10v05.001.2020053223233.h5,43659359
5190922283,/archive/allData/5000/VNP46A1/2020/027/VNP46A1.A2020027.h10v05.001.2020054003804.h5,43040569
5190964963,/archive/allData/5000/VNP46A1/2020/028/VNP46A1.A2020028.h10v05.001.2020054022252.h5,46877897
5191039165,/archive/allData/5000/VNP46A1/2020/029/VNP46A1.A2020029.h10v05.001.2020054043720.h5,49019946
5191070479,/archive/allData/5000/VNP46A1/2020/030/VNP46A1.A2020030.h10v05.001.2020054052920.h5,51816942
5191086974,/archive/allData/5000/VNP46A1/2020/031/VNP46A1.A2020031.h10v05.001.2020054061209.h5,45337426
5191108562,/archive/allData/5000/VNP46A1/2020/032/VNP46A1.A2020032.h10v05.001.2020054070859.h5,41406206
5188404506,/archive/allData/5000/VNP46A1/2020/033/VNP46A1.A2020033.h10v05.001.2020052074214.h5,44454473
5188430985,/archive/allData/5000/VNP46A1/2020/034/VNP46A1.A2020034.h10v05.001.2020052082328.h5,44674278
5188517627,/archive/allData/5000/VNP46A1/2020/035/VNP46A1.A2020035.h10v05.001.2020052112627.h5,48023501
5188575025,/archive/allData/5000/VNP46A1/2020/036/VNP46A1.A2020036.h10v05.001.2020052142408.h5,46770539
5191285516,/archive/allData/5000/VNP46A1/2020/037/VNP46A1.A2020037.h10v05.001.2020054143916.h5,40552610
5191299908,/archive/allData/5000/VNP46A1/2020/038/VNP46A1.A2020038.h10v05.001.2020054152146.h5,43607379
5191312500,/archive/allData/5000/VNP46A1/2020/039/VNP46A1.A2020039.h10v05.001.2020054155443.h5,49505935
5191378359,/archive/allData/5000/VNP46A1/2020/040/VNP46A1.A2020040.h10v05.001.2020054165750.h5,54076156
5191999064,/archive/allData/5000/VNP46A1/2020/041/VNP46A1.A2020041.h10v05.001.2020055182653.h5,50724919
5196610647,/archive/allData/5000/VNP46A1/2020/042/VNP46A1.A2020042.h10v05.001.2020056202759.h5,45857325
5175247999,/archive/allData/5000/VNP46A1/2020/043/VNP46A1.A2020043.h10v05.001.2020044064322.h5,44102358
5176205871,/archive/allData/5000/VNP46A1/2020/044/VNP46A1.A2020044.h10v05.001.2020045104023.h5,46084199
5177821877,/archive/allData/5000/VNP46A1/2020/045/VNP46A1.A2020045.h10v05.001.2020046101237.h5,52668333
5183508435,/archive/allData/5000/VNP46A1/2020/046/VNP46A1.A2020046.h10v05.001.2020050051305.h5,51487736
5183698730,/archive/allData/5000/VNP46A1/2020/047/VNP46A1.A2020047.h10v05.001.2020050065846.h5,43654376
5183331192,/archive/allData/5000/VNP46A1/2020/048/VNP46A1.A2020048.h10v05.001.2020050024859.h5,40214087
5183870631,/archive/allData/5000/VNP46A1/2020/049/VNP46A1.A2020049.h10v05.001.2020050100858.h5,42821495
5188338317,/archive/allData/5000/VNP46A1/2020/050/VNP46A1.A2020050.h10v05.001.2020052054647.h5,44682793
5189054417,/archive/allData/5000/VNP46A1/2020/051/VNP46A1.A2020051.h10v05.001.2020052171328.h5,49736670
5190588809,/archive/allData/5000/VNP46A1/2020/052/VNP46A1.A2020052.h10v05.001.2020053131101.h5,47017569
5191153812,/archive/allData/5000/VNP46A1/2020/053/VNP46A1.A2020053.h10v05.001.2020054082628.h5,42044931
5193953917,/archive/allData/5000/VNP46A1/2020/054/VNP46A1.A2020054.h10v05.001.2020056044032.h5,42608818
5194862521,/archive/allData/5000/VNP46A1/2020/055/VNP46A1.A2020055.h10v05.001.2020056085632.h5,48137411
5198694050,/archive/allData/5000/VNP46A1/2020/056/VNP46A1.A2020056.h10v05.001.2020057082115.h5,48448206
5200261598,/archive/allData/5000/VNP46A1/2020/057/VNP46A1.A2020057.h10v05.001.2020143084445.h5,49608175
5201838422,/archive/allData/5000/VNP46A1/2020/058/VNP46A1.A2020058.h10v05.001.2020059064233.h5,43987633
5205155625,/archive/allData/5000/VNP46A1/2020/059/VNP46A1.A2020059.h10v05.001.2020060062610.h5,42142388
5207423269,/archive/allData/5000/VNP46A1/2020/060/VNP46A1.A2020060.h10v05.001.2020061074311.h5,45975201
5209513732,/archive/allData/5000/VNP46A1/2020/061/VNP46A1.A2020061.h10v05.001.2020062074134.h5,49710041
5213162121,/archive/allData/5000/VNP46A1/2020/062/VNP46A1.A2020062.h10v05.001.2020063070516.h5,47932949
5214468425,/archive/allData/5000/VNP46A1/2020/063/VNP46A1.A2020063.h10v05.001.2020139132749.h5,44426968
5218037892,/archive/allData/5000/VNP46A1/2020/064/VNP46A1.A2020064.h10v05.001.2020065200210.h5,41026415
5219570772,/archive/allData/5000/VNP46A1/2020/065/VNP46A1.A2020065.h10v05.001.2020066080249.h5,42760420
5223281249,/archive/allData/5000/VNP46A1/2020/066/VNP46A1.A2020066.h10v05.001.2020132143046.h5,46619928
5231409336,/archive/allData/5000/VNP46A1/2020/067/VNP46A1.A2020067.h10v05.001.2020070103743.h5,53008280
5231380645,/archive/allData/5000/VNP46A1/2020/068/VNP46A1.A2020068.h10v05.001.2020070101731.h5,47991425
5239633966,/archive/allData/5000/VNP46A1/2020/069/VNP46A1.A2020069.h10v05.001.2020073155627.h5,41994548
5240276173,/archive/allData/5000/VNP46A1/2020/070/VNP46A1.A2020070.h10v05.001.2020073185822.h5,45523231
5239752534,/archive/allData/5000/VNP46A1/2020/071/VNP46A1.A2020071.h10v05.001.2020132154742.h5,48198999
5239025104,/archive/allData/5000/VNP46A1/2020/072/VNP46A1.A2020072.h10v05.001.2020073085355.h5,50758940
5241137885,/archive/allData/5000/VNP46A1/2020/073/VNP46A1.A2020073.h10v05.001.2020074073535.h5,49715490
5243085098,/archive/allData/5000/VNP46A1/2020/074/VNP46A1.A2020074.h10v05.001.2020075070444.h5,43985946
5245017478,/archive/allData/5000/VNP46A1/2020/075/VNP46A1.A2020075.h10v05.001.2020132172756.h5,41641972
