OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
05/25/2021,01:00,11497.94,1385.31,3779.33,688.19,10428.66,3399.79,6251.96,1299.02,38730.18,N
05/25/2021,02:00,11109.05,1328.09,3659.60,659.30,9969.22,3241.68,5924.46,1306.23,37197.62,N
05/25/2021,03:00,10850.81,1286.10,3680.11,639.13,9627.06,3117.42,5739.47,1222.87,36162.97,N
05/25/2021,04:00,10724.00,1264.07,3674.73,651.58,9414.13,3031.06,5600.92,1164.79,35525.28,N
05/25/2021,05:00,10802.04,1262.79,3681.87,647.54,9564.19,2986.85,5588.41,1177.61,35711.31,N
05/25/2021,06:00,11145.12,1334.19,3717.96,672.04,10101.79,3054.43,5786.65,1157.76,36969.95,N
05/25/2021,07:00,11650.75,1414.13,3770.86,759.80,10899.34,3195.05,6217.85,1167.38,39075.16,N
05/25/2021,08:00,11992.21,1489.45,3744.29,770.49,11539.19,3282.55,6483.42,1198.27,40499.86,N
05/25/2021,09:00,12569.51,1557.57,3711.54,741.41,12161.24,3477.87,6719.31,1291.12,42229.58,N
05/25/2021,10:00,13312.43,1640.41,3849.50,759.45,12597.79,3737.41,7006.07,1318.33,44221.39,N
05/25/2021,11:00,14010.10,1732.53,3951.02,831.98,12983.27,4023.59,7393.50,1403.87,46329.87,N
05/25/2021,12:00,14522.25,1826.61,4061.58,900.23,13079.03,4303.70,7887.43,1338.60,47919.44,N
05/25/2021,13:00,15061.57,1897.84,4240.02,915.65,12895.18,4565.50,8413.79,1264.27,49253.81,N
05/25/2021,14:00,15496.67,1883.56,4319.56,892.74,12858.99,4777.10,8913.82,1319.60,50462.03,N
05/25/2021,15:00,15538.37,1788.40,4333.72,889.96,13272.52,4934.34,9352.03,1394.10,51503.44,N
05/25/2021,16:00,15177.23,1730.24,4345.70,935.27,13865.39,5023.75,9703.24,1461.59,52242.41,N
05/25/2021,17:00,14873.17,1719.20,4350.02,952.23,14643.69,5044.09,10004.15,1539.95,53126.50,N
05/25/2021,18:00,14767.07,1713.41,4356.43,984.61,15323.72,4955.68,10083.88,1500.40,53685.20,N
05/25/2021,19:00,14589.26,1708.93,4197.86,975.00,15557.39,4813.47,9896.57,1509.25,53247.74,N
05/25/2021,20:00,14263.53,1677.91,4023.82,910.59,15185.15,4609.15,9518.58,1574.28,51763.01,N
05/25/2021,21:00,14107.01,1670.62,3883.68,875.33,14654.03,4481.22,9198.67,1593.40,50463.97,N
05/25/2021,22:00,13849.02,1635.66,3873.92,872.13,14241.07,4368.40,8897.38,1550.62,49288.19,N
05/25/2021,23:00,13209.29,1578.90,3864.05,835.45,13266.37,4105.40,8230.32,1423.91,46513.68,N
05/25/2021,24:00,12498.33,1464.85,3881.09,771.66,12142.73,3823.78,7517.41,1291.24,43391.10,N
