OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
04/03/2021,01:00,9357.79,1230.70,3799.90,742.68,9076.90,2516.60,4882.01,961.35,32567.93,N
04/03/2021,02:00,9127.23,1186.16,3832.67,720.67,8684.45,2394.50,4656.03,872.13,31473.84,N
04/03/2021,03:00,9013.82,1163.71,3833.45,693.14,8419.43,2315.34,4529.97,866.39,30835.25,N
04/03/2021,04:00,8956.71,1161.73,3822.64,690.82,8323.83,2277.03,4445.02,878.55,30556.32,N
04/03/2021,05:00,8970.76,1175.03,3812.29,714.50,8297.25,2229.01,4454.08,859.71,30512.63,N
04/03/2021,06:00,9060.97,1163.76,3841.26,730.37,8509.34,2218.72,4528.38,843.20,30895.99,N
04/03/2021,07:00,9314.30,1260.99,3797.08,750.72,8886.54,2245.03,4734.29,930.55,31919.50,N
04/03/2021,08:00,9505.34,1312.74,3713.95,738.18,9305.12,2290.66,4966.48,1055.15,32887.61,N
04/03/2021,09:00,9746.66,1410.64,3707.44,752.62,9817.69,2383.94,5270.19,1072.13,34161.31,N
04/03/2021,10:00,10052.21,1442.66,3746.51,797.91,10247.69,2536.31,5569.77,1047.07,35440.13,N
04/03/2021,11:00,10261.69,1438.34,3776.83,790.73,10472.85,2712.43,5740.40,1027.09,36220.35,N
04/03/2021,12:00,10306.91,1411.94,3830.82,770.12,10448.79,2819.81,5818.66,973.57,36380.63,N
04/03/2021,13:00,10265.33,1361.90,3852.23,758.81,10371.77,2874.39,5713.90,932.16,36130.50,N
04/03/2021,14:00,10192.41,1316.40,3856.55,747.75,10168.79,2942.12,5522.57,920.84,35667.42,N
04/03/2021,15:00,10123.19,1298.03,3841.43,741.99,10083.64,2972.36,5494.72,949.57,35504.91,N
04/03/2021,16:00,10087.92,1287.62,3860.55,726.71,10114.16,2980.40,5432.57,974.39,35464.31,N
04/03/2021,17:00,10014.04,1282.35,3867.25,718.70,10160.51,2990.26,5451.80,1000.02,35484.94,N
04/03/2021,18:00,9969.74,1258.11,3867.74,772.65,10186.75,2981.17,5510.14,932.02,35478.33,N
04/03/2021,19:00,9907.85,1251.47,3828.68,723.15,10170.90,2960.46,5541.62,989.39,35373.53,N
04/03/2021,20:00,9981.55,1300.21,3743.34,701.82,10240.66,2892.61,5627.10,1129.22,35616.51,N
04/03/2021,21:00,10233.54,1368.40,3643.78,759.74,10519.87,2916.29,5780.12,1268.82,36490.55,N
04/03/2021,22:00,10127.73,1370.76,3634.76,775.55,10317.23,2871.11,5676.74,1282.32,36056.20,N
04/03/2021,23:00,9935.53,1305.59,3652.17,773.84,9925.42,2784.48,5457.91,1168.88,35003.82,N
04/03/2021,24:00,9636.48,1234.74,3612.37,736.60,9360.29,2652.15,5160.54,1121.16,33514.34,N
