OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
06/07/2020,01:00,12571.02,1558.95,3462.00,920.95,14707.24,3426.53,7256.98,1573.77,45477.45,N
06/07/2020,02:00,11919.43,1464.11,3430.17,863.35,13669.52,3195.92,6708.17,1460.95,42711.63,N
06/07/2020,03:00,11406.26,1412.67,3332.50,823.27,12778.09,3023.17,6294.65,1422.97,40493.58,N
06/07/2020,04:00,11001.05,1377.00,3290.39,789.93,12118.18,2893.37,5981.19,1355.87,38806.97,N
06/07/2020,05:00,10706.24,1311.60,3267.94,772.69,11655.10,2796.63,5768.41,1310.79,37589.40,N
06/07/2020,06:00,10545.66,1328.79,3330.91,764.47,11390.97,2738.42,5637.06,1181.12,36917.39,N
06/07/2020,07:00,10333.17,1315.82,3289.79,759.62,11115.98,2686.18,5542.74,1171.58,36214.88,N
06/07/2020,08:00,10544.40,1403.55,3278.05,798.80,11423.11,2709.33,5650.66,1180.61,36988.50,N
06/07/2020,09:00,11464.22,1536.86,3374.29,930.29,12560.27,2975.74,6248.26,1231.28,40321.20,N
06/07/2020,10:00,12653.86,1733.89,3438.48,1029.05,14043.78,3360.41,7003.46,1430.53,44693.47,N
06/07/2020,11:00,13900.80,1927.49,3504.07,1114.98,15510.20,3789.81,7776.92,1590.29,49114.55,N
06/07/2020,12:00,15099.21,2087.85,3593.84,1188.03,16853.50,4222.64,8556.84,1708.89,53310.79,N
06/07/2020,13:00,16073.20,2205.21,3645.41,1292.38,18102.32,4593.13,9279.55,1829.79,57020.99,N
06/07/2020,14:00,16790.48,2282.08,3698.97,1325.56,18937.37,4869.33,9721.81,1898.70,59524.30,N
06/07/2020,15:00,17350.80,2359.71,3758.76,1362.01,19595.30,5060.90,10078.64,1964.79,61530.93,N
06/07/2020,16:00,17711.33,2422.00,3816.97,1395.41,20138.88,5185.80,10296.32,1996.73,62963.45,N
06/07/2020,17:00,17849.35,2451.44,3835.48,1414.24,20534.70,5242.33,10515.17,2038.45,63881.16,N
06/07/2020,18:00,17818.32,2443.31,3827.30,1432.01,20692.23,5226.40,10707.71,2091.01,64238.29,N
06/07/2020,19:00,17483.45,2395.13,3787.15,1418.13,20396.16,5150.59,10673.83,2118.95,63423.37,N
06/07/2020,20:00,16894.16,2269.03,3743.43,1336.96,19555.44,4950.66,10402.77,2120.86,61273.31,N
06/07/2020,21:00,16364.43,2163.48,3750.75,1238.63,18568.26,4738.25,9933.03,2015.34,58772.17,N
06/07/2020,22:00,15819.89,2072.06,3742.09,1186.22,17895.89,4581.94,9588.41,1945.42,56831.91,N
06/07/2020,23:00,14804.06,1945.20,3707.91,1113.88,16652.04,4288.49,8865.07,1823.80,53200.45,N
06/07/2020,24:00,13781.28,1775.53,3590.79,1020.61,15252.45,3967.37,8025.11,1726.17,49139.31,N
