OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
10/30/2021,01:00,9497.60,1163.69,3989.32,813.30,9005.33,2524.72,5091.46,1082.37,33167.80,N
10/30/2021,02:00,9194.66,1134.36,3946.62,790.63,8660.05,2401.72,4874.84,1056.25,32059.12,N
10/30/2021,03:00,9026.65,1071.20,3887.74,782.00,8410.46,2315.81,4735.60,1035.08,31264.54,N
10/30/2021,04:00,8936.58,1047.98,3840.66,788.16,8375.40,2262.66,4669.02,1024.05,30944.53,N
10/30/2021,05:00,8964.56,1047.65,3807.59,796.42,8401.74,2245.77,4674.34,1041.72,30979.79,N
10/30/2021,06:00,9122.00,1106.86,3799.32,824.86,8708.07,2280.17,4778.47,1084.50,31704.26,N
10/30/2021,07:00,9433.61,1204.19,3811.52,862.84,9213.49,2329.55,5014.08,1133.48,33002.76,N
10/30/2021,08:00,9732.00,1246.82,3837.66,902.16,9817.77,2439.43,5315.63,1181.97,34473.43,N
10/30/2021,09:00,10013.82,1369.56,3832.04,955.19,10373.55,2501.65,5542.52,1219.18,35807.52,N
10/30/2021,10:00,10377.88,1359.68,3857.93,1000.54,10688.76,2643.20,5641.57,1225.75,36795.31,N
10/30/2021,11:00,10535.93,1361.28,3939.03,1004.90,10700.10,2758.23,5669.48,1112.41,37081.38,N
10/30/2021,12:00,10618.11,1339.43,3981.80,996.39,10648.42,2903.45,5659.58,1062.15,37209.33,N
10/30/2021,13:00,10631.91,1311.17,3989.37,983.44,10583.88,3077.19,5701.01,984.95,37262.91,N
10/30/2021,14:00,10698.69,1319.27,3986.35,975.16,10550.44,3301.69,5789.44,1114.56,37735.61,N
10/30/2021,15:00,10833.13,1334.86,4014.38,983.49,10654.23,3551.05,5957.82,1156.74,38485.70,N
10/30/2021,16:00,11043.46,1330.89,4058.11,997.85,10858.76,3760.08,6207.89,1217.99,39475.03,N
10/30/2021,17:00,11208.70,1389.23,4095.65,1003.84,11101.65,3839.65,6486.12,1257.10,40381.95,N
10/30/2021,18:00,11174.89,1363.86,4116.81,983.56,11214.48,3794.04,6674.38,1270.96,40592.99,N
10/30/2021,19:00,11022.73,1372.51,4133.48,946.40,11079.29,3614.05,6638.32,1260.48,40067.26,N
10/30/2021,20:00,10958.24,1378.23,4111.68,941.52,11087.79,3477.76,6522.12,1248.19,39725.53,N
10/30/2021,21:00,10719.99,1317.43,4139.97,908.57,10791.21,3310.40,6308.72,1194.83,38691.12,N
10/30/2021,22:00,10448.29,1299.34,4212.24,873.96,10497.38,3166.49,6031.88,1098.39,37627.99,N
10/30/2021,23:00,10107.94,1236.56,4205.81,833.24,9992.32,2988.20,5724.87,1018.97,36107.90,N
10/30/2021,24:00,9744.14,1191.37,4210.56,790.60,9489.03,2840.77,5369.28,911.25,34546.99,N
