OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
06/05/2021,01:00,11406.96,1420.22,3759.10,998.31,11151.19,3023.51,5998.91,1250.14,39008.33,N
06/05/2021,02:00,10965.96,1356.82,3718.93,943.68,10441.81,2852.80,5600.83,1163.85,37044.68,N
06/05/2021,03:00,10649.73,1313.88,3741.64,895.18,9956.38,2716.84,5367.76,1070.53,35711.93,N
06/05/2021,04:00,10445.11,1283.35,3738.32,848.98,9596.03,2627.54,5203.10,1025.24,34767.66,N
06/05/2021,05:00,10308.42,1267.01,3749.21,834.52,9453.78,2580.22,5124.53,999.87,34317.55,N
06/05/2021,06:00,10354.51,1291.64,3747.98,836.50,9591.13,2582.11,5118.75,1012.60,34535.22,N
06/05/2021,07:00,10439.18,1313.64,3731.07,851.99,9758.82,2605.48,5221.57,1037.75,34959.48,N
06/05/2021,08:00,10736.88,1331.74,3711.11,979.26,9950.83,2688.70,5420.39,1039.25,35858.17,N
06/05/2021,09:00,11560.01,1437.77,3690.88,948.10,10642.08,2975.67,5809.79,1054.19,38118.51,N
06/05/2021,10:00,12590.45,1543.19,3715.67,972.54,11508.37,3324.77,6255.76,1214.22,41124.99,N
06/05/2021,11:00,13625.68,1693.73,3759.24,1036.29,12375.09,3687.17,6738.67,1296.63,44212.50,N
06/05/2021,12:00,14527.84,1789.57,3815.34,1111.54,13211.34,4023.23,7230.00,1367.28,47076.15,N
06/05/2021,13:00,15185.51,1871.69,3880.68,1164.03,13990.93,4284.78,7683.54,1461.31,49522.47,N
06/05/2021,14:00,15556.54,1905.49,3935.35,1203.57,14716.77,4480.30,7982.85,1527.23,51308.10,N
06/05/2021,15:00,15645.52,1977.53,3998.20,1234.43,15380.69,4615.40,8118.09,1583.72,52553.57,N
06/05/2021,16:00,15226.25,1967.31,4078.83,1274.99,15942.65,4720.93,7872.28,1582.92,52666.14,N
06/05/2021,17:00,14796.09,1966.59,4111.15,1242.07,16283.30,4776.91,7562.86,1649.69,52388.65,N
06/05/2021,18:00,14910.09,1948.90,4152.64,1280.82,16353.61,4759.12,7548.24,1618.01,52571.43,N
06/05/2021,19:00,14539.91,1908.66,4147.71,1297.13,15732.04,4656.32,7657.01,1615.56,51554.32,N
06/05/2021,20:00,13827.18,1829.93,4115.96,1218.24,14845.43,4464.95,7497.44,1565.47,49364.60,N
06/05/2021,21:00,13490.81,1748.80,4081.06,1156.35,14150.66,4239.87,7276.17,1475.07,47618.79,N
06/05/2021,22:00,13032.67,1742.71,4108.32,1140.68,13650.71,4100.96,7158.86,1436.28,46371.19,N
06/05/2021,23:00,12755.56,1626.15,4069.02,1083.96,12933.17,3898.65,6822.12,1387.34,44575.97,N
06/05/2021,24:00,12191.41,1520.89,3983.04,1023.61,12001.09,3661.51,6343.34,1330.23,42055.12,N
