OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
12/19/2020,01:00,9499.26,1268.14,3663.55,778.68,10244.97,2659.63,5258.73,1214.58,34587.55,N
12/19/2020,02:00,9226.20,1244.98,3645.33,765.91,9843.58,2548.72,5026.36,1197.79,33498.87,N
12/19/2020,03:00,9025.98,1296.06,3655.32,754.23,9568.00,2464.98,4869.78,1169.04,32803.38,N
12/19/2020,04:00,8935.15,1287.68,3616.49,737.50,9429.07,2395.73,4781.43,1208.43,32391.49,N
12/19/2020,05:00,8927.64,1282.67,3691.77,747.62,9474.48,2366.01,4806.25,1167.33,32463.76,N
12/19/2020,06:00,9057.10,1327.52,3792.39,760.09,9773.65,2397.42,4904.90,1101.46,33114.53,N
12/19/2020,07:00,9304.98,1390.05,3864.19,787.85,10195.78,2461.13,5089.13,1095.46,34188.58,N
12/19/2020,08:00,9512.41,1449.90,3931.99,819.93,10765.13,2516.48,5376.90,1128.65,35501.39,N
12/19/2020,09:00,9763.19,1521.84,3907.35,848.76,11225.35,2651.64,5647.56,1187.49,36753.18,N
12/19/2020,10:00,10091.01,1562.89,3885.30,916.07,11647.99,2774.95,5795.93,1142.69,37816.83,N
12/19/2020,11:00,10404.95,1583.89,3824.51,952.88,11919.60,2846.93,5940.32,1087.06,38560.14,N
12/19/2020,12:00,10615.31,1564.14,3802.17,955.01,12000.14,2926.55,6046.93,1034.92,38945.17,N
12/19/2020,13:00,10718.11,1491.49,3793.37,930.20,11893.53,3008.31,5877.02,990.84,38702.87,N
12/19/2020,14:00,10607.85,1462.48,3746.09,901.62,11617.18,3108.98,5723.70,971.72,38139.61,N
12/19/2020,15:00,10479.05,1371.02,3682.75,874.57,11127.65,3181.54,5639.53,998.42,37354.52,N
12/19/2020,16:00,10381.69,1414.01,3623.39,856.28,10879.67,3207.44,5639.18,1051.25,37052.91,N
12/19/2020,17:00,10334.12,1439.55,3589.90,829.37,10979.90,3201.62,5735.79,1074.23,37184.48,N
12/19/2020,18:00,10589.00,1522.08,3655.20,855.86,11685.82,3150.08,6025.28,1082.58,38565.91,N
12/19/2020,19:00,10911.94,1572.13,3731.43,906.59,12430.88,3214.96,6348.12,1265.11,40381.16,N
12/19/2020,20:00,10823.09,1574.77,3735.01,917.00,12559.80,3094.66,6322.90,1312.81,40340.04,N
12/19/2020,21:00,10707.50,1542.27,3706.16,920.40,12659.60,3004.52,6257.55,1386.37,40184.37,N
12/19/2020,22:00,10540.17,1529.86,3646.57,906.65,12609.86,2902.96,6168.75,1473.16,39777.98,N
12/19/2020,23:00,10246.36,1489.13,3633.58,881.09,12385.34,2790.04,6012.88,1465.38,38903.80,N
12/19/2020,24:00,9860.95,1436.19,3694.36,858.61,12021.67,2659.08,5849.47,1377.91,37758.23,N
