OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
10/16/2021,01:00,11327.83,1240.35,4076.99,774.12,9238.08,3308.08,5500.64,945.51,36411.61,N
10/16/2021,02:00,10668.05,1158.42,4078.30,744.76,8670.69,3134.58,5136.49,913.53,34504.82,N
10/16/2021,03:00,10085.04,1128.09,4067.05,736.03,8402.62,2925.89,4944.01,857.74,33146.48,N
10/16/2021,04:00,9653.04,1095.63,4052.50,743.54,8222.15,2839.02,4799.68,850.51,32256.07,N
10/16/2021,05:00,9426.87,1078.91,4054.19,760.69,8184.37,2912.40,4736.02,853.16,32006.60,N
10/16/2021,06:00,9385.05,1116.14,4062.66,780.11,8341.86,2874.77,4771.16,897.28,32229.03,N
10/16/2021,07:00,9527.49,1147.20,4033.72,795.88,8767.97,2856.47,4923.20,968.55,33020.48,N
10/16/2021,08:00,9650.48,1167.09,3998.52,821.80,9097.14,2847.77,5108.42,1046.55,33737.76,N
10/16/2021,09:00,9934.88,1221.86,3936.87,865.05,9530.68,2863.95,5303.86,1075.05,34732.20,N
10/16/2021,10:00,10363.60,1261.34,3949.63,918.95,9951.89,2950.47,5485.83,1015.56,35897.26,N
10/16/2021,11:00,10709.85,1291.73,3933.81,956.40,10291.10,3004.24,5623.29,1008.62,36819.03,N
10/16/2021,12:00,10949.16,1335.19,3950.18,961.28,10411.78,3034.01,5693.00,1005.39,37339.98,N
10/16/2021,13:00,11142.47,1343.48,3962.60,951.88,10559.63,3059.10,5743.92,978.59,37741.66,N
10/16/2021,14:00,11334.62,1376.85,3980.18,953.22,10627.10,3101.02,5815.72,976.93,38165.62,N
10/16/2021,15:00,11522.29,1395.73,3974.51,965.68,10754.72,3163.32,5940.58,1006.86,38723.69,N
10/16/2021,16:00,11733.83,1424.71,3978.00,980.60,10955.10,3227.25,6072.87,1047.60,39419.98,N
10/16/2021,17:00,11823.33,1423.17,4002.82,997.00,11175.28,3278.46,6282.87,1072.26,40055.19,N
10/16/2021,18:00,11726.55,1448.18,3999.18,980.26,11248.38,3264.31,6393.37,1122.63,40182.87,N
10/16/2021,19:00,11325.85,1373.29,4038.96,942.01,11089.08,3165.67,6344.30,1154.61,39433.77,N
10/16/2021,20:00,11240.81,1411.69,4105.90,956.15,11129.62,3159.51,6362.02,1162.39,39528.09,N
10/16/2021,21:00,10980.66,1359.12,4077.24,939.88,10747.74,3093.65,6205.21,1156.02,38559.52,N
10/16/2021,22:00,10608.41,1293.92,4031.27,913.35,10314.60,2979.20,5885.88,1154.39,37181.01,N
10/16/2021,23:00,10186.93,1252.65,3988.05,879.78,9799.63,2851.75,5571.35,1116.35,35646.50,N
10/16/2021,24:00,9768.08,1170.60,3915.06,849.84,9241.71,2712.31,5298.07,1109.51,34065.17,N
