OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/29/2021,01:00,11729.86,1526.11,4026.97,1004.32,12323.22,3901.11,6758.31,1240.94,42510.83,N
09/29/2021,02:00,11435.96,1457.64,4075.14,955.68,11764.14,3716.38,6271.09,1110.50,40786.51,N
09/29/2021,03:00,11297.93,1416.85,4092.04,906.10,11341.52,3567.99,5987.06,1042.41,39651.90,N
09/29/2021,04:00,11207.91,1375.70,4083.96,885.25,11054.81,3467.09,5802.50,1000.67,38877.89,N
09/29/2021,05:00,11056.84,1377.50,4102.60,888.29,11064.96,3422.90,5794.46,979.95,38687.50,N
09/29/2021,06:00,11180.27,1424.89,4141.47,914.10,11551.61,3460.79,5994.96,980.44,39648.52,N
09/29/2021,07:00,11674.29,1529.98,4188.79,975.60,12403.64,3611.15,6397.31,1020.31,41801.07,N
09/29/2021,08:00,12044.72,1543.38,4226.84,1002.73,12781.24,3624.49,6640.45,1057.53,42921.38,N
09/29/2021,09:00,12269.52,1562.40,4159.29,1024.72,12866.69,3639.39,6677.65,1086.80,43286.45,N
09/29/2021,10:00,12672.05,1629.19,4147.12,1088.20,13410.75,3910.39,6775.13,1157.64,44790.49,N
09/29/2021,11:00,13284.37,1674.48,4222.28,1171.57,14377.81,4124.40,7012.44,1210.69,47078.03,N
09/29/2021,12:00,13996.45,1714.75,4288.59,1257.91,15354.04,4285.64,7406.69,1290.68,49594.75,N
09/29/2021,13:00,14558.63,1830.18,4286.39,1355.62,16466.52,4371.48,7977.95,1415.94,52262.71,N
09/29/2021,14:00,14756.64,1984.68,4306.39,1457.68,17527.50,4536.86,8589.88,1513.34,54672.96,N
09/29/2021,15:00,14897.72,2076.96,4405.07,1535.71,18498.88,4757.13,9258.59,1626.06,57056.14,N
09/29/2021,16:00,15311.53,2149.06,4423.34,1588.33,19154.40,5001.13,9849.47,1712.80,59190.07,N
09/29/2021,17:00,15981.90,2221.10,4484.88,1610.19,19676.57,5151.37,10194.50,1699.38,61019.89,N
09/29/2021,18:00,16199.01,2216.49,4484.22,1574.47,19634.78,5009.52,10305.47,1717.12,61141.08,N
09/29/2021,19:00,15638.83,2165.53,4457.52,1493.31,18746.05,4650.55,10065.84,1705.90,58923.53,N
09/29/2021,20:00,15293.57,2109.28,4489.57,1440.41,18074.65,4597.73,9733.38,1658.39,57396.97,N
09/29/2021,21:00,14958.68,2023.99,4398.16,1370.50,17288.17,4545.40,9364.61,1639.71,55589.21,N
09/29/2021,22:00,14343.87,1920.04,4263.50,1302.21,16386.67,4360.04,8821.91,1602.24,53000.48,N
09/29/2021,23:00,13538.30,1761.07,4288.02,1206.06,15172.32,4043.16,8118.80,1386.61,49514.34,N
09/29/2021,24:00,12696.72,1585.74,4273.72,1123.83,13922.12,3722.52,7432.96,1218.70,45976.30,N
