datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Multiple Fuels,1270.7,0.01,False
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Nuclear,32844.8,0.26,False
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Oil,187.2,0.00,False
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Other,32.8,0.00,False
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Other Renewables,611.3,0.00,True
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Solar,335.8,0.00,True
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Storage,0.0,0.00,False
6/28/2020 10:00:00 PM,6/28/2020 6:00:00 PM,Wind,971.2,0.01,True
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Coal,25379.9,0.20,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Gas,60132.1,0.47,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Hydro,5846.7,0.05,True
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Multiple Fuels,1270.1,0.01,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Nuclear,32843.5,0.26,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Oil,191.7,0.00,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Other,33.7,0.00,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Other Renewables,617.3,0.00,True
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Solar,658.0,0.01,True
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Storage,0.0,0.00,False
6/28/2020 9:00:00 PM,6/28/2020 5:00:00 PM,Wind,1065.1,0.01,True
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Coal,24518.6,0.19,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Gas,58955.1,0.47,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Hydro,5939.5,0.05,True
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Multiple Fuels,1270.5,0.01,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Nuclear,32847.0,0.26,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Oil,190.7,0.00,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Other,33.6,0.00,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Other Renewables,627.2,0.00,True
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Solar,839.1,0.01,True
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Storage,0.0,0.00,False
6/28/2020 8:00:00 PM,6/28/2020 4:00:00 PM,Wind,1159.6,0.01,True
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Coal,23803.4,0.19,False
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Gas,57994.0,0.47,False
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Hydro,4054.2,0.03,True
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Multiple Fuels,1267.1,0.01,False
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Nuclear,32839.4,0.27,False
6/28/2020 7:00:00 PM,6/28/2020 3:00:00 PM,Oil,188.4,0.00,False
