datetime_beginning_utc,datetime_beginning_ept,fuel_type,mw,fuel_percentage_of_total,is_renewable
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Multiple Fuels,700.8,0.01,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Nuclear,27082.9,0.37,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Oil,205.6,0.00,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Other,34.2,0.00,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Other Renewables,494.6,0.01,True
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Solar,111.9,0.00,True
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Storage,0.0,0.00,False
4/12/2020 10:00:00 PM,4/12/2020 6:00:00 PM,Wind,4892.1,0.07,True
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Coal,9478.3,0.13,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Gas,27678.8,0.38,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Hydro,1320.0,0.02,True
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Multiple Fuels,691.0,0.01,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Nuclear,27104.8,0.37,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Oil,204.3,0.00,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Other,33.6,0.00,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Other Renewables,499.0,0.01,True
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Solar,801.6,0.01,True
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Storage,0.0,0.00,False
4/12/2020 9:00:00 PM,4/12/2020 5:00:00 PM,Wind,5086.3,0.07,True
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Coal,9143.8,0.13,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Gas,27288.0,0.38,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Hydro,1073.1,0.01,True
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Multiple Fuels,698.5,0.01,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Nuclear,27084.2,0.38,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Oil,208.6,0.00,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Other,32.3,0.00,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Other Renewables,490.2,0.01,True
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Solar,935.2,0.01,True
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Storage,0.0,0.00,False
4/12/2020 8:00:00 PM,4/12/2020 4:00:00 PM,Wind,5015.6,0.07,True
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Coal,8923.8,0.13,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Gas,27153.6,0.38,False
4/12/2020 7:00:00 PM,4/12/2020 3:00:00 PM,Hydro,1098.7,0.02,True
