date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-07,sped,6.49,5.55,5.68,5.87,5.23,4.98,4.24,3.39,3.57,6.66,9.2,10.62,12.65,11.79,13.26,13.66,14.38,13.23,12.25,11.5,10.29,13.15,12.48,11.14
2017-01-07,tmpc,-14.44,-14.16,-14.16,-13.61,-13.36,-13.61,-13.61,-13.36,-12.2,-10.0,-8.66,-7.5,-7.2,-6.11,-6.42,-6.94,-7.5,-8.84,-9.7,-10.61,-11.11,-11.72,-12.22,-13.03
2017-01-08,dwpc,-19.75,-20.0,-20.3,-20.0,-20.56,-19.75,-20.0,-19.7,-19.2,-19.16,-18.61,-18.36,-17.75,-17.5,-16.94,-16.08,-15.53,-14.75,-14.16,-13.92,-13.61,-13.3,-13.61,-13.92
2017-01-08,relh,57.62,60.5,60.12,61.58,66.16,65.97,65.88,65.96,62.86,63.69,50.78,55.51,46.54,42.72,43.7,47.64,50.7,55.32,56.56,57.82,56.71,57.06,57.32,56.74
2017-01-08,sped,12.19,9.52,7.44,6.71,6.59,6.79,7.6,7.39,9.68,9.9,7.12,8.62,7.97,10.73,11.2,11.23,10.54,11.0,12.22,12.22,11.73,13.19,12.17,9.97
2017-01-08,tmpc,-13.03,-13.89,-14.14,-14.14,-15.56,-14.7,-15.0,-14.7,-13.58,-12.25,-10.25,-9.14,-8.06,-6.66,-6.42,-6.7,-6.94,-7.25,-6.94,-6.94,-6.33,-6.08,-6.39,-6.42
2017-01-09,dwpc,-12.8,-12.5,-11.94,-11.16,-11.66,-11.7,-11.42,-11.11,-11.11,-10.56,-10.25,-10.0,-10.0,-9.39,-8.59,-8.03,-6.54,-5.57,-6.16,-6.11,-5.86,-5.56,-5.0,-4.44
2017-01-09,relh,59.8,67.06,68.52,71.26,69.5,72.08,72.29,73.97,70.58,67.97,65.66,62.88,59.88,59.24,60.62,60.77,70.38,75.27,69.04,67.58,67.62,64.88,66.56,66.7
2017-01-09,sped,11.64,10.35,11.64,10.76,13.26,9.6,8.98,8.88,8.5,9.02,10.47,11.88,9.3,9.73,9.8,11.79,13.03,12.75,12.97,11.73,11.75,12.91,12.21,12.83
2017-01-09,tmpc,-6.16,-7.2,-6.94,-6.64,-6.94,-7.5,-7.25,-7.25,-6.64,-5.53,-4.75,-3.92,-3.3,-2.5,-1.97,-1.42,-1.82,-1.68,-1.16,-0.86,-0.61,0.3,0.56,1.16
2017-01-10,dwpc,-3.36,-3.13,0.02,0.25,1.08,1.39,2.5,3.36,4.26,4.51,2.11,1.7,1.39,0.0,5.31,2.52,-3.2,-5.0,-5.84,-6.7,-6.14,-7.24,-6.97,-6.66
2017-01-10,relh,70.11,67.77,77.88,74.71,78.93,77.76,80.98,85.94,91.22,92.14,86.72,80.6,81.22,77.16,80.76,76.88,70.02,70.34,71.43,73.06,71.82,68.67,69.91,73.18
2017-01-10,sped,13.09,14.44,15.12,15.41,14.62,12.7,14.16,13.91,13.38,17.2,24.48,28.17,27.02,25.88,25.79,25.53,26.1,21.49,19.66,15.49,15.73,14.66,14.28,12.59
2017-01-10,tmpc,1.66,2.41,3.65,4.44,4.44,5.0,5.56,5.61,5.61,5.69,4.14,4.75,4.32,3.61,8.42,6.26,1.68,-0.25,-1.34,-2.5,-1.68,-2.24,-2.22,-2.5
2017-01-11,dwpc,-6.42,-6.16,-6.16,-6.16,-5.25,-5.0,-4.14,-3.34,-3.06,-2.25,-2.22,-0.57,0.99,2.31,-2.2,-1.94,-2.8,0.85,-2.93,-4.65,-6.94,-7.5,-8.3,-8.3
2017-01-11,relh,76.03,77.54,75.91,74.5,78.34,78.04,78.44,78.26,75.12,73.69,70.29,70.77,78.71,85.97,85.08,85.06,84.59,87.76,84.23,82.14,79.38,77.43,79.55,79.55
2017-01-11,sped,12.65,13.29,10.73,9.84,7.86,8.43,8.31,9.72,10.35,9.67,10.3,11.6,11.66,11.63,12.02,11.63,11.31,12.29,12.65,15.19,14.22,13.8,15.64,11.98
2017-01-11,tmpc,-2.78,-2.78,-2.5,-2.25,-1.97,-1.66,-0.86,0.0,0.86,1.97,2.75,4.31,4.36,4.44,0.0,0.25,-0.53,2.66,-0.57,-1.99,-3.89,-4.14,-5.3,-5.3
2017-01-12,dwpc,-7.19,-9.14,-7.56,-11.26,-8.13,-7.65,-8.54,-8.21,-9.28,-10.86,-9.85,-9.85,-11.11,-11.11,-11.42,-10.02,-11.34,-10.78,-11.08,-12.5,-12.78,-13.06,-14.0,-14.14
2017-01-12,relh,82.57,81.04,83.57,78.45,82.0,82.35,79.56,82.46,79.25,73.72,71.55,69.51,62.9,62.06,59.24,63.31,60.77,64.2,61.48,58.22,59.66,57.48,49.29,56.74
2017-01-12,sped,13.42,14.68,12.6,11.19,13.22,13.44,12.02,10.87,12.12,10.4,10.12,9.2,10.47,12.32,12.54,11.24,11.5,8.37,6.79,7.48,10.09,9.02,10.41,11.55
2017-01-12,tmpc,-4.65,-6.42,-5.2,-8.17,-5.52,-5.11,-5.56,-5.7,-6.26,-6.89,-5.35,-4.83,-4.7,-4.44,-4.14,-3.69,-4.75,-5.0,-4.75,-5.56,-6.08,-5.8,-5.0,-6.94
2017-01-13,dwpc,-16.08,-15.84,-16.89,-16.11,-16.11,-15.8,-16.08,-16.08,-15.28,-13.7,-13.58,-12.02,-13.03,-11.09,-12.22,-12.5,-10.56,-9.68,-11.11,-10.19,-11.08,-11.65,-10.78,-10.53
2017-01-13,relh,51.23,54.86,51.47,56.04,56.04,57.43,57.22,57.22,58.84,59.21,57.2,59.97,56.3,60.1,55.1,51.58,58.82,61.03,56.99,58.93,56.46,56.73,58.97,58.82
2017-01-13,sped,12.39,10.99,9.72,8.98,9.3,9.25,8.05,8.15,8.34,7.89,10.42,11.14,11.04,9.52,9.87,10.22,11.66,10.64,10.72,8.1,7.58,7.32,7.54,6.84
2017-01-13,tmpc,-7.75,-8.36,-8.66,-8.91,-8.91,-8.91,-9.16,-9.16,-8.66,-7.04,-6.33,-5.17,-5.3,-4.06,-3.84,-3.34,-3.32,-2.98,-3.61,-3.15,-3.61,-4.28,-3.92,-3.61
2017-01-14,dwpc,-10.28,-10.0,-9.75,-10.0,-9.44,-9.44,-9.2,-8.91,-8.91,-9.16,-9.85,-9.22,-9.75,-9.75,-10.56,-10.28,-10.28,-10.25,-10.25,-9.72,-10.0,-9.75,-9.75,-9.75
2017-01-14,relh,58.88,60.12,61.28,60.08,62.77,62.77,65.56,65.41,63.96,59.08,56.69,53.47,49.34,45.92,42.05,43.1,46.7,49.32,52.06,58.38,57.86,58.88,61.56,61.56
2017-01-14,sped,6.56,6.83,6.73,4.39,4.03,4.22,4.6,2.67,3.62,3.66,5.13,6.12,6.27,5.69,4.65,5.23,4.49,3.4,4.37,3.26,3.12,2.97,0.31,2.46
2017-01-14,tmpc,-3.36,-3.36,-3.36,-3.36,-3.36,-3.36,-3.66,-3.36,-3.06,-2.25,-2.39,-0.86,-0.25,0.86,1.42,1.11,0.0,-0.61,-1.42,-2.5,-2.75,-2.75,-3.28,-3.28
2017-01-15,dwpc,-8.89,-8.84,-8.34,-8.59,-9.14,-9.14,-8.59,-8.34,-8.03,-7.5,-6.97,-6.97,-6.66,-7.5,-7.2,-5.86,-6.33,-5.86,-4.46,-4.02,-3.34,-2.96,-3.06,-2.24
2017-01-15,relh,65.94,66.1,69.76,68.79,66.49,66.49,67.57,67.31,67.12,64.55,63.47,60.79,58.23,52.9,54.06,58.44,58.24,61.89,70.93,74.54,77.27,83.06,80.33,86.51
2017-01-15,sped,2.95,1.92,2.57,1.78,3.74,3.35,1.72,1.73,1.78,2.3,3.15,3.01,2.94,3.57,4.52,6.05,6.3,4.54,5.61,4.08,4.3,5.33,5.64,5.49
2017-01-15,tmpc,-3.34,-3.3,-3.58,-3.58,-3.61,-3.61,-3.3,-3.06,-2.75,-1.66,-0.86,-0.3,0.61,1.11,1.11,1.42,0.96,0.61,0.2,0.0,0.25,-0.41,0.0,-0.2
