date,completely_home_device_count_percentage,median_home_dwell_time_percentage,part_time_work_behavior_devices_percentage,full_time_work_behavior_devices_percentage,completely_home_device_count,device_count,part_time_work_behavior_devices,full_time_work_behavior_devices
2019-08-26,25.791647843764114,49.30555555555556,12.771266984049761,8.245734440699168,118753.0,460431.0,58803.0,37966.0
2019-08-27,25.20743405535473,48.61111111111111,12.663711006620995,8.028580525131412,116386.0,461712.0,58470.0,37069.0
2019-08-28,25.098210959101102,48.40277777777778,13.077799638749262,8.174768662261062,115191.0,458960.0,60022.0,37519.0
2019-08-29,23.653196969595953,47.013888888888886,13.183902145239825,7.779133414671547,106433.0,449972.0,59324.0,35004.0
2019-08-30,22.68071931784348,44.23611111111111,12.385018166514067,6.732691442374206,101315.0,446700.0,55324.0,30075.0
2019-08-31,26.376288006374388,52.361111111111114,5.866427627170823,1.8385215769363104,116522.0,441767.0,25916.0,8122.0
2019-09-01,30.527014521332262,54.44444444444444,5.379768731134809,1.400889096460047,141185.0,462491.0,24881.0,6479.0
2019-09-02,34.89454056859188,55.69444444444444,4.792641373567357,1.4162499647999227,173481.0,497157.0,23827.0,7041.0
2019-09-03,26.17352284183684,46.736111111111114,11.828137663826675,7.4513214857572105,132404.0,505869.0,59835.0,37694.0
2019-09-04,25.70425221766664,46.38888888888889,12.295450621026975,7.5191849748818385,128019.0,498045.0,61237.0,37449.0
2019-09-05,25.280500452982096,46.52777777777778,12.20981474876916,7.429111376204707,123338.0,487877.0,59569.0,36245.0
2019-09-06,25.372746783727752,43.26388888888889,12.16767215322885,6.807218406286894,125078.0,492961.0,59982.0,33557.0
2019-09-07,30.42637677907424,52.083333333333336,6.190296832927299,1.961789973073471,151869.0,499135.0,30898.0,9792.0
2019-09-08,34.18096059137707,58.333333333333336,5.315060891623809,1.362307638950821,172472.0,504584.0,26819.0,6874.0
2019-09-09,27.307883013902934,47.43055555555556,12.077904838501873,7.580241515150332,139889.0,512265.0,61871.0,38831.0
2019-09-10,27.084325039765012,46.875,12.106945621591917,7.5029122305944815,139968.0,516785.0,62567.0,38774.0
2019-09-11,26.731473269681018,46.52777777777778,12.260606422048353,7.516693824391163,138951.0,519802.0,63731.0,39072.0
2019-09-12,26.30107926479924,45.97222222222222,12.42025518341308,7.334974682956287,135884.0,516647.0,64169.0,37896.0
2019-09-13,25.29978678370218,42.77777777777778,12.106250194540417,6.560875587512062,130049.0,514031.0,62230.0,33725.0
2019-09-14,29.23971188749968,51.24999999999999,5.9773682228395995,1.8124350553963913,148293.0,507162.0,30315.0,9192.0
2019-09-15,33.91342107021177,57.604166666666664,5.473861667053086,1.3366840489953746,172601.0,508945.0,27859.0,6803.0
2019-09-16,26.705756514974716,47.22222222222222,12.013807856865032,7.530921820303384,137321.0,514199.0,61775.0,38724.0
2019-09-17,28.56140912253547,48.19444444444444,11.928167195633327,7.820086842310883,153525.0,537525.0,64117.0,42035.0
2019-09-18,31.933672494289173,50.9375,10.803156199091728,7.070504828038114,175442.0,549394.0,59352.0,38845.0
2019-09-19,34.651991591886386,52.56944444444444,10.489868649900233,5.238176534818625,194853.0,562313.0,58986.0,29455.0
2019-09-20,31.056228496017347,47.84722222222222,9.119668190601876,4.7207428005844365,164730.0,530424.0,48373.0,25040.0
2019-09-21,31.194180066092386,52.01388888888889,5.786848090532305,1.726207929501454,157452.0,504747.0,29209.0,8713.0
2019-09-22,34.942183078154606,57.43055555555555,5.244716427329086,1.414211451976994,179404.0,513430.0,26928.0,7261.0
2019-09-23,28.449681813821115,47.77777777777778,12.123652905247674,7.791364203255411,142344.0,500335.0,60659.0,38983.0
2019-09-24,27.111341547720713,46.666666666666664,12.354113293481355,7.655036395429223,133339.0,491819.0,60760.0,37649.0
2019-09-25,26.301095237090344,47.43055555555556,12.72817439382109,7.865870386392892,124633.0,473869.0,60315.0,37274.0
2019-09-26,26.364751387601594,46.111111111111114,13.034999882270593,7.8726724361210945,123169.0,467172.0,60896.0,36779.0
2019-09-27,26.493162286920597,44.23611111111111,12.082031488664208,6.5393861122054915,125749.0,474646.0,57347.0,31039.0
2019-09-28,29.74810767348668,52.01388888888889,6.324758244750981,1.9722991929243632,137632.0,462657.0,29262.0,9125.0
2019-09-29,32.573349834079885,59.30555555555556,5.180869355704257,1.254859871425599,148712.0,456544.0,23653.0,5729.0
2019-09-30,25.134486833518526,48.75,12.495811065841227,7.950376563133851,114004.0,453575.0,56678.0,36061.0
2019-10-01,27.14727669025531,46.458333333333336,12.773230541435915,8.13125819433128,131275.0,483565.0,61767.0,39320.0
2019-10-02,25.105988481491437,46.38888888888889,13.216017542337186,8.192703251301177,118615.0,472456.0,62440.0,38707.0
2019-10-03,24.153230624881054,46.31944444444444,13.232970563893304,8.10964518227726,109147.0,451893.0,59799.0,36647.0
2019-10-04,23.46072046020313,42.22222222222222,12.329490937871693,6.6658265571871365,106118.0,452321.0,55769.0,30151.0
2019-10-05,27.709980539338336,45.90277777777778,6.0792882958020575,1.774145120934112,124591.0,449624.0,27334.0,7977.0
2019-10-06,32.262091247307616,46.94444444444444,4.985136265731526,1.2411663136158926,144991.0,449415.0,22404.0,5578.0
2019-10-07,26.065776964290478,39.44444444444444,11.813953281740073,7.096590757639031,117345.0,450187.0,53185.0,31948.0
2019-10-08,24.14067483863002,46.38888888888889,13.545246473640043,8.23164109212551,105579.0,437348.0,59240.0,36001.0
2019-10-09,23.782226046212696,48.333333333333336,14.107933282884302,8.446152570309017,91768.0,385867.0,54438.0,32591.0
2019-10-10,24.740363156565525,45.34722222222222,13.892310626169332,8.356827353740059,96003.0,388041.0,53908.0,32428.0
2019-10-11,24.709666203059804,44.513888888888886,12.519123783031988,6.7283429366183185,99491.0,402639.0,50407.0,27091.0
2019-10-12,26.81351091968821,50.97222222222222,6.648304632902372,1.9964160223049292,103095.0,384488.0,25562.0,7676.0
2019-10-13,31.75494757578507,57.986111111111114,5.5350639588382435,1.4650267629181302,122509.0,385794.0,21354.0,5652.0
2019-10-14,27.99115351480629,50.06944444444444,11.369790796055085,6.9460338686656975,108845.0,388854.0,44212.0,27010.0
2019-10-15,27.12861933777337,44.583333333333336,12.676774833498655,8.055122573331444,114868.0,423419.0,53676.0,34107.0
2019-10-16,25.294048200524553,49.30555555555556,13.894168111540395,9.10582957357513,109267.0,431986.0,60021.0,39336.0
2019-10-17,25.06726891738975,47.22222222222222,13.52182017051696,8.167001731628321,106110.0,423300.0,57238.0,34571.0
2019-10-18,23.968897023481137,43.958333333333336,12.98127807282775,6.603699871430297,101230.0,422338.0,54825.0,27890.0
2019-10-19,26.99918741367751,51.94444444444445,7.000561466351109,2.2541571016017192,113966.0,422108.0,29550.0,9515.0
2019-10-20,32.05934765538675,59.513888888888886,5.655236295073797,1.518015412899252,136367.0,425357.0,24055.0,6457.0
2019-10-21,26.159553855267287,50.06944444444444,12.851677644854254,8.288983972868811,110843.0,423718.0,54455.0,35122.0
2019-10-22,24.111311962530348,48.40277777777778,14.055651211706405,8.749755560113135,101105.0,419325.0,58939.0,36690.0
2019-10-23,23.854087089381206,48.541666666666664,14.429430863254392,8.914008785332314,99920.0,418879.0,60442.0,37339.0
2019-10-24,23.965771306461473,47.56944444444444,14.08782711287793,8.215786705583012,101160.0,422101.0,59465.0,34679.0
2019-10-25,24.626862102771334,46.25,13.128093541522201,7.6908730063843525,102992.0,418209.0,54903.0,32164.0
2019-10-26,27.130138645254576,53.19444444444444,6.564548210235821,1.9880560061261285,110892.0,408740.0,26832.0,8126.0
2019-10-27,31.13794356124166,60.27777777777777,5.467180360359915,1.4953626705482008,126000.0,404650.0,22123.0,6051.0
2019-10-28,23.793485464454932,49.93055555555556,13.699219561411319,8.753721673244508,96218.0,404387.0,55398.0,35399.0
2019-10-29,23.627769381652143,49.583333333333336,14.454088308553082,9.57686000291872,95524.0,404286.0,58436.0,38718.0
2019-10-30,23.208106896603827,50.763888888888886,14.500848665555258,9.498002991734955,92158.0,397093.0,57582.0,37716.0
2019-10-31,20.914095890552723,48.68055555555556,14.308037793254751,8.832827974459542,80838.0,386523.0,55304.0,34141.0
2019-11-01,21.86229905975129,46.666666666666664,13.728894955009604,7.751744009705794,86496.0,395639.0,54317.0,30669.0
2019-11-02,26.42890774537601,55.208333333333336,7.160148213353532,2.3537058456247375,103281.0,390787.0,27981.0,9198.0
2019-11-03,30.64512711615019,59.513888888888886,11.194084314062467,1.347320543636659,130171.0,424768.0,47549.0,5723.0
2019-11-04,23.381176754862874,49.375,15.002778784583787,10.344327654947445,96763.0,413849.0,62089.0,42810.0
2019-11-05,23.725741844597405,50.0,15.757586391870415,10.631977901328025,94651.0,398937.0,62863.0,42415.0
2019-11-06,22.919451038279707,50.138888888888886,16.743382338273722,11.053041032494864,91918.0,401047.0,67149.0,44328.0
2019-11-07,23.703900669931382,50.55555555555556,15.730461565733785,11.06236196976076,96276.0,406160.0,63891.0,44931.0
2019-11-08,22.36829594190859,47.91666666666667,15.42189838006636,9.154101379721054,89394.0,399645.0,61633.0,36584.0
2019-11-09,27.954024548022737,52.5,8.814707492816336,3.430714586836329,115378.0,412741.0,36382.0,14160.0
2019-11-10,31.844985581092544,59.583333333333336,6.986178061168132,2.0804591487791524,135495.0,425482.0,29725.0,8852.0
2019-11-11,26.345943895488695,49.09722222222222,13.969458939343474,9.53378853484327,113903.0,432335.0,60395.0,41218.0
2019-11-12,25.95021859516176,50.34722222222222,14.686563684057127,10.66837656659866,111294.0,428874.0,62987.0,45754.0
2019-11-13,24.757529110672497,49.72222222222222,15.071914929784963,10.747811387396236,104862.0,423555.0,63838.0,45523.0
2019-11-14,25.232125446670146,50.138888888888886,15.136366995396825,10.84928711563721,105847.0,419492.0,63496.0,45512.0
2019-11-15,22.645115307022312,46.25,14.847002259027049,9.142415346887496,93727.0,413894.0,61451.0,37840.0
2019-11-16,27.447517047048635,54.23611111111111,8.811036972883299,3.5665231339733343,112506.0,409894.0,36116.0,14619.0
2019-11-17,32.23373449931215,61.66666666666667,7.631773884768199,2.2699067794164334,134024.0,415787.0,31732.0,9438.0
2019-11-18,24.006114361747084,49.861111111111114,15.294356289558012,10.484246825095928,99411.0,414106.0,63335.0,43416.0
2019-11-19,23.929964889663694,49.6875,15.963727457845621,10.989437599800764,98009.0,409565.0,65382.0,45009.0
2019-11-20,22.85110740628973,49.51388888888889,16.27345539455523,10.87865280821613,92382.0,404277.0,65790.0,43980.0
2019-11-21,22.09661826018651,49.791666666666664,16.659952869141375,11.140959535942315,87766.0,397191.0,66172.0,44251.0
2019-11-22,21.799149460215116,48.19444444444444,15.377298747719086,9.580712420934592,87090.0,399510.0,61434.0,38276.0
2019-11-23,27.627871801969235,53.541666666666664,8.404345762979952,3.410079481197358,111789.0,404623.0,34006.0,13798.0
2019-11-24,30.549461170444108,58.88888888888889,7.792973469289131,2.4752331706374133,126432.0,413859.0,32252.0,10244.0
2019-11-25,27.118539137226144,50.48611111111111,12.08297715794662,7.1245395515404635,113890.0,419970.0,50745.0,29921.0
2019-11-26,26.363138752721653,50.48611111111111,12.238994781720208,7.226770140248871,108367.0,411054.0,50309.0,29706.0
2019-11-27,25.574232973125994,49.583333333333336,11.478558389707246,5.626653390732226,104794.0,409763.0,47035.0,23056.0
