date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-05-03,94943.0,62108.0,217773.0
2020-05-04,110465.0,63152.0,261111.0
2020-05-05,119307.0,65629.0,278018.0
2020-05-06,126475.0,68094.0,292174.0
2020-05-07,124623.0,68347.0,289368.0
2020-05-08,146117.0,77018.0,334360.0
2020-05-09,144368.0,93098.0,349493.0
2020-05-10,116408.0,71262.0,258246.0
2020-05-11,119881.0,64150.0,280487.0
2020-05-12,126124.0,66305.0,291176.0
2020-05-13,128727.0,66886.0,294774.0
2020-05-14,134173.0,67807.0,305311.0
2020-05-15,141072.0,68040.0,317243.0
2020-05-16,140368.0,79667.0,332033.0
2020-05-17,115163.0,69446.0,263644.0
2020-05-18,129676.0,68829.0,304124.0
2020-05-19,136733.0,68311.0,312097.0
2020-05-20,140297.0,69240.0,319422.0
2020-05-21,145944.0,71077.0,327839.0
2020-05-22,165870.0,79757.0,375059.0
2020-05-23,149286.0,78372.0,344869.0
2020-05-24,110574.0,63576.0,250470.0
2020-05-25,112304.0,65538.0,266355.0
2020-05-26,138150.0,70047.0,318851.0
2020-05-27,140208.0,64922.0,313764.0
2020-05-28,154142.0,73069.0,346011.0
2020-05-29,174908.0,78265.0,383458.0
2020-05-30,159910.0,78873.0,358659.0
2020-05-31,126841.0,67663.0,277105.0
2020-06-01,147941.0,75300.0,340095.0
2020-06-02,153385.0,73131.0,340597.0
2020-06-03,153085.0,72492.0,341723.0
2020-06-04,163027.0,75024.0,358116.0
2020-06-05,186440.0,83072.0,406636.0
2020-06-06,165061.0,80220.0,366457.0
2020-06-07,134148.0,68914.0,287349.0
2020-06-08,144701.0,73667.0,333351.0
2020-06-09,152724.0,73002.0,342227.0
2020-06-10,159693.0,73859.0,354301.0
2020-06-11,163555.0,74146.0,357475.0
2020-06-12,178871.0,78463.0,388803.0
2020-06-13,170018.0,79500.0,374905.0
2020-06-14,137875.0,71060.0,295002.0
2020-06-15,144808.0,72858.0,330094.0
2020-06-16,148395.0,70591.0,330058.0
2020-06-17,154355.0,71679.0,342659.0
2020-06-18,164614.0,76480.0,364575.0
2020-06-19,176687.0,79200.0,383411.0
