LMP,Load,temperature
27.69,50617.09,7.00
27.83,50694.30,6.00
27.53,50999.59,4.90
27.91,51723.73,3.90
28.20,52955.63,3.10
31.36,54303.08,2.50
32.61,55099.27,1.90
32.14,55553.89,1.40
33.06,56070.39,0.90
40.19,55948.92,0.40
40.98,55277.73,-0.10
40.34,54097.80,-0.50
36.24,52638.08,-0.90
31.09,51448.20,-1.20
28.40,50789.64,-0.80
27.41,51352.32,0.00
28.66,54212.00,1.00
34.42,57004.48,1.70
42.14,57297.40,2.20
42.69,57246.96,2.70
41.21,56339.31,3.00
36.39,54402.04,3.00
31.82,52550.80,2.60
28.46,51180.17,1.60
27.52,50492.67,1.20
27.32,50220.58,0.70
27.06,50376.20,-0.40
27.10,51246.18,-1.30
27.78,53359.29,-1.90
29.10,56175.63,-2.20
34.65,57805.27,-2.30
39.79,58347.54,-2.10
41.96,58976.88,-2.20
44.76,59169.75,-2.50
47.66,58728.07,-2.60
48.82,57943.44,-2.70
45.62,57341.89,-2.60
44.02,56978.44,-2.50
44.91,57030.79,-1.80
41.32,57885.46,-0.90
44.50,60183.75,0.10
48.82,61948.68,1.20
48.66,61781.61,2.10
52.99,61125.41,2.60
57.15,59549.12,2.80
40.81,56984.71,2.80
30.97,54990.74,2.30
28.77,53932.18,0.90
34.85,53706.43,0.40
33.86,53907.18,0.00
32.98,54627.45,-0.60
35.57,55927.54,-1.10
39.11,58500.39,-1.50
43.64,61855.52,-2.10
51.21,62889.97,-3.10
56.51,61351.86,-3.90
46.35,58605.55,-4.10
70.02,55573.31,-4.40
68.00,52365.40,-4.70
65.11,49273.12,-4.80
60.11,46785.44,-5.00
50.69,44595.06,-4.80
44.67,43241.16,-2.70
41.95,43164.50,-0.50
42.93,45729.57,1.50
48.07,49544.06,3.30
68.69,50707.82,4.80
66.37,51398.18,6.10
66.85,51088.65,6.90
55.93,49504.11,7.10
51.43,48096.87,6.00
50.09,47332.28,2.30
48.98,47232.81,1.90
46.26,47503.65,2.30
46.75,48222.42,2.40
50.10,49670.90,2.00
52.18,52341.61,0.90
56.03,55935.00,0.00
75.83,57163.14,-0.70
75.00,55477.27,-1.10
54.17,52336.90,-1.40
54.23,49132.37,-1.70
55.94,46374.03,-2.00
43.10,43943.13,-2.40
39.46,42180.74,-2.70
38.15,40805.37,-2.30
37.37,40381.18,0.80
32.11,41141.73,3.20
38.98,43647.74,6.20
43.37,46243.25,7.90
47.35,46716.69,9.20
40.90,46692.94,10.10
37.35,45640.18,10.60
34.17,43649.86,10.40
30.49,41823.64,8.90
19.97,40595.30,6.80
19.83,40132.84,6.20
19.41,40102.91,5.90
20.39,40599.95,5.50
20.86,41787.24,4.90
20.82,44265.95,4.50
20.91,47603.62,4.30
28.64,49054.99,3.90
36.82,48216.95,3.50
39.21,46521.91,3.30
30.94,44645.17,3.20
30.56,42542.53,3.10
29.41,40424.38,3.10
28.33,38855.03,3.10
25.34,37613.03,3.40
24.95,36739.93,5.00
22.25,36678.07,7.10
22.34,38305.01,10.00
27.24,40725.31,11.70
37.77,41133.20,12.70
29.45,41346.21,13.30
28.09,41155.66,13.50
24.65,40175.07,13.10
22.17,38883.69,11.50
22.00,37837.62,7.50
20.32,37428.14,6.00
19.65,37414.02,5.30
19.88,37853.34,4.80
21.43,38639.87,4.30
102.83,40016.58,3.90
31.78,41748.50,3.60
22.61,43146.74,3.30
30.07,43483.42,3.20
25.26,42553.44,3.20
24.22,40980.58,2.90
24.73,38977.50,2.50
59.78,37140.56,2.20
19.20,35650.15,2.10
18.90,34549.71,2.80
17.25,34081.88,5.60
16.26,34222.61,8.40
15.69,35722.84,11.90
17.33,37665.10,14.40
16.86,37790.37,16.30
16.58,37489.81,16.90
14.22,36921.36,16.90
14.64,35772.33,16.30
12.97,34314.17,14.50
15.70,33025.93,10.90
12.31,32160.07,9.90
10.60,31691.97,9.30
10.26,31482.43,8.60
9.58,31627.51,8.10
9.86,32268.10,7.80
10.95,33236.48,7.90
11.61,34334.28,8.10
11.75,35387.76,8.60
15.79,36224.76,9.00
17.23,36391.59,9.10
16.80,36165.85,8.90
15.91,35910.39,9.20
16.20,35726.66,9.60
16.00,35382.24,10.10
15.94,35290.91,12.40
15.41,35677.95,13.80
10.28,37006.19,15.00
15.96,38085.31,16.30
19.00,37896.03,17.20
18.89,37102.95,17.60
18.94,35880.21,18.10
18.25,33992.68,18.00
17.84,32063.40,17.00
18.15,30767.01,15.50
18.78,30231.17,15.20
18.18,30174.98,15.30
18.04,30740.04,15.60
18.29,32168.56,15.80
18.35,35067.40,15.80
18.57,39207.63,15.80
19.12,41073.72,15.70
20.14,40585.97,15.50
20.87,39819.45,15.00
21.63,39118.99,13.80
21.01,38234.79,12.30
20.48,37366.95,10.90
19.24,36734.87,10.00
19.00,36117.40,9.60
18.90,35640.17,10.70
18.51,35707.56,12.50
18.40,36933.06,14.50
18.99,39412.75,16.00
20.69,39807.76,16.90
19.44,39607.13,17.30
19.14,38758.37,17.30
18.99,36941.69,16.80
18.85,35287.54,15.50
17.75,34135.08,12.50
17.41,33894.17,11.00
16.69,34182.47,10.10
16.31,34877.71,9.30
16.35,36465.81,8.40
16.14,39634.22,7.60
17.08,44226.27,6.90
20.17,45808.57,6.40
22.95,44682.17,5.90
19.29,43315.79,5.60
21.94,42079.20,5.80
20.88,40714.71,6.20
20.80,39439.21,6.40
20.13,38460.98,6.60
20.75,37721.98,6.60
20.75,37297.07,7.30
20.35,37615.13,8.80
19.69,39207.53,10.80
23.54,41627.13,13.00
22.60,41865.25,14.50
26.56,41482.87,15.40
21.66,40102.79,15.80
20.09,37816.83,15.60
17.47,35567.24,14.60
15.74,34211.99,12.20
16.61,33574.52,10.50
14.37,33419.77,9.40
13.77,33535.07,9.00
15.30,34532.84,8.90
