LMP,Load,temperature
25.36,44427.49,6.10
27.49,47273.67,5.40
32.88,51277.61,4.70
39.11,53146.32,4.30
40.43,52286.86,3.80
37.13,50465.84,3.70
30.57,48686.02,3.30
25.32,47423.60,2.90
22.47,46269.01,2.70
21.34,45302.22,3.10
18.82,44598.22,5.50
19.66,44456.19,9.00
23.33,45226.89,11.80
51.81,46897.50,13.30
40.79,48389.30,14.10
31.03,48266.47,14.10
26.42,47744.60,13.90
25.22,46274.27,13.20
23.48,43945.66,12.00
21.95,41838.46,10.00
21.71,40522.31,9.10
21.98,39889.53,8.60
22.20,39622.37,8.20
23.42,39898.58,8.00
24.03,40982.21,8.00
24.74,43479.12,8.10
30.66,47026.26,8.10
39.49,48980.16,8.10
38.84,48589.10,8.10
25.74,47433.47,8.10
27.75,46083.20,8.10
26.75,44525.68,8.10
25.58,42980.13,8.00
24.29,41587.98,8.20
22.45,40624.79,8.90
21.88,40217.28,10.10
22.71,40530.34,11.70
24.99,41958.13,13.40
39.25,44069.42,15.10
54.17,44228.79,16.50
38.98,43991.28,17.20
36.17,43112.58,17.10
33.85,41400.84,16.20
33.97,39861.49,14.30
35.78,39030.99,13.70
31.13,38745.48,12.90
31.98,39016.95,11.70
36.99,39587.75,10.60
39.31,41015.43,10.10
54.20,43740.97,9.30
60.43,47681.79,8.20
214.59,49611.60,7.20
44.97,48339.45,6.50
28.49,45976.44,6.10
32.36,43795.87,5.90
28.56,42052.10,5.60
26.79,40862.47,5.30
26.56,40256.81,5.90
25.73,39945.35,9.20
25.73,39884.30,11.90
26.52,40072.79,15.60
30.25,40640.94,18.30
51.73,42031.72,20.20
48.54,41825.51,21.00
49.75,41215.97,21.30
39.79,40212.33,20.90
29.58,38517.68,18.70
30.63,36856.69,15.30
27.07,35988.24,14.40
25.56,35829.75,13.90
23.05,36099.70,13.50
25.22,36707.25,12.90
24.83,38121.58,12.00
23.48,40909.58,11.00
28.63,44866.42,10.00
31.40,47085.45,9.10
29.82,46676.75,8.40
29.49,44910.84,7.90
27.41,43265.86,7.50
24.38,42017.05,7.40
22.72,41378.65,7.30
22.70,41066.62,7.80
22.72,40884.51,10.80
25.83,40654.93,13.30
22.65,40739.90,17.00
27.07,40991.30,20.20
26.35,41933.20,21.80
22.08,41396.45,22.40
32.50,40699.43,22.30
21.40,39657.64,21.60
18.27,38333.57,19.60
17.61,37095.02,15.70
-4.36,36030.89,14.50
-2.38,35581.91,14.20
-1.12,35764.16,14.10
14.65,36252.23,13.80
1.60,37324.66,13.60
21.60,39068.00,13.00
29.71,41476.51,12.80
30.13,44215.71,12.70
30.38,46594.67,12.70
42.45,48417.60,13.90
30.47,49225.95,13.90
30.49,49316.98,12.40
29.86,49106.18,10.40
24.67,48812.01,8.80
23.12,48550.65,8.30
21.15,48582.03,8.50
