LMP,Load,temperature
15.93,43719.85,9.70
14.96,43321.05,9.00
14.35,43063.07,8.30
15.04,43090.06,7.70
17.36,43486.59,7.20
17.95,44265.32,6.60
17.66,45290.29,6.00
17.53,45947.82,5.30
17.87,46090.64,4.70
17.33,46178.73,4.20
16.74,46022.21,3.80
16.19,45490.28,3.50
16.48,44600.61,3.20
16.46,43625.86,3.20
16.92,42757.79,4.90
17.14,42417.51,7.00
17.95,42760.42,8.80
19.26,44643.92,10.10
22.98,46301.36,11.10
26.58,46318.02,11.80
26.07,46024.19,12.40
26.68,45464.69,12.20
20.38,44236.67,11.20
18.67,42919.90,7.90
18.58,41716.42,6.70
18.85,40873.34,6.10
18.89,40493.86,5.40
18.53,40463.80,4.70
18.65,41042.99,4.10
19.32,42195.18,3.50
20.41,43824.64,3.00
23.13,45320.47,2.50
21.13,45845.89,2.20
18.26,45221.35,2.30
17.74,43769.85,2.40
16.33,42067.21,2.40
14.73,40259.02,2.20
12.99,38635.82,2.50
8.36,37481.71,4.90
1.71,36872.22,7.50
11.98,37106.59,9.30
15.49,38938.90,10.90
16.64,41922.30,12.30
15.63,42738.37,13.40
14.70,43192.33,13.80
15.25,43073.29,13.70
14.98,42322.75,12.40
15.08,41407.99,9.40
14.07,40618.53,9.40
13.84,40119.32,9.90
13.57,40080.86,9.00
13.46,40360.33,7.30
14.36,40883.16,6.10
16.02,41949.65,5.60
16.28,43325.88,5.20
16.94,44422.82,4.80
16.93,44372.42,4.50
16.74,42951.54,4.40
16.66,41072.13,4.20
16.81,39366.15,4.10
17.40,37919.26,4.20
17.15,36711.40,4.80
17.19,35796.56,8.60
16.98,35455.94,11.40
17.38,35674.63,14.90
18.74,37227.89,16.90
24.72,39565.82,17.90
18.50,39953.79,18.40
17.45,39877.45,18.50
16.20,39376.59,18.00
13.38,38151.99,16.00
12.40,36836.83,12.40
5.56,35936.86,11.60
6.20,35623.03,11.40
12.12,35670.63,10.80
12.70,36214.15,10.30
12.89,37418.68,9.80
13.45,39853.92,9.40
14.69,43215.67,9.10
15.93,45385.08,8.90
17.65,45112.90,8.80
15.52,43476.19,8.60
14.84,41932.09,8.40
14.64,40690.24,8.30
14.25,39801.59,8.20
14.64,39262.13,8.50
15.34,38869.85,11.80
15.75,38701.69,14.10
16.54,38653.13,17.30
18.21,39420.69,19.60
24.60,41314.12,20.90
22.06,41096.18,21.60
20.49,40442.56,21.80
19.38,39456.79,21.60
18.73,37863.54,20.30
17.76,36100.47,18.70
17.80,35007.38,17.30
17.66,34646.35,15.90
17.51,34691.31,14.40
17.62,35211.54,13.20
18.01,36519.12,12.50
18.44,39073.91,11.90
19.85,42742.01,11.20
25.85,44873.30,10.30
19.26,44600.29,9.00
17.51,43264.37,8.00
18.13,42035.42,7.50
16.61,40946.15,7.20
16.30,39999.25,6.80
16.00,39398.66,7.10
14.28,38851.66,10.00
15.60,38578.31,12.60
15.70,38654.58,15.90
17.44,39784.69,18.40
17.30,41685.46,19.30
16.53,41482.46,19.70
15.46,40825.81,19.50
14.56,39480.91,18.90
8.94,37541.64,17.00
-0.13,35429.82,13.80
-0.74,33903.34,12.80
-0.74,32944.98,12.20
-0.10,32457.68,11.70
1.86,32364.34,11.70
1.15,33023.31,12.00
-0.01,34883.98,12.40
9.34,37689.14,12.80
15.31,39324.76,13.10
15.73,39843.82,13.50
14.77,40494.79,13.60
15.26,40844.49,13.90
14.85,41033.50,14.30
14.73,40812.18,14.70
14.20,40555.33,15.10
13.68,40253.97,16.00
12.66,40318.72,17.10
11.22,41149.19,17.90
8.31,42240.13,18.60
17.90,43295.60,19.30
17.10,42956.85,19.50
16.53,42344.96,19.00
16.43,41175.38,18.10
15.90,39372.49,17.50
16.78,37659.62,16.80
16.30,36613.29,16.00
16.49,36066.32,14.00
16.32,35945.71,11.60
16.97,36288.73,10.20
18.05,37466.03,9.60
17.71,39944.67,9.10
17.99,43601.44,8.70
21.81,45750.90,8.20
41.93,45855.42,7.90
23.36,45208.91,8.10
20.43,44440.11,7.80
20.15,43519.17,7.40
20.80,42640.25,7.00
18.72,41869.85,7.00
18.36,41267.55,8.50
18.11,40999.48,10.60
18.36,41346.05,12.00
21.54,42806.46,13.20
36.82,44727.25,14.10
24.67,44865.67,14.60
22.21,44576.41,14.70
19.51,43523.69,14.20
18.32,41756.30,13.00
17.40,40085.27,10.30
17.67,39066.88,8.90
17.63,38622.81,8.00
17.81,38633.85,7.30
17.76,39052.74,6.50
17.96,40251.12,5.80
18.13,42726.91,5.20
18.69,46227.38,4.60
20.73,48364.81,4.20
20.82,48474.52,3.80
19.33,47720.39,3.80
19.08,47075.06,4.00
19.80,46190.22,4.10
20.05,44801.72,4.10
19.30,43295.49,4.50
18.64,41985.95,6.70
17.84,41214.16,9.20
17.87,41394.74,10.60
19.19,43214.34,11.70
26.89,45737.88,12.50
26.97,46169.45,13.00
24.52,46217.19,13.00
24.99,45802.18,12.60
24.47,44850.46,11.40
25.71,43858.20,8.00
26.62,43237.89,6.60
24.23,43080.48,5.90
26.05,43349.99,5.20
28.28,43904.88,4.50
33.72,44793.08,3.90
27.81,46231.39,3.40
27.66,48198.30,2.80
29.20,50037.65,2.40
189.57,50227.33,2.10
378.58,48817.03,1.80
26.43,47012.03,1.50
27.15,45095.60,1.30
22.93,43293.84,1.10
23.00,41662.35,1.40
21.92,40555.68,3.90
19.32,40130.48,7.00
18.68,40577.24,9.20
18.51,42660.82,10.70
27.23,44974.30,11.80
23.34,45251.35,12.60
21.65,45073.57,12.80
21.64,44399.45,12.50
17.95,43079.05,11.20
16.79,41755.75,7.60
17.34,40635.84,6.50
17.70,39932.39,6.30
16.61,39548.76,6.30
17.06,39529.47,6.30
16.57,39895.56,6.30
17.16,40726.28,6.00
17.06,42026.36,5.80
18.32,43777.64,5.50
18.99,45594.34,5.20
22.52,47850.27,5.00
26.74,49710.85,4.90
25.01,51057.67,4.80
41.67,52055.62,4.60
28.39,52323.97,4.10
27.31,52343.86,4.20
25.80,52549.17,5.30
25.25,52920.49,6.40
27.05,54303.48,6.30
31.70,55471.74,5.60
30.34,55083.88,5.00
29.93,53949.82,4.20
26.69,52342.89,3.30
25.21,50040.02,2.40
24.33,48057.15,1.60
21.15,46683.05,1.40
21.30,46023.02,1.30
21.96,45773.23,1.30
