LMP,Load,temperature
12.46,36824.12,11.50
13.14,36531.37,11.60
12.19,36072.17,11.70
10.13,35836.16,11.30
7.00,35998.54,10.70
9.28,36487.04,10.40
10.10,37099.05,10.20
11.75,37448.44,9.90
12.04,37988.18,9.50
13.41,39005.53,8.60
14.31,40011.21,8.30
14.67,40405.06,8.00
15.83,40320.73,8.10
16.72,39905.45,8.60
16.42,39384.85,10.70
15.73,39038.27,12.60
15.99,39255.08,14.30
16.65,40736.83,15.30
17.16,41737.74,16.00
16.02,41273.48,16.70
14.94,40551.19,17.20
15.76,39382.30,17.10
15.65,37563.31,16.20
14.87,35603.63,14.60
15.35,34151.03,14.40
13.79,33204.50,14.50
14.88,32658.81,14.80
13.31,32639.91,15.00
14.76,33313.15,15.00
14.60,34942.49,15.00
12.86,37070.52,15.10
15.30,38651.45,15.20
15.81,39115.17,15.30
16.31,39527.37,15.10
16.68,39860.84,14.70
16.99,39852.14,14.30
17.44,39570.08,14.10
21.26,39319.90,14.00
17.62,38907.99,14.50
15.79,38571.28,15.10
16.84,38604.13,16.00
19.43,39694.18,16.80
21.91,41077.23,17.50
19.20,40731.48,17.90
18.49,40179.22,18.00
17.38,39226.11,18.00
17.36,37620.04,17.40
18.00,35828.33,16.40
18.13,34564.61,16.10
16.65,33758.91,16.10
17.18,33419.49,16.00
14.89,33529.85,15.80
15.04,34275.84,15.30
14.88,36127.22,14.70
15.75,38469.21,14.30
14.79,40194.92,13.90
15.87,40702.75,13.30
14.60,40654.92,12.70
14.68,40371.28,12.40
13.29,39709.34,12.00
12.59,38974.61,11.40
12.31,38423.43,11.30
13.33,38006.26,12.90
13.89,37716.58,14.20
14.23,37691.00,16.20
16.45,38896.99,18.20
18.66,40642.15,19.70
17.87,40655.27,20.40
17.41,40505.54,20.10
17.37,40053.30,19.20
16.75,39028.49,17.40
17.11,37829.27,14.00
17.81,36844.53,12.80
16.95,36365.94,12.20
16.10,36314.91,11.40
14.85,36721.31,10.80
15.28,37460.44,10.10
17.58,38869.04,9.40
17.67,40780.66,8.70
18.97,42442.36,8.00
20.44,42975.29,7.60
20.40,42024.81,6.90
21.45,40565.63,6.10
20.93,39039.92,5.40
18.58,37682.72,4.80
18.00,36499.81,5.00
17.23,35849.87,7.90
16.39,35584.65,10.70
15.92,35571.29,14.70
16.81,36644.43,17.40
18.09,38444.79,18.60
16.97,38888.71,19.30
16.40,39007.93,19.40
14.38,38895.01,19.10
11.82,38138.27,17.30
11.31,37206.67,15.70
8.73,36361.99,15.80
6.59,35766.67,14.70
8.89,35587.15,12.70
12.31,35667.99,10.50
13.42,36149.63,9.10
14.97,37041.36,8.60
18.01,38316.61,8.10
17.84,39548.22,7.60
18.24,39775.01,7.20
17.98,38946.06,6.90
13.78,37773.23,6.60
0.00,36621.69,6.40
6.53,35905.01,6.20
13.66,35279.99,6.50
17.10,34925.13,10.00
16.97,34832.82,12.70
17.12,35041.99,16.50
17.88,36191.33,19.10
21.01,38201.80,20.50
18.38,38249.47,21.20
17.40,37872.00,21.30
16.60,37356.81,20.80
15.14,35889.47,18.40
14.75,34277.00,14.40
14.32,33414.25,13.40
13.89,33078.13,13.10
13.76,33245.68,12.30
14.04,33903.68,11.60
15.18,35324.08,11.10
15.65,38143.50,10.60
19.07,41966.33,10.40
19.37,43890.29,10.20
18.83,43465.32,10.00
19.21,42027.43,9.80
18.26,40898.00,9.60
16.19,39876.08,9.40
14.94,39109.65,9.30
12.94,38894.36,9.90
11.60,38826.63,13.70
10.97,38702.34,16.60
11.98,38543.36,19.60
12.54,39293.46,21.10
18.29,40933.01,21.90
18.03,40707.07,22.20
18.59,40100.91,22.10
20.17,38939.48,21.70
19.84,36970.72,20.10
18.51,35063.48,17.70
18.06,33961.29,17.10
17.50,33543.41,16.50
16.91,33675.39,15.80
16.49,34183.49,15.40
16.61,35740.04,14.70
19.42,38857.33,13.60
23.17,43305.30,12.80
22.28,45204.18,12.30
19.25,44293.17,11.50
17.59,42613.44,10.80
17.25,41168.63,10.10
15.99,39926.01,9.10
13.25,38904.97,7.80
12.97,38350.52,7.10
13.23,37862.33,9.20
13.47,37552.10,12.20
14.29,37664.12,15.50
17.31,38697.22,17.00
18.10,41170.94,17.80
16.74,41691.94,18.20
15.58,41976.53,18.30
15.05,41367.00,17.90
14.18,39822.67,16.20
16.88,38186.51,13.90
16.20,37344.46,13.10
17.05,37180.05,12.30
18.47,37492.17,11.30
16.67,38206.43,10.60
20.39,39790.85,9.80
152.32,43004.79,8.90
639.00,47526.74,7.90
26.38,49057.06,7.00
19.16,47446.78,6.30
20.10,45069.34,5.70
16.29,43051.40,5.30
16.79,41434.27,5.00
15.49,40091.41,5.00
15.44,39251.41,5.80
14.42,38610.24,10.40
12.53,38247.08,13.80
14.32,38555.04,16.50
15.26,39939.94,18.00
17.36,41957.12,19.00
16.75,41886.30,19.50
16.71,41297.88,19.40
15.54,39761.03,18.50
14.13,37346.88,17.20
8.01,34876.98,14.70
5.97,33272.43,13.80
5.58,32293.89,13.60
2.30,31803.95,13.80
-0.33,31542.34,14.10
1.90,32167.06,14.30
-1.06,34184.47,14.70
11.48,37535.87,15.20
14.93,38816.13,15.60
15.30,38627.92,15.90
15.97,38836.72,16.10
17.24,39150.85,16.20
16.87,39300.04,16.30
17.12,39301.88,16.30
18.90,39282.25,16.60
19.08,39015.15,18.00
18.08,38804.83,19.70
18.60,38845.81,21.00
166.82,39434.06,21.90
20.38,40910.85,22.80
17.16,40754.64,23.10
15.45,40206.91,22.90
12.87,39031.98,22.10
9.75,36950.70,21.10
6.53,34557.19,20.00
8.56,32768.27,19.40
9.35,31789.64,19.10
11.77,31135.19,18.90
12.24,31012.50,18.80
10.02,31493.51,18.80
8.48,33218.38,18.90
13.02,36493.54,18.90
15.55,38092.12,19.00
15.22,38329.23,19.00
17.37,39087.27,19.10
16.45,39810.42,19.30
17.56,40110.03,19.40
17.05,40122.52,19.40
16.59,40185.05,19.50
15.13,40035.35,19.90
14.60,39881.52,20.50
12.59,40156.68,21.10
12.03,40878.21,21.70
14.25,41324.44,22.20
12.70,40562.97,22.40
8.63,39505.64,22.50
8.99,38484.63,22.40
10.89,37124.61,21.80
9.66,35397.08,21.30
8.74,33571.17,21.20
10.43,32568.32,21.10
8.13,32338.49,21.10
3.48,32559.45,21.10
-0.10,33243.73,21.10
1.33,34761.19,21.20
5.33,36958.63,21.10
10.46,39483.32,20.70
13.27,41842.59,19.10
15.18,43652.01,16.70
18.45,44572.91,14.70
33.64,44250.41,13.00
19.14,43136.01,11.70
17.30,41453.89,10.70
14.29,39969.00,10.80
12.71,39011.02,11.00
13.22,38861.76,11.50
16.55,40208.58,12.20
19.21,42639.72,12.90
17.51,43186.68,13.40
14.03,43501.79,13.50
13.47,43406.46,13.20
12.58,42768.25,12.20
15.70,41769.22,9.30
13.91,40958.87,7.60
13.92,40483.95,6.80
13.52,40351.64,6.10
15.01,40529.28,5.40
15.35,41120.87,4.80
16.60,42193.23,4.20
16.81,43777.99,3.60
17.49,45398.21,3.10
17.34,46057.32,2.80
17.19,45439.19,2.40
16.17,43803.15,2.00
11.40,41939.90,1.90
11.42,40218.54,2.00
11.73,38790.21,2.50
