LMP,Load,temperature
10.63,37081.44,10.90
14.96,37258.99,10.40
15.50,37300.19,9.90
15.82,37423.54,9.20
15.96,37895.21,8.50
16.83,38825.09,8.00
17.96,39910.66,7.30
17.92,40436.56,6.50
18.54,40950.16,6.30
19.64,41763.47,6.40
20.95,42249.94,6.50
21.39,42296.68,6.90
21.83,41879.18,7.10
21.77,41376.31,7.50
21.93,40991.35,8.80
22.45,41015.89,11.10
23.08,41842.18,13.70
24.32,44058.74,15.70
31.23,45400.62,16.60
31.34,45246.04,16.90
30.10,44844.31,16.70
26.69,43901.78,16.20
27.01,42206.60,15.00
22.95,40494.84,13.50
22.18,39246.74,13.00
21.85,38577.96,12.70
21.26,38434.14,12.30
21.13,38830.98,11.90
20.85,40072.09,11.70
21.65,42485.80,11.40
22.54,45299.72,11.30
26.56,47420.62,11.20
33.89,48547.91,11.20
39.73,49679.19,11.00
48.08,50682.59,10.80
67.47,51256.52,10.70
36.02,51414.31,10.50
43.99,51455.22,10.40
33.56,51263.44,10.60
33.03,51149.18,11.00
36.53,51381.51,11.20
43.13,52717.56,11.40
51.19,53277.13,11.50
45.55,52309.22,11.40
47.26,51043.85,11.30
33.89,49194.03,11.20
32.21,46628.17,10.80
25.99,44287.43,10.40
26.51,42470.57,10.10
23.17,41445.49,9.80
21.69,41061.89,9.40
21.32,41019.87,9.30
21.60,41999.26,9.40
23.23,44024.87,9.60
23.47,46572.41,9.80
28.20,48255.85,10.00
29.71,48684.83,10.10
30.17,48896.63,10.00
31.92,49026.03,9.90
28.56,48540.92,9.70
25.35,47492.46,9.30
22.61,46312.87,8.60
20.20,45216.12,8.10
19.40,44530.41,7.80
20.61,44772.65,7.60
25.73,46512.88,8.00
33.03,48596.59,8.90
30.96,48814.78,10.00
28.48,48647.18,10.80
26.75,47765.30,10.70
28.98,46021.00,9.70
21.20,44191.87,7.60
20.38,43062.28,6.20
18.57,42515.87,5.30
17.92,42367.49,4.50
17.49,42732.04,3.80
17.31,43704.85,3.30
