date,q_0.10,q_0.25,q_0.50,q_0.75,q_0.90
2020-02-01,24.678452850581152,4.224467617823393,-25.46792224160299,-50.80212132773886,-78.28787716682746
2020-02-02,10.793014375987013,-21.535941272744594,-50.983774737944486,-109.02349925829299,-155.1040747098059
2020-02-03,-72.22069913446148,-100.46066298475193,-124.60715160424888,-153.08943180994675,-178.02465122547846
2020-02-04,-11.859616771387437,-40.448297161712844,-86.10393787869612,-112.75125994313703,-143.90954510797064
2020-02-05,18.94511299980809,-3.5826148771352564,-34.1515981229677,-55.8501805868932,-73.96652347315467
2020-02-06,96.25600412898189,65.9930518840788,29.837564064165917,6.1722046292989035,-14.813344303002168
2020-02-07,57.039884202388976,39.82337262533315,20.59664266539994,1.745150381583926,-19.66201987185923
2020-02-08,2.491001852859654,-25.71219506726311,-57.845770969335035,-78.41309279932261,-99.69803185983642
2020-02-09,21.376215049312123,-0.711997455942992,-27.257714898466475,-58.94386948500642,-84.52178349209203
2020-02-10,25.58606999420431,-1.4180909973229063,-37.030275273112466,-61.31712236291287,-88.89004457622877
2020-02-11,118.07698704091081,73.44430654408552,46.91488559298796,14.396236311598841,-13.569369052480624
2020-02-12,42.90548734016352,22.513295879197585,0.932088316088084,-13.941489359877096,-33.667185682288164
2020-02-13,-47.95975156520399,-80.93957873528052,-125.00746002375945,-154.97649075386516,-192.4305150549053
2020-02-14,61.023172053454346,23.52490188434831,-3.300950657143403,-30.629408466955738,-68.3083880190311
2020-02-15,42.45874267116278,15.978755725499695,-7.423952672555515,-32.192294730596586,-54.138517974536626
2020-02-16,-7.462164464812304,-40.41299602333197,-74.18492841578586,-102.12479698610446,-125.51389747471444
2020-02-17,189.88992816558948,133.53908829542934,66.55027855447383,28.763803177020918,-32.02846554585244
2020-02-18,-39.061553518255096,-71.92305173041314,-104.28193544013311,-127.05001859120489,-154.29869522439617
2020-02-19,-6.096211883573915,-27.910109359366743,-48.674469234428216,-70.25146518451902,-80.50750541027924
2020-02-20,-18.024095206793618,-47.727589957979035,-82.76182961275435,-116.41627211406876,-135.4614412884389
2020-02-21,71.211633555341,40.724862422033084,9.345245412492432,-12.966776440117656,-29.158568674850358
2020-02-22,12.41917489965249,-18.389448630999595,-54.77512831326908,-90.79098667816402,-123.96419969427416
2020-02-23,6.566264407912513,-25.904353279070392,-52.610383661657124,-81.43508762501938,-107.56450870115168
2020-02-24,-6.687521940373244,-33.16799979398388,-73.80435405076105,-105.7479810888658,-128.88000547493357
2020-02-25,62.039007747521055,33.65204962395114,4.8706017482240895,-17.12237164707085,-44.39468235161894
2020-02-26,60.53645592459429,41.07868454775098,18.371383215385777,-6.5511071820008056,-25.048758348628326
2020-02-27,109.7680929208725,79.17740866167992,59.06601863997821,35.99279132565039,18.135382692511257
2020-02-28,111.61216514726812,83.56860125235903,56.06708801659602,26.536783034777045,2.0384986478604787
2020-02-29,98.443924577992,59.332473909811824,26.33988633518493,3.828043394691349,-21.5970412757556
2020-03-01,112.92073263287625,78.11062838705288,48.99785315163149,10.121482558230127,-20.768203357232778
2020-03-02,-1.1170507826127505,-26.00822495229977,-48.72049266667136,-82.59128692086006,-93.988511621523
2020-03-03,83.65870991175143,56.23894239286301,23.96155651455433,-10.608555072423542,-43.45588560462056
2020-03-04,146.97943681185893,117.40583977252231,84.0209312133411,32.10422544516723,1.0532755635033482
2020-03-05,40.7351896811258,7.324379388704074,-32.79631755896253,-67.39211770732572,-105.66108963251918
2020-03-06,86.93553968347169,52.35495781953091,28.374956539281357,1.9587726568659036,-24.31485218376224
2020-03-07,137.90807499084212,101.34389645447732,61.49299071702285,-10.756099900788513,-55.06464987120944
2020-03-08,93.00448655935884,55.711580570377464,3.305252312053881,-51.90673211203057,-84.49692676211498
2020-03-09,5.1009621962959955,-27.327605132573126,-64.23813915867277,-94.77499412051475,-117.63075461359335
2020-03-10,-14.04309740465601,-37.27272562432199,-55.35838163979611,-78.310286912013,-92.47371994802552
2020-03-11,94.72622066490794,66.96440170064557,37.930522507526575,-1.2286086933384013,-29.785518850143717
2020-03-12,101.9799263606792,68.77021499733928,43.051499168361715,18.324099740315887,-18.909195417207002
2020-03-13,151.7849399352699,125.13879353468246,101.59655845151133,71.29372313383033,41.48369859634818
2020-03-14,-11.24146153544325,-29.704951186174185,-54.259014209237876,-82.5023546720106,-102.98083700701159
2020-03-15,-11.764527728476423,-27.851172074163742,-47.31413220748914,-78.21303725622693,-105.94646146039554
2020-03-16,23.84859666330749,-0.5630885725920507,-27.14133306647932,-56.24219661378993,-75.42653175469127
2020-03-17,25.02913976537502,6.267531365258719,-18.028772191873713,-35.07027776483005,-54.57174769938365
2020-03-18,80.98129462484371,50.02641039133937,21.39498054606497,-14.463250408588692,-45.22500315756042
2020-03-19,68.50022467482995,20.93899960252338,-17.731000995506292,-46.89398450194926,-82.70434992136143
2020-03-20,-51.82481032329247,-80.84559111190993,-120.98783805113499,-145.20489790800684,-164.2810129141053
2020-03-21,-77.5915772815747,-97.2426251923614,-125.34781700771373,-144.74717870132577,-163.54942343725543
2020-03-22,-27.682376763772027,-44.49192789797303,-69.17664814572231,-96.49267793193644,-123.50810452997234
2020-03-23,-26.82579348071158,-48.16092235378596,-84.84357968279846,-116.57365878800988,-137.31635238814943
2020-03-24,-62.03056465842997,-80.18210446968033,-101.89813462713778,-127.99626997289784,-149.99158648052799
2020-03-25,22.24038482270589,-11.011163160762862,-46.54502123035331,-74.87473764514561,-114.51989673841649
2020-03-26,-35.06301063275532,-61.43552956557528,-91.14345707311759,-125.0213059722214,-152.2708786455844
