date,q_0.10,q_0.25,q_0.50,q_0.75,q_0.90
2020-02-01,-122.03697098458997,-186.8620798524953,-292.9708850846737,-372.25778596636155,-431.8091497096457
2020-02-02,-94.03334198077664,-155.99867933103178,-219.53599554149423,-284.10336588808786,-330.82904647578107
2020-02-03,208.48593912318574,145.13839293469118,57.3425382076548,-32.88869583233463,-93.4110216167719
2020-02-04,175.48870738825462,103.14864762058733,-4.2691958289797185,-74.45257274701271,-172.30502457305738
2020-02-05,7.30976244572048,-39.1837997384082,-109.91906078115426,-157.9637105440288,-211.919452295082
2020-02-06,91.15285596449485,1.2540207973470388,-66.92101133415144,-153.42459725561366,-226.31652921012028
2020-02-07,348.15281015513665,261.1822684145409,170.8087603061258,81.69365427684079,-21.282845488641215
2020-02-08,-101.3538279945169,-144.51072209751055,-220.25153693380526,-276.5590224082416,-340.302165709164
2020-02-09,-101.9010706610834,-168.58319067661432,-248.93724666027265,-297.8863041725326,-357.4734252889093
2020-02-10,164.88507128696256,116.57674824231253,26.51882724166171,-66.69112071711515,-131.66027874066185
2020-02-11,109.5047046751888,31.07669232594344,-54.886074130897214,-136.08923769870398,-206.25803194445143
2020-02-12,29.65914936140325,-16.184224844409982,-103.40329921396642,-165.99286055319135,-215.83372066155607
2020-02-13,116.84847126783006,54.46997031193041,-14.62081820007279,-76.68688569481947,-140.29002581422264
2020-02-14,112.80896234379998,78.54127968233024,1.6795021983371043,-66.7797013997324,-129.37265713739816
2020-02-15,-200.96030429192615,-291.4939253154489,-374.39123254224523,-461.79593706345804,-534.169240544953
2020-02-16,38.376145542284576,-32.89490813899647,-88.68782209456458,-143.43510488326683,-208.93522996850515
2020-02-17,414.50051194072694,300.56609657971694,162.38431733594916,-10.93949859145414,-120.7400094456234
2020-02-18,30.305494139362963,-29.223325491992,-94.76356562071669,-164.51170511013697,-239.33289679262907
2020-02-19,87.82956396094505,-4.184385021249,-103.17583588447269,-188.09421800893597,-252.80847645185895
2020-02-20,12.005620527654173,-51.68671560109851,-129.6379831341692,-208.9187058681273,-267.88794504977795
2020-02-21,229.22467388435962,140.08035082377228,58.134188485149934,-27.37178773107371,-81.670498001321
2020-02-22,280.433759065555,177.9750410815368,39.956285441919135,-67.79779908580167,-198.0679262784961
2020-02-23,280.96470297008,151.81681525959357,46.024866127978385,-51.05438501207391,-155.94502349596314
2020-02-24,220.3742276956582,128.29014109200034,17.298300727521564,-108.62578714860683,-209.8734375833692
2020-02-25,56.16998519344634,-11.068431687922384,-108.26254185856124,-174.30317267267674,-234.32296432386283
2020-02-26,63.855704326861996,-26.455723192229925,-96.5818068823728,-174.36499893097243,-255.86896506460653
2020-02-27,129.34920589725516,16.443905267921764,-94.09359197097456,-184.56791386597524,-291.4931933305679
2020-02-28,306.9690250784515,226.25111039825424,136.00319595546625,65.77240501328652,-35.25371919805184
2020-02-29,-90.72613279504549,-177.76951693535375,-293.5048567338599,-372.2875491954728,-428.62522239056216
2020-03-01,111.96357873463148,18.487021598792126,-81.92549481395235,-152.72407217201453,-197.49923334667892
2020-03-02,212.89413455010435,111.02645340368326,23.614908388019103,-56.08255196533355,-141.486835898947
2020-03-03,85.09496677907737,29.372942618959314,-42.37245499286473,-103.00523322804656,-198.0302230108573
2020-03-04,135.7724599497633,72.90471731590424,-0.3283359631896019,-109.58861138398788,-196.04941145560042
2020-03-05,111.66756288315901,59.06243013162748,-7.550122171406656,-92.24769317872324,-151.57710131862405
2020-03-06,111.57584836885508,63.70754530175964,-12.428982203160558,-72.83795080147229,-121.07665810581057
2020-03-07,-33.91991429745576,-94.89761342381007,-187.1950427418351,-277.6832369550284,-344.44675834770715
2020-03-08,304.4444267826193,164.97501097069744,69.25321735945363,-90.1680298080446,-191.00439418857513
2020-03-09,198.89067786937994,80.02426396908959,-96.35170997610385,-197.14323899569627,-347.2557705786194
2020-03-10,64.02280242634788,-39.557532872878255,-145.80324311949335,-232.66081079457945,-372.7436497626604
2020-03-11,-8.057378423827686,-93.5427087988046,-160.17720603802354,-226.5261071563773,-289.84389818883574
2020-03-12,-27.433056536850927,-112.59748826100349,-163.83956872257568,-252.75819997727922,-289.51652169845875
2020-03-13,331.5182231456138,249.93256430291785,161.7079184169097,90.76384767441505,39.0031852736729
2020-03-14,-75.03880897657382,-191.3947819607738,-302.89876940821796,-373.951568908632,-472.55530585498946
2020-03-15,-64.7391408714293,-139.63514153560845,-260.7498775911354,-337.31183793546825,-416.6794722930199
2020-03-16,-377.2867876335458,-414.5215403378188,-485.6760992127265,-567.5700216356454,-616.1405488022729
2020-03-17,-171.41832204992988,-234.0535709205833,-305.4195199364849,-391.1846866517699,-429.16037804082316
2020-03-18,-270.96671135518955,-339.588118343283,-404.45784916354023,-476.67719200604733,-566.8904236211074
2020-03-19,-257.90603717268914,-324.72756226859474,-398.56403097875864,-476.11493202231577,-521.7411369890269
2020-03-20,-52.80363296488758,-156.19336827568532,-250.12690652057245,-361.55866753731607,-457.9577979698297
2020-03-21,-211.7499917029545,-300.96605025809276,-429.02969969811875,-543.8954025279663,-608.1581761927991
2020-03-22,-460.68884629714285,-561.4422763479761,-654.7995785218864,-737.0742158057983,-803.5823585860171
2020-03-23,-519.9694184744876,-605.2305110961861,-690.2233336254294,-764.3202090936402,-848.2878616804419
2020-03-24,-548.5692942726482,-629.2527052645664,-700.968237940253,-767.9135048787912,-819.0432355261892
2020-03-25,-626.5435746354606,-706.7504104187565,-766.6198383076362,-847.4496331361543,-942.2345706549004
2020-03-26,-508.54730944695984,-560.7260481162139,-621.0075298646143,-693.4269017565293,-747.7496355963794
2020-03-27,-361.10598950526673,-438.52681037005004,-532.1995758027442,-604.8343375556624,-652.9089934358663
2020-03-28,-640.0798877895486,-677.5592118684408,-762.1944805635039,-827.5370295470766,-876.1246727216994
2020-03-29,-542.3481908004223,-626.7275684675215,-721.9252545406089,-832.1016858337598,-906.0384626554542
2020-03-30,-767.4274631490853,-842.3973844078673,-939.6393896692298,-1022.1902665387179,-1080.1744909185682
2020-03-31,-788.9618242710558,-861.7124804552541,-924.2560057164073,-979.9360210878967,-1056.362094486114
2020-04-01,-706.2207723510228,-775.2478984890558,-842.89969718682,-910.4027275475155,-976.1645389347887
2020-04-02,-588.5998591509269,-646.353392528612,-698.9256734595301,-805.3915689223504,-880.6178417231104
