,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2019-05-25,48946.0,19033.0,85721.0
2019-05-26,39103.0,16257.0,70024.0
2019-05-27,32403.0,16022.0,61780.0
2019-05-28,43962.0,17453.0,78609.0
2019-05-29,48388.0,18118.0,84625.0
2019-05-30,62291.0,21653.0,106560.0
2019-05-31,44617.0,17138.0,78915.0
2019-06-01,48694.0,18186.0,84318.0
2019-06-02,41437.0,17438.0,73253.0
2019-06-03,44976.0,18434.0,81099.0
2019-06-04,49458.0,18426.0,85974.0
2019-06-05,50157.0,18306.0,85922.0
2019-06-06,50495.0,18924.0,86593.0
2019-06-07,54060.0,19413.0,92031.0
2019-06-08,51718.0,19076.0,88442.0
2019-06-09,46948.0,17242.0,78215.0
2019-06-10,43058.0,17834.0,77405.0
2019-06-11,48136.0,18849.0,84383.0
2019-06-12,50450.0,19027.0,86264.0
2019-06-13,44848.0,16643.0,76278.0
2019-06-14,52741.0,19862.0,91268.0
2019-06-15,49831.0,19772.0,86792.0
2019-06-16,37528.0,16855.0,67980.0
2019-06-17,42824.0,18043.0,76343.0
2019-06-18,45428.0,18055.0,79528.0
2019-06-19,46205.0,17717.0,79333.0
2019-06-20,49162.0,18464.0,84211.0
2019-06-21,52576.0,19561.0,89799.0
2019-06-22,49855.0,18816.0,84022.0
2019-06-23,43201.0,17596.0,74299.0
2019-06-24,47755.0,18591.0,82394.0
2019-06-25,47228.0,18146.0,81345.0
2019-06-26,47280.0,18076.0,80642.0
2019-06-27,48621.0,18524.0,83314.0
2019-06-28,52242.0,19844.0,89941.0
2019-06-29,46788.0,17997.0,81605.0
2019-06-30,29757.0,13843.0,54602.0
2019-07-01,40539.0,17044.0,71348.0
2019-07-02,42219.0,16947.0,72332.0
2019-07-03,44142.0,18503.0,77275.0
2019-07-04,33932.0,14595.0,57475.0
2019-07-05,43737.0,16945.0,73732.0
2019-07-06,41823.0,16740.0,71766.0
2019-07-07,35632.0,15738.0,61734.0
2019-07-08,40410.0,17055.0,71252.0
2019-07-09,43972.0,17489.0,74771.0
2019-07-10,46021.0,17147.0,77219.0
2019-07-11,43703.0,17127.0,74755.0
2019-07-12,50962.0,19544.0,86445.0
2019-07-13,45821.0,18283.0,78434.0
2019-07-14,36993.0,16421.0,64670.0
2019-07-15,43325.0,18075.0,76087.0
2019-07-16,45952.0,17588.0,77793.0
2019-07-17,46063.0,17272.0,77450.0
2019-07-18,47232.0,17934.0,79960.0
2019-07-19,48279.0,18710.0,83113.0
