date,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-05-03,94531.0,28662.0,144220.0
2020-05-04,108713.0,33885.0,176167.0
2020-05-05,116436.0,35753.0,186754.0
2020-05-06,110567.0,34229.0,180059.0
2020-05-07,125048.0,37627.0,198584.0
2020-05-08,114928.0,36524.0,188380.0
2020-05-09,109477.0,36771.0,180059.0
2020-05-10,107139.0,31439.0,165441.0
2020-05-11,111005.0,34025.0,179695.0
2020-05-12,126639.0,37393.0,201701.0
2020-05-13,127089.0,37342.0,200269.0
2020-05-14,129270.0,37747.0,204065.0
2020-05-15,143042.0,39733.0,220909.0
2020-05-16,128842.0,36456.0,195783.0
2020-05-17,107941.0,32289.0,165553.0
2020-05-18,131885.0,38361.0,210123.0
2020-05-19,137623.0,39523.0,217332.0
2020-05-20,135328.0,39227.0,214022.0
2020-05-21,138030.0,39360.0,216587.0
2020-05-22,148007.0,42286.0,232730.0
2020-05-23,114162.0,35461.0,184371.0
2020-05-24,122722.0,35579.0,186380.0
2020-05-25,122670.0,34575.0,185366.0
2020-05-26,144823.0,39948.0,225504.0
2020-05-27,146343.0,40394.0,227283.0
2020-05-28,140161.0,39691.0,221477.0
2020-05-29,147618.0,40602.0,230911.0
2020-05-30,145161.0,39532.0,218288.0
2020-05-31,122154.0,34505.0,183960.0
2020-06-01,143229.0,40624.0,226355.0
2020-06-02,131169.0,37548.0,208213.0
2020-06-03,132497.0,38319.0,210513.0
2020-06-04,141986.0,40446.0,222208.0
2020-06-05,140578.0,41135.0,225236.0
2020-06-06,134177.0,39251.0,207442.0
2020-06-07,122543.0,35365.0,182598.0
2020-06-08,154429.0,42501.0,241161.0
2020-06-09,157655.0,42803.0,243650.0
2020-06-10,159029.0,43387.0,247215.0
2020-06-11,143269.0,40542.0,228212.0
2020-06-12,164266.0,44243.0,253220.0
2020-06-13,150817.0,41066.0,227936.0
2020-06-14,127261.0,36317.0,189966.0
2020-06-15,154760.0,41589.0,240136.0
2020-06-16,157481.0,41848.0,243102.0
2020-06-17,160066.0,42877.0,248213.0
2020-06-18,163394.0,44906.0,255144.0
2020-06-19,169792.0,44985.0,259795.0
2020-06-20,156938.0,44533.0,240207.0
