,Restaurant_Recreaction,Grocery_Pharmacy,Retail
2020-05-03,8879.0,2854.0,13271.0
2020-05-04,9950.0,3295.0,15981.0
2020-05-05,10972.0,3518.0,17372.0
2020-05-06,11445.0,3432.0,17456.0
2020-05-07,11070.0,3436.0,17218.0
2020-05-08,11102.0,3709.0,17850.0
2020-05-09,9635.0,3776.0,16077.0
2020-05-10,9085.0,3029.0,14082.0
2020-05-11,10286.0,3013.0,15720.0
2020-05-12,11566.0,3445.0,17900.0
2020-05-13,11812.0,3337.0,17964.0
2020-05-14,12589.0,3559.0,18664.0
2020-05-15,13068.0,3795.0,19787.0
2020-05-16,10901.0,3371.0,16617.0
2020-05-17,9418.0,2971.0,14200.0
2020-05-18,12002.0,3485.0,18302.0
2020-05-19,12640.0,3500.0,19067.0
2020-05-20,12789.0,3519.0,18973.0
2020-05-21,13094.0,3657.0,19747.0
2020-05-22,14673.0,4123.0,21795.0
2020-05-23,10856.0,3633.0,17322.0
2020-05-24,10310.0,3235.0,15481.0
2020-05-25,10377.0,3014.0,15622.0
2020-05-26,14509.0,3835.0,21452.0
2020-05-27,14508.0,3585.0,20898.0
2020-05-28,14076.0,3649.0,20864.0
2020-05-29,14350.0,3894.0,21616.0
2020-05-30,12563.0,3880.0,19182.0
2020-05-31,11109.0,3418.0,16869.0
2020-06-01,13394.0,3761.0,20630.0
2020-06-02,14056.0,3702.0,20948.0
2020-06-03,14451.0,3883.0,21648.0
2020-06-04,14687.0,3791.0,21805.0
2020-06-05,15145.0,4226.0,23023.0
2020-06-06,12219.0,3929.0,19120.0
2020-06-07,9898.0,3248.0,15467.0
2020-06-08,14975.0,3948.0,22194.0
2020-06-09,14846.0,3867.0,22171.0
2020-06-10,15457.0,3930.0,22888.0
2020-06-11,14381.0,3895.0,22294.0
2020-06-12,16399.0,4064.0,24328.0
2020-06-13,14332.0,3907.0,21421.0
2020-06-14,12127.0,3462.0,17753.0
