date,kind,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
2017-01-07,sped,5.4,4.25,3.6,3.14,3.86,3.45,4.25,4.44,5.41,4.12,5.81,5.94,5.28,5.08,5.75,4.17,4.25,7.88,7.41,4.91,11.01,10.12,11.09,9.39
2017-01-07,tmpc,-11.64,-12.8,-13.11,-13.36,-13.36,-13.92,-13.66,-15.78,-14.46,-10.56,-9.39,-6.57,-7.61,-8.06,-7.44,-8.06,-8.3,-7.91,-7.91,-8.35,-8.52,-8.72,-9.7,-10.25
2017-01-08,dwpc,-15.61,-15.86,-14.11,-16.97,-18.34,-19.75,-21.16,-22.25,-21.64,-18.89,-18.89,-18.92,-19.2,-18.58,-18.58,-18.06,-17.5,-17.2,-17.8,-18.74,-17.5,-17.25,-18.17,-18.72
2017-01-08,relh,67.59,65.93,72.29,73.67,70.77,67.76,67.34,64.46,60.84,61.23,53.11,46.34,42.3,43.11,44.42,47.42,51.32,57.46,62.81,68.0,67.56,65.72,66.25,66.22
2017-01-08,sped,8.62,7.35,7.69,6.22,5.06,4.11,4.96,4.95,4.26,5.65,6.0,4.42,9.27,6.29,10.09,9.7,8.87,6.28,3.72,3.27,4.78,8.47,6.75,7.4
2017-01-08,tmpc,-10.53,-10.53,-9.98,-13.28,-14.14,-15.0,-16.42,-16.94,-15.56,-12.75,-11.08,-9.47,-8.61,-8.11,-8.36,-8.67,-9.17,-10.3,-11.97,-13.91,-12.5,-11.94,-13.13,-13.75
2017-01-09,dwpc,-19.85,-20.2,-21.91,-21.67,-22.34,-21.42,-22.75,-22.75,-22.2,-20.0,-20.84,-20.53,-20.25,-19.75,-19.72,-19.47,-18.66,-17.75,-17.5,-17.5,-18.06,-17.5,-17.5,-17.75
2017-01-09,relh,61.74,62.63,61.27,63.32,70.55,68.8,66.1,66.1,64.82,57.7,46.49,45.65,42.02,42.98,42.1,43.05,50.35,56.1,60.89,63.7,65.04,66.6,69.55,72.72
2017-01-09,sped,8.28,8.49,8.12,6.98,6.32,5.23,5.61,5.45,5.37,4.06,6.99,6.71,4.89,5.18,4.28,4.91,5.59,5.81,6.21,5.69,4.37,2.63,4.18,3.6
2017-01-09,tmpc,-14.07,-14.65,-16.17,-16.3,-18.21,-16.97,-17.8,-17.8,-16.94,-13.36,-11.64,-11.08,-9.72,-9.47,-9.16,-9.16,-10.25,-10.56,-11.39,-11.94,-12.75,-12.5,-13.03,-13.84
2017-01-10,dwpc,-18.06,-18.06,-18.06,-18.36,-18.92,-19.16,-19.44,-18.61,-16.66,-15.56,-13.61,-13.3,-16.11,-10.86,-9.44,-8.3,-6.11,-4.44,-0.97,-1.64,-0.06,1.28,1.08,1.08
2017-01-10,relh,74.09,74.09,75.86,75.44,69.4,66.28,64.92,65.25,72.96,70.44,70.08,61.94,53.25,59.02,59.69,58.5,61.76,64.5,76.68,76.32,79.6,86.23,84.92,79.61
2017-01-10,sped,4.71,4.37,4.5,4.27,4.79,3.39,2.54,2.56,1.72,3.5,2.39,2.63,2.48,2.82,3.27,2.35,2.06,6.45,11.81,11.1,13.34,11.38,10.77,13.9
2017-01-10,tmpc,-14.44,-14.44,-14.75,-15.0,-14.47,-14.16,-14.16,-13.36,-12.75,-11.16,-9.14,-7.25,-8.28,-3.92,-2.5,-0.78,0.81,2.19,3.01,2.25,3.56,3.48,3.58,4.75
2017-01-11,dwpc,1.64,2.8,2.19,2.07,3.66,3.36,4.07,3.67,2.25,1.08,0.56,-3.89,-1.95,-3.36,-3.36,-3.06,-3.36,-2.8,-1.67,-1.67,-1.42,-0.86,1.67,0.31
