station,valid,tmpc,dwpc,relh,sped
SYR,2021-09-06 04:30,M,M,M,5.75
LGA,2021-09-06 04:30,M,M,M,5.75
SYR,2021-09-06 04:35,M,M,M,5.75
LGA,2021-09-06 04:35,M,M,M,5.75
SYR,2021-09-06 04:40,M,M,M,5.75
LGA,2021-09-06 04:40,M,M,M,5.75
SYR,2021-09-06 04:45,M,M,M,5.75
LGA,2021-09-06 04:45,M,M,M,5.75
LGA,2021-09-06 04:50,M,M,M,5.75
SYR,2021-09-06 04:50,M,M,M,5.75
LGA,2021-09-06 04:51,22.22,20.00,87.24,5.75
SYR,2021-09-06 04:54,17.78,16.11,89.97,5.75
SYR,2021-09-06 04:55,M,M,M,5.75
LGA,2021-09-06 04:55,M,M,M,4.60
SYR,2021-09-06 05:00,M,M,M,4.60
LGA,2021-09-06 05:00,M,M,M,5.75
SYR,2021-09-06 05:05,M,M,M,2.30
LGA,2021-09-06 05:05,M,M,M,8.05
SYR,2021-09-06 05:10,M,M,M,2.30
LGA,2021-09-06 05:10,M,M,M,5.75
SYR,2021-09-06 05:15,M,M,M,2.30
LGA,2021-09-06 05:15,M,M,M,5.75
SYR,2021-09-06 05:20,M,M,M,4.60
LGA,2021-09-06 05:20,M,M,M,5.75
LGA,2021-09-06 05:25,M,M,M,5.75
SYR,2021-09-06 05:25,M,M,M,4.60
LGA,2021-09-06 05:30,M,M,M,8.05
SYR,2021-09-06 05:30,M,M,M,2.30
LGA,2021-09-06 05:35,M,M,M,5.75
SYR,2021-09-06 05:35,M,M,M,2.30
SYR,2021-09-06 05:40,M,M,M,2.30
LGA,2021-09-06 05:40,M,M,M,5.75
LGA,2021-09-06 05:45,M,M,M,4.60
SYR,2021-09-06 05:45,M,M,M,2.30
LGA,2021-09-06 05:50,M,M,M,5.75
SYR,2021-09-06 05:50,M,M,M,0.00
LGA,2021-09-06 05:51,22.22,20.00,87.24,6.90
SYR,2021-09-06 05:54,16.11,15.61,96.85,0.00
LGA,2021-09-06 05:55,M,M,M,5.75
SYR,2021-09-06 05:55,M,M,M,0.00
SYR,2021-09-06 06:00,M,M,M,4.60
LGA,2021-09-06 06:00,M,M,M,4.60
LGA,2021-09-06 06:05,M,M,M,4.60
SYR,2021-09-06 06:05,M,M,M,5.75
SYR,2021-09-06 06:10,M,M,M,5.75
LGA,2021-09-06 06:10,M,M,M,4.60
SYR,2021-09-06 06:15,M,M,M,5.75
LGA,2021-09-06 06:15,M,M,M,5.75
SYR,2021-09-06 06:20,M,M,M,2.30
LGA,2021-09-06 06:20,M,M,M,4.60
SYR,2021-09-06 06:25,M,M,M,2.30
LGA,2021-09-06 06:25,M,M,M,4.60
LGA,2021-09-06 06:30,M,M,M,5.75
SYR,2021-09-06 06:30,M,M,M,5.75
SYR,2021-09-06 06:35,M,M,M,5.75
LGA,2021-09-06 06:35,M,M,M,5.75
LGA,2021-09-06 06:40,M,M,M,8.05
SYR,2021-09-06 06:40,M,M,M,5.75
LGA,2021-09-06 06:45,M,M,M,5.75
SYR,2021-09-06 06:45,M,M,M,5.75
SYR,2021-09-06 06:50,M,M,M,5.75
LGA,2021-09-06 06:50,M,M,M,5.75
LGA,2021-09-06 06:51,22.22,20.00,87.24,5.75
