station,valid,tmpc,dwpc,relh,sped
HIE,2021-04-02 00:05,M,M,M,5.75
BOS,2021-04-02 00:05,M,M,M,18.40
HIE,2021-04-02 00:10,M,M,M,4.60
BOS,2021-04-02 00:10,M,M,M,17.25
HIE,2021-04-02 00:15,M,M,M,5.75
BOS,2021-04-02 00:15,M,M,M,18.40
BOS,2021-04-02 00:20,M,M,M,17.25
HIE,2021-04-02 00:25,M,M,M,5.75
BOS,2021-04-02 00:25,M,M,M,16.10
HIE,2021-04-02 00:30,M,M,M,5.75
BOS,2021-04-02 00:30,M,M,M,12.65
HIE,2021-04-02 00:35,M,M,M,5.75
BOS,2021-04-02 00:35,M,M,M,14.95
BOS,2021-04-02 00:40,M,M,M,17.25
HIE,2021-04-02 00:45,M,M,M,4.60
HIE,2021-04-02 00:50,M,M,M,5.75
HIE,2021-04-02 00:52,-5.00,-8.28,77.77,5.75
BOS,2021-04-02 00:54,1.72,-6.72,53.49,11.50
BOS,2021-04-02 00:55,M,M,M,11.50
HIE,2021-04-02 01:00,M,M,M,5.75
BOS,2021-04-02 01:00,M,M,M,14.95
HIE,2021-04-02 01:05,M,M,M,9.20
BOS,2021-04-02 01:10,M,M,M,12.65
HIE,2021-04-02 01:15,M,M,M,5.75
BOS,2021-04-02 01:15,M,M,M,12.65
HIE,2021-04-02 01:20,M,M,M,9.20
BOS,2021-04-02 01:25,M,M,M,12.65
HIE,2021-04-02 01:30,M,M,M,8.05
BOS,2021-04-02 01:30,M,M,M,12.65
HIE,2021-04-02 01:35,M,M,M,5.75
BOS,2021-04-02 01:35,M,M,M,11.50
BOS,2021-04-02 01:40,M,M,M,11.50
HIE,2021-04-02 01:45,M,M,M,5.75
BOS,2021-04-02 01:45,M,M,M,8.05
HIE,2021-04-02 01:50,M,M,M,5.75
HIE,2021-04-02 01:52,-6.11,-9.39,77.59,5.75
BOS,2021-04-02 01:54,1.72,-6.72,53.49,12.65
HIE,2021-04-02 02:00,M,M,M,10.35
BOS,2021-04-02 02:00,M,M,M,11.50
HIE,2021-04-02 02:05,M,M,M,10.35
BOS,2021-04-02 02:05,M,M,M,12.65
HIE,2021-04-02 02:10,M,M,M,8.05
BOS,2021-04-02 02:15,M,M,M,10.35
HIE,2021-04-02 02:20,M,M,M,5.75
HIE,2021-04-02 02:25,M,M,M,8.05
HIE,2021-04-02 02:30,M,M,M,5.75
BOS,2021-04-02 02:30,M,M,M,12.65
BOS,2021-04-02 02:35,M,M,M,12.65
HIE,2021-04-02 02:40,M,M,M,4.60
BOS,2021-04-02 02:40,M,M,M,12.65
HIE,2021-04-02 02:45,M,M,M,5.75
HIE,2021-04-02 02:50,M,M,M,4.60
BOS,2021-04-02 02:50,M,M,M,14.95
HIE,2021-04-02 02:52,-6.72,-10.00,77.48,4.60
BOS,2021-04-02 02:54,1.11,-8.89,47.25,23.00
HIE,2021-04-02 03:00,M,M,M,4.60
HIE,2021-04-02 03:05,M,M,M,5.75
BOS,2021-04-02 03:05,M,M,M,12.65
HIE,2021-04-02 03:10,M,M,M,4.60
BOS,2021-04-02 03:15,M,M,M,16.10
HIE,2021-04-02 03:17,-6.72,-10.00,77.48,4.60
HIE,2021-04-02 03:20,M,M,M,4.60
HIE,2021-04-02 03:24,-6.72,-10.00,77.48,4.60
HIE,2021-04-02 03:25,M,M,M,5.75
HIE,2021-04-02 03:30,M,M,M,4.60
HIE,2021-04-02 03:33,-6.72,-10.00,77.48,0.00
HIE,2021-04-02 03:40,M,M,M,4.60
HIE,2021-04-02 03:45,M,M,M,0.00
HIE,2021-04-02 03:49,-7.00,-10.00,79.16,0.00
HIE,2021-04-02 03:50,M,M,M,0.00
HIE,2021-04-02 03:52,-6.72,-10.00,77.48,0.00
BOS,2021-04-02 03:54,0.00,-10.61,44.70,14.95
HIE,2021-04-02 03:55,M,M,M,0.00
HIE,2021-04-02 04:00,M,M,M,0.00
BOS,2021-04-02 04:00,M,M,M,17.25
BOS,2021-04-02 04:05,M,M,M,12.65
BOS,2021-04-02 04:10,M,M,M,14.95
HIE,2021-04-02 04:15,M,M,M,0.00
BOS,2021-04-02 04:15,M,M,M,12.65
HIE,2021-04-02 04:21,-6.72,-10.00,77.48,4.60
BOS,2021-04-02 04:25,M,M,M,20.70
HIE,2021-04-02 04:30,M,M,M,8.05
HIE,2021-04-02 04:35,M,M,M,12.65
BOS,2021-04-02 04:35,M,M,M,20.70
HIE,2021-04-02 04:40,M,M,M,9.20
BOS,2021-04-02 04:40,M,M,M,14.95
HIE,2021-04-02 04:42,-6.72,-11.72,67.57,9.20
HIE,2021-04-02 04:45,M,M,M,11.50
HIE,2021-04-02 04:50,M,M,M,9.20
HIE,2021-04-02 04:52,-6.72,-12.22,64.91,9.20
BOS,2021-04-02 04:54,-0.61,-10.61,46.74,14.95
HIE,2021-04-02 04:55,M,M,M,9.20
BOS,2021-04-02 04:55,M,M,M,12.65
HIE,2021-04-02 05:00,M,M,M,12.65
BOS,2021-04-02 05:00,M,M,M,16.10
HIE,2021-04-02 05:05,M,M,M,12.65
HIE,2021-04-02 05:10,M,M,M,8.05
BOS,2021-04-02 05:10,M,M,M,14.95
BOS,2021-04-02 05:15,M,M,M,10.35
HIE,2021-04-02 05:20,M,M,M,5.75
BOS,2021-04-02 05:20,M,M,M,9.20
HIE,2021-04-02 05:25,M,M,M,10.35
BOS,2021-04-02 05:25,M,M,M,11.50
BOS,2021-04-02 05:30,M,M,M,12.65
BOS,2021-04-02 05:35,M,M,M,14.95
HIE,2021-04-02 05:40,M,M,M,10.35
BOS,2021-04-02 05:40,M,M,M,14.95
HIE,2021-04-02 05:45,M,M,M,10.35
BOS,2021-04-02 05:45,M,M,M,12.65
BOS,2021-04-02 05:50,M,M,M,16.10
HIE,2021-04-02 05:52,-7.22,-12.22,67.46,9.20
BOS,2021-04-02 05:54,-1.11,-10.61,48.48,14.95
HIE,2021-04-02 05:55,M,M,M,8.05
BOS,2021-04-02 05:55,M,M,M,12.65
HIE,2021-04-02 06:00,M,M,M,8.05
BOS,2021-04-02 06:00,M,M,M,12.65
HIE,2021-04-02 06:10,M,M,M,5.75
HIE,2021-04-02 06:15,M,M,M,5.75
BOS,2021-04-02 06:15,M,M,M,16.10
HIE,2021-04-02 06:20,M,M,M,9.20
BOS,2021-04-02 06:20,M,M,M,12.65
HIE,2021-04-02 06:25,M,M,M,5.75
BOS,2021-04-02 06:25,M,M,M,10.35
HIE,2021-04-02 06:30,M,M,M,4.60
HIE,2021-04-02 06:35,M,M,M,8.05
BOS,2021-04-02 06:35,M,M,M,18.40
BOS,2021-04-02 06:40,M,M,M,17.25
HIE,2021-04-02 06:45,M,M,M,5.75
BOS,2021-04-02 06:45,M,M,M,12.65
HIE,2021-04-02 06:50,M,M,M,8.05
HIE,2021-04-02 06:52,-7.22,-12.78,64.50,5.75
BOS,2021-04-02 06:54,-1.72,-11.11,48.72,16.10
HIE,2021-04-02 06:55,M,M,M,5.75
BOS,2021-04-02 06:55,M,M,M,16.10
BOS,2021-04-02 07:00,M,M,M,14.95
HIE,2021-04-02 07:05,M,M,M,2.30
HIE,2021-04-02 07:10,M,M,M,4.60
HIE,2021-04-02 07:15,M,M,M,2.30
BOS,2021-04-02 07:15,M,M,M,14.95
BOS,2021-04-02 07:20,M,M,M,12.65
HIE,2021-04-02 07:25,M,M,M,8.05
BOS,2021-04-02 07:25,M,M,M,12.65
HIE,2021-04-02 07:30,M,M,M,9.20
BOS,2021-04-02 07:30,M,M,M,12.65
HIE,2021-04-02 07:35,M,M,M,8.05
BOS,2021-04-02 07:35,M,M,M,11.50
HIE,2021-04-02 07:45,M,M,M,8.05
BOS,2021-04-02 07:45,M,M,M,11.50
HIE,2021-04-02 07:50,M,M,M,5.75
HIE,2021-04-02 07:52,-7.22,-11.72,70.22,8.05
BOS,2021-04-02 07:54,-1.11,-11.11,46.59,13.80
HIE,2021-04-02 07:55,M,M,M,8.05
BOS,2021-04-02 07:55,M,M,M,11.50
