station,valid,tmpc,dwpc,relh,sped
PHL,2020-06-11 02:00,M,M,M,11.50
CMH,2020-06-11 02:00,M,M,M,14.95
RIC,2020-06-11 02:05,M,M,M,12.65
MDW,2020-06-11 02:05,M,M,M,10.35
PHL,2020-06-11 02:05,M,M,M,12.65
CMH,2020-06-11 02:05,M,M,M,9.20
RIC,2020-06-11 02:10,M,M,M,14.95
MDW,2020-06-11 02:10,M,M,M,9.20
PHL,2020-06-11 02:10,M,M,M,12.65
CMH,2020-06-11 02:10,M,M,M,12.65
RIC,2020-06-11 02:15,M,M,M,14.95
MDW,2020-06-11 02:15,M,M,M,10.35
PHL,2020-06-11 02:15,M,M,M,11.50
CMH,2020-06-11 02:15,M,M,M,12.65
RIC,2020-06-11 02:20,M,M,M,12.65
MDW,2020-06-11 02:20,M,M,M,11.50
PHL,2020-06-11 02:20,M,M,M,12.65
CMH,2020-06-11 02:20,M,M,M,10.35
RIC,2020-06-11 02:25,M,M,M,12.65
MDW,2020-06-11 02:25,M,M,M,12.65
PHL,2020-06-11 02:25,M,M,M,11.50
CMH,2020-06-11 02:25,M,M,M,10.35
RIC,2020-06-11 02:30,M,M,M,12.65
MDW,2020-06-11 02:30,M,M,M,11.50
PHL,2020-06-11 02:30,M,M,M,12.65
CMH,2020-06-11 02:30,M,M,M,10.35
RIC,2020-06-11 02:35,M,M,M,12.65
MDW,2020-06-11 02:35,M,M,M,12.65
PHL,2020-06-11 02:35,M,M,M,12.65
CMH,2020-06-11 02:35,M,M,M,9.20
RIC,2020-06-11 02:40,M,M,M,12.65
MDW,2020-06-11 02:40,M,M,M,11.50
PHL,2020-06-11 02:40,M,M,M,12.65
CMH,2020-06-11 02:40,M,M,M,9.20
RIC,2020-06-11 02:45,M,M,M,12.65
MDW,2020-06-11 02:45,M,M,M,12.65
PHL,2020-06-11 02:45,M,M,M,12.65
CMH,2020-06-11 02:45,M,M,M,8.05
RIC,2020-06-11 02:50,M,M,M,12.65
MDW,2020-06-11 02:50,M,M,M,12.65
PHL,2020-06-11 02:50,M,M,M,12.65
CMH,2020-06-11 02:50,M,M,M,10.35
CMH,2020-06-11 02:51,20.00,13.89,67.86,12.65
MDW,2020-06-11 02:53,17.22,12.78,75.11,11.50
RIC,2020-06-11 02:54,24.39,21.72,85.09,14.95
PHL,2020-06-11 02:54,25.61,20.61,73.88,12.65
RIC,2020-06-11 02:55,M,M,M,14.95
MDW,2020-06-11 02:55,M,M,M,11.50
PHL,2020-06-11 02:55,M,M,M,12.65
CMH,2020-06-11 02:55,M,M,M,12.65
RIC,2020-06-11 03:00,M,M,M,12.65
MDW,2020-06-11 03:00,M,M,M,11.50
PHL,2020-06-11 03:00,M,M,M,11.50
CMH,2020-06-11 03:00,M,M,M,10.35
RIC,2020-06-11 03:05,M,M,M,12.65
MDW,2020-06-11 03:05,M,M,M,10.35
PHL,2020-06-11 03:05,M,M,M,12.65
CMH,2020-06-11 03:05,M,M,M,9.20
RIC,2020-06-11 03:10,M,M,M,12.65
MDW,2020-06-11 03:10,M,M,M,10.35
PHL,2020-06-11 03:10,M,M,M,12.65
CMH,2020-06-11 03:10,M,M,M,11.50
RIC,2020-06-11 03:15,M,M,M,11.50
MDW,2020-06-11 03:15,M,M,M,11.50
PHL,2020-06-11 03:15,M,M,M,12.65
CMH,2020-06-11 03:15,M,M,M,12.65
RIC,2020-06-11 03:20,M,M,M,12.65
MDW,2020-06-11 03:20,M,M,M,9.20
PHL,2020-06-11 03:20,M,M,M,12.65
