station,valid,tmpc,dwpc,relh,sped
BUR,2021-05-10 00:00,M,M,M,5.75
FAT,2021-05-10 00:00,M,M,M,12.65
SFO,2021-05-10 00:00,M,M,M,10.35
FAT,2021-05-10 00:05,M,M,M,12.65
SFO,2021-05-10 00:05,M,M,M,10.35
BUR,2021-05-10 00:05,M,M,M,5.75
BUR,2021-05-10 00:10,M,M,M,5.75
FAT,2021-05-10 00:10,M,M,M,14.95
SFO,2021-05-10 00:10,M,M,M,9.20
BUR,2021-05-10 00:12,16.11,11.72,75.20,5.75
SFO,2021-05-10 00:15,M,M,M,10.35
BUR,2021-05-10 00:15,M,M,M,5.75
FAT,2021-05-10 00:15,M,M,M,12.65
BUR,2021-05-10 00:20,M,M,M,5.75
FAT,2021-05-10 00:20,M,M,M,12.65
SFO,2021-05-10 00:20,M,M,M,9.20
BUR,2021-05-10 00:25,M,M,M,5.75
FAT,2021-05-10 00:25,M,M,M,12.65
SFO,2021-05-10 00:25,M,M,M,10.35
FAT,2021-05-10 00:30,M,M,M,12.65
SFO,2021-05-10 00:30,M,M,M,11.50
BUR,2021-05-10 00:30,M,M,M,5.75
BUR,2021-05-10 00:35,M,M,M,4.60
FAT,2021-05-10 00:35,M,M,M,12.65
SFO,2021-05-10 00:35,M,M,M,10.35
BUR,2021-05-10 00:40,M,M,M,4.60
FAT,2021-05-10 00:40,M,M,M,11.50
SFO,2021-05-10 00:40,M,M,M,11.50
BUR,2021-05-10 00:45,M,M,M,4.60
FAT,2021-05-10 00:45,M,M,M,11.50
SFO,2021-05-10 00:45,M,M,M,10.35
FAT,2021-05-10 00:50,M,M,M,12.65
SFO,2021-05-10 00:50,M,M,M,12.65
BUR,2021-05-10 00:50,M,M,M,4.60
CQT,2021-05-10 00:52,17.22,12.78,75.11,0.00
BUR,2021-05-10 00:53,15.61,11.72,77.65,4.60
FAT,2021-05-10 00:53,21.72,4.39,32.16,11.50
BUR,2021-05-10 00:55,M,M,M,2.30
FAT,2021-05-10 00:55,M,M,M,11.50
SFO,2021-05-10 00:55,M,M,M,11.50
SFO,2021-05-10 00:56,12.22,8.28,76.83,12.65
BUR,2021-05-10 01:00,M,M,M,2.30
FAT,2021-05-10 01:00,M,M,M,10.35
SFO,2021-05-10 01:00,M,M,M,12.65
BUR,2021-05-10 01:05,M,M,M,5.75
FAT,2021-05-10 01:05,M,M,M,9.20
SFO,2021-05-10 01:05,M,M,M,11.50
FAT,2021-05-10 01:10,M,M,M,8.05
BUR,2021-05-10 01:10,M,M,M,5.75
SFO,2021-05-10 01:10,M,M,M,12.65
BUR,2021-05-10 01:15,M,M,M,8.05
FAT,2021-05-10 01:15,M,M,M,8.05
SFO,2021-05-10 01:15,M,M,M,12.65
BUR,2021-05-10 01:20,M,M,M,5.75
FAT,2021-05-10 01:20,M,M,M,5.75
SFO,2021-05-10 01:20,M,M,M,11.50
BUR,2021-05-10 01:25,M,M,M,5.75
FAT,2021-05-10 01:25,M,M,M,8.05
SFO,2021-05-10 01:25,M,M,M,12.65
BUR,2021-05-10 01:30,M,M,M,5.75
FAT,2021-05-10 01:30,M,M,M,9.20
SFO,2021-05-10 01:30,M,M,M,12.65
FAT,2021-05-10 01:35,M,M,M,8.05
SFO,2021-05-10 01:35,M,M,M,10.35
BUR,2021-05-10 01:35,M,M,M,8.05
FAT,2021-05-10 01:40,M,M,M,9.20
SFO,2021-05-10 01:40,M,M,M,9.20
