station,valid,tmpc,dwpc,relh,sped
BUR,2021-06-06 03:00,M,M,M,4.60
FAT,2021-06-06 03:00,M,M,M,5.75
SFO,2021-06-06 03:00,M,M,M,5.75
BUR,2021-06-06 03:05,M,M,M,5.75
FAT,2021-06-06 03:05,M,M,M,4.60
SFO,2021-06-06 03:05,M,M,M,0.00
BUR,2021-06-06 03:10,M,M,M,4.60
FAT,2021-06-06 03:10,M,M,M,4.60
SFO,2021-06-06 03:10,M,M,M,2.30
BUR,2021-06-06 03:15,M,M,M,4.60
FAT,2021-06-06 03:15,M,M,M,4.60
SFO,2021-06-06 03:15,M,M,M,2.30
BUR,2021-06-06 03:20,M,M,M,4.60
FAT,2021-06-06 03:20,M,M,M,4.60
SFO,2021-06-06 03:20,M,M,M,0.00
BUR,2021-06-06 03:25,M,M,M,5.75
FAT,2021-06-06 03:25,M,M,M,4.60
SFO,2021-06-06 03:25,M,M,M,2.30
BUR,2021-06-06 03:30,M,M,M,5.75
FAT,2021-06-06 03:30,M,M,M,4.60
SFO,2021-06-06 03:30,M,M,M,2.30
BUR,2021-06-06 03:35,M,M,M,5.75
FAT,2021-06-06 03:35,M,M,M,4.60
SFO,2021-06-06 03:35,M,M,M,2.30
BUR,2021-06-06 03:40,M,M,M,5.75
FAT,2021-06-06 03:40,M,M,M,2.30
SFO,2021-06-06 03:40,M,M,M,2.30
BUR,2021-06-06 03:45,M,M,M,5.75
FAT,2021-06-06 03:45,M,M,M,0.00
SFO,2021-06-06 03:45,M,M,M,2.30
BUR,2021-06-06 03:50,M,M,M,5.75
FAT,2021-06-06 03:50,M,M,M,2.30
SFO,2021-06-06 03:50,M,M,M,4.60
CQT,2021-06-06 03:52,17.78,12.78,72.52,0.00
BUR,2021-06-06 03:53,15.61,12.22,80.25,5.75
FAT,2021-06-06 03:53,22.22,9.39,43.97,3.45
BUR,2021-06-06 03:55,M,M,M,5.75
FAT,2021-06-06 03:55,M,M,M,4.60
SFO,2021-06-06 03:55,M,M,M,5.75
SFO,2021-06-06 03:56,13.28,7.78,69.30,5.75
BUR,2021-06-06 04:00,M,M,M,4.60
FAT,2021-06-06 04:00,M,M,M,5.75
SFO,2021-06-06 04:00,M,M,M,5.75
BUR,2021-06-06 04:05,M,M,M,5.75
FAT,2021-06-06 04:05,M,M,M,4.60
SFO,2021-06-06 04:05,M,M,M,5.75
BUR,2021-06-06 04:10,M,M,M,5.75
FAT,2021-06-06 04:10,M,M,M,5.75
SFO,2021-06-06 04:10,M,M,M,5.75
BUR,2021-06-06 04:15,M,M,M,4.60
FAT,2021-06-06 04:15,M,M,M,5.75
SFO,2021-06-06 04:15,M,M,M,2.30
BUR,2021-06-06 04:18,15.61,12.22,80.25,4.60
BUR,2021-06-06 04:20,M,M,M,2.30
FAT,2021-06-06 04:20,M,M,M,4.60
SFO,2021-06-06 04:20,M,M,M,4.60
BUR,2021-06-06 04:25,M,M,M,2.30
FAT,2021-06-06 04:25,M,M,M,4.60
SFO,2021-06-06 04:25,M,M,M,4.60
BUR,2021-06-06 04:30,M,M,M,2.30
FAT,2021-06-06 04:30,M,M,M,4.60
SFO,2021-06-06 04:30,M,M,M,4.60
BUR,2021-06-06 04:35,M,M,M,4.60
FAT,2021-06-06 04:35,M,M,M,4.60
SFO,2021-06-06 04:35,M,M,M,4.60
BUR,2021-06-06 04:40,M,M,M,2.30
FAT,2021-06-06 04:40,M,M,M,2.30
SFO,2021-06-06 04:40,M,M,M,4.60
BUR,2021-06-06 04:45,M,M,M,5.75
FAT,2021-06-06 04:45,M,M,M,2.30
SFO,2021-06-06 04:45,M,M,M,2.30
BUR,2021-06-06 04:50,M,M,M,5.75
FAT,2021-06-06 04:50,M,M,M,2.30
SFO,2021-06-06 04:50,M,M,M,4.60
CQT,2021-06-06 04:52,17.78,11.11,64.97,0.00
BUR,2021-06-06 04:53,16.11,12.22,77.72,4.60
FAT,2021-06-06 04:53,21.11,9.39,47.06,3.45
BUR,2021-06-06 04:55,M,M,M,4.60
FAT,2021-06-06 04:55,M,M,M,0.00
SFO,2021-06-06 04:55,M,M,M,5.75
SFO,2021-06-06 04:56,13.28,7.22,66.72,5.75
BUR,2021-06-06 05:00,M,M,M,2.30
FAT,2021-06-06 05:00,M,M,M,0.00
SFO,2021-06-06 05:00,M,M,M,4.60
BUR,2021-06-06 05:05,M,M,M,2.30
FAT,2021-06-06 05:05,M,M,M,0.00
SFO,2021-06-06 05:05,M,M,M,4.60
BUR,2021-06-06 05:10,M,M,M,2.30
FAT,2021-06-06 05:10,M,M,M,4.60
SFO,2021-06-06 05:10,M,M,M,5.75
BUR,2021-06-06 05:15,M,M,M,4.60
FAT,2021-06-06 05:15,M,M,M,2.30
SFO,2021-06-06 05:15,M,M,M,8.05
BUR,2021-06-06 05:20,M,M,M,5.75
FAT,2021-06-06 05:20,M,M,M,2.30
SFO,2021-06-06 05:20,M,M,M,5.75
BUR,2021-06-06 05:25,M,M,M,4.60
FAT,2021-06-06 05:25,M,M,M,2.30
SFO,2021-06-06 05:25,M,M,M,4.60
BUR,2021-06-06 05:30,M,M,M,5.75
FAT,2021-06-06 05:30,M,M,M,2.30
SFO,2021-06-06 05:30,M,M,M,5.75
BUR,2021-06-06 05:35,M,M,M,4.60
FAT,2021-06-06 05:35,M,M,M,0.00
SFO,2021-06-06 05:35,M,M,M,5.75
BUR,2021-06-06 05:40,M,M,M,4.60
FAT,2021-06-06 05:40,M,M,M,0.00
SFO,2021-06-06 05:40,M,M,M,5.75
BUR,2021-06-06 05:45,M,M,M,4.60
FAT,2021-06-06 05:45,M,M,M,0.00
SFO,2021-06-06 05:45,M,M,M,5.75
BUR,2021-06-06 05:50,M,M,M,5.75
FAT,2021-06-06 05:50,M,M,M,2.30
SFO,2021-06-06 05:50,M,M,M,5.75
CQT,2021-06-06 05:52,17.78,11.72,67.66,3.45
BUR,2021-06-06 05:53,16.11,11.72,75.20,4.60
FAT,2021-06-06 05:53,20.61,9.39,48.53,3.45
BUR,2021-06-06 05:55,M,M,M,2.30
FAT,2021-06-06 05:55,M,M,M,0.00
SFO,2021-06-06 05:55,M,M,M,5.75
SFO,2021-06-06 05:56,13.28,7.78,69.30,5.75
BUR,2021-06-06 06:00,M,M,M,2.30
FAT,2021-06-06 06:00,M,M,M,0.00
SFO,2021-06-06 06:00,M,M,M,5.75
BUR,2021-06-06 06:05,M,M,M,2.30
FAT,2021-06-06 06:05,M,M,M,0.00
SFO,2021-06-06 06:05,M,M,M,4.60
BUR,2021-06-06 06:08,16.11,11.72,75.20,5.75
BUR,2021-06-06 06:10,M,M,M,4.60
FAT,2021-06-06 06:10,M,M,M,0.00
SFO,2021-06-06 06:10,M,M,M,5.75
