station,valid,tmpc,dwpc,relh,sped
ATY,2020-12-29 10:32,-6.72,-8.28,88.68,11.50
OKC,2020-12-29 10:35,M,M,M,18.40
OMA,2020-12-29 10:35,M,M,M,11.50
OJC,2020-12-29 10:35,M,M,M,14.95
ATY,2020-12-29 10:35,M,M,M,10.35
OKC,2020-12-29 10:40,M,M,M,16.10
OMA,2020-12-29 10:40,M,M,M,12.65
OJC,2020-12-29 10:40,M,M,M,12.65
ATY,2020-12-29 10:40,M,M,M,10.35
OKC,2020-12-29 10:45,M,M,M,19.55
OMA,2020-12-29 10:45,M,M,M,14.95
OJC,2020-12-29 10:45,M,M,M,12.65
ATY,2020-12-29 10:45,M,M,M,12.65
OKC,2020-12-29 10:50,M,M,M,17.25
OMA,2020-12-29 10:50,M,M,M,14.95
OJC,2020-12-29 10:50,M,M,M,14.95
ATY,2020-12-29 10:50,M,M,M,12.65
OKC,2020-12-29 10:52,9.39,8.89,96.69,17.25
OMA,2020-12-29 10:52,-4.39,-5.61,91.17,12.65
OJC,2020-12-29 10:53,-0.61,-0.61,100.00,14.95
ATY,2020-12-29 10:53,-6.72,-7.78,92.19,13.80
OKC,2020-12-29 10:55,M,M,M,17.25
OMA,2020-12-29 10:55,M,M,M,14.95
ATY,2020-12-29 10:55,M,M,M,12.65
OKC,2020-12-29 11:00,M,M,M,18.40
OMA,2020-12-29 11:00,M,M,M,12.65
OJC,2020-12-29 11:00,M,M,M,14.95
ATY,2020-12-29 11:00,M,M,M,12.65
OKC,2020-12-29 11:02,10.00,8.89,92.80,17.25
OKC,2020-12-29 11:05,M,M,M,20.70
OJC,2020-12-29 11:05,M,M,M,12.65
OKC,2020-12-29 11:10,M,M,M,20.70
OMA,2020-12-29 11:10,M,M,M,14.95
OJC,2020-12-29 11:10,M,M,M,16.10
ATY,2020-12-29 11:10,M,M,M,14.95
OKC,2020-12-29 11:12,10.00,9.39,95.98,24.15
OKC,2020-12-29 11:15,M,M,M,21.85
OMA,2020-12-29 11:15,M,M,M,17.25
OJC,2020-12-29 11:15,M,M,M,12.65
ATY,2020-12-29 11:15,M,M,M,14.95
OKC,2020-12-29 11:20,M,M,M,20.70
OMA,2020-12-29 11:20,M,M,M,16.10
OJC,2020-12-29 11:20,M,M,M,16.10
ATY,2020-12-29 11:20,M,M,M,16.10
OKC,2020-12-29 11:25,M,M,M,21.85
OMA,2020-12-29 11:25,M,M,M,16.10
ATY,2020-12-29 11:25,M,M,M,12.65
OJC,2020-12-29 11:27,0.00,-0.61,95.65,12.65
OKC,2020-12-29 11:30,M,M,M,21.85
OJC,2020-12-29 11:30,M,M,M,16.10
OKC,2020-12-29 11:35,M,M,M,23.00
OMA,2020-12-29 11:35,M,M,M,16.10
OJC,2020-12-29 11:35,M,M,M,18.40
ATY,2020-12-29 11:35,M,M,M,14.95
OJC,2020-12-29 11:37,0.00,-0.61,95.65,18.40
OMA,2020-12-29 11:38,-4.39,-5.61,91.17,12.65
OKC,2020-12-29 11:40,M,M,M,24.15
OMA,2020-12-29 11:40,M,M,M,12.65
OJC,2020-12-29 11:40,M,M,M,18.40
ATY,2020-12-29 11:40,M,M,M,14.95
OKC,2020-12-29 11:45,M,M,M,23.00
OMA,2020-12-29 11:45,M,M,M,12.65
OJC,2020-12-29 11:45,M,M,M,16.10
ATY,2020-12-29 11:45,M,M,M,17.25
OKC,2020-12-29 11:50,M,M,M,23.00
OMA,2020-12-29 11:50,M,M,M,14.95
OJC,2020-12-29 11:50,M,M,M,16.10
ATY,2020-12-29 11:50,M,M,M,16.10
OKC,2020-12-29 11:52,10.00,8.89,92.80,25.30
OMA,2020-12-29 11:52,-3.89,-5.61,87.81,16.10
OJC,2020-12-29 11:53,0.00,-0.61,95.65,17.25
ATY,2020-12-29 11:53,-6.72,-7.78,92.19,18.40
OKC,2020-12-29 11:55,M,M,M,24.15
OMA,2020-12-29 11:55,M,M,M,12.65
OJC,2020-12-29 11:55,M,M,M,19.55
ATY,2020-12-29 11:55,M,M,M,14.95
OKC,2020-12-29 11:59,10.61,8.89,89.09,25.30
OKC,2020-12-29 12:00,M,M,M,23.00
OMA,2020-12-29 12:00,M,M,M,12.65
OJC,2020-12-29 12:00,M,M,M,16.10
ATY,2020-12-29 12:00,M,M,M,14.95
ATY,2020-12-29 12:01,-6.72,-7.78,92.19,14.95
OKC,2020-12-29 12:05,M,M,M,25.30
OMA,2020-12-29 12:05,M,M,M,10.35
OJC,2020-12-29 12:05,M,M,M,14.95
ATY,2020-12-29 12:05,M,M,M,16.10
OKC,2020-12-29 12:10,M,M,M,21.85
OMA,2020-12-29 12:10,M,M,M,10.35
OJC,2020-12-29 12:10,M,M,M,17.25
ATY,2020-12-29 12:10,M,M,M,18.40
OKC,2020-12-29 12:15,M,M,M,25.30
OMA,2020-12-29 12:15,M,M,M,11.50
OJC,2020-12-29 12:15,M,M,M,16.10
ATY,2020-12-29 12:15,M,M,M,14.95
OKC,2020-12-29 12:20,M,M,M,23.00
OMA,2020-12-29 12:20,M,M,M,11.50
OJC,2020-12-29 12:20,M,M,M,12.65
ATY,2020-12-29 12:20,M,M,M,12.65
ATY,2020-12-29 12:22,-6.11,-7.78,87.97,12.65
OKC,2020-12-29 12:25,M,M,M,25.30
OMA,2020-12-29 12:25,M,M,M,11.50
OJC,2020-12-29 12:25,M,M,M,18.40
ATY,2020-12-29 12:25,M,M,M,12.65
OKC,2020-12-29 12:30,M,M,M,24.15
OKC,2020-12-29 12:35,M,M,M,24.15
OJC,2020-12-29 12:35,M,M,M,18.40
OKC,2020-12-29 12:40,M,M,M,23.00
OMA,2020-12-29 12:40,M,M,M,11.50
OJC,2020-12-29 12:40,M,M,M,19.55
ATY,2020-12-29 12:40,M,M,M,12.65
OKC,2020-12-29 12:45,M,M,M,23.00
OMA,2020-12-29 12:45,M,M,M,11.50
OJC,2020-12-29 12:45,M,M,M,17.25
ATY,2020-12-29 12:45,M,M,M,17.25
OKC,2020-12-29 12:50,M,M,M,20.70
OMA,2020-12-29 12:50,M,M,M,10.35
OJC,2020-12-29 12:50,M,M,M,17.25
ATY,2020-12-29 12:50,M,M,M,16.10
OKC,2020-12-29 12:52,10.00,8.89,92.80,21.85
OMA,2020-12-29 12:52,-3.89,-5.00,91.97,11.50
OJC,2020-12-29 12:53,0.00,0.00,100.00,17.25
ATY,2020-12-29 12:53,-6.11,-7.78,87.97,13.80
OKC,2020-12-29 12:55,M,M,M,25.30
OMA,2020-12-29 12:55,M,M,M,11.50
ATY,2020-12-29 12:55,M,M,M,12.65
OKC,2020-12-29 13:00,M,M,M,21.85
OMA,2020-12-29 13:00,M,M,M,12.65
ATY,2020-12-29 13:00,M,M,M,11.50
OKC,2020-12-29 13:05,M,M,M,21.85
OMA,2020-12-29 13:05,M,M,M,12.65
OJC,2020-12-29 13:05,M,M,M,17.25
ATY,2020-12-29 13:05,M,M,M,12.65
OKC,2020-12-29 13:10,M,M,M,23.00
OMA,2020-12-29 13:10,M,M,M,14.95
OJC,2020-12-29 13:10,M,M,M,12.65
ATY,2020-12-29 13:10,M,M,M,12.65
OMA,2020-12-29 13:12,-3.28,-5.00,87.87,13.80
OKC,2020-12-29 13:15,M,M,M,25.30
OMA,2020-12-29 13:15,M,M,M,16.10
OJC,2020-12-29 13:15,M,M,M,18.40
ATY,2020-12-29 13:15,M,M,M,14.95
OKC,2020-12-29 13:20,M,M,M,24.15
OMA,2020-12-29 13:20,M,M,M,14.95
OJC,2020-12-29 13:20,M,M,M,16.10
ATY,2020-12-29 13:20,M,M,M,10.35
OKC,2020-12-29 13:25,M,M,M,21.85
OMA,2020-12-29 13:25,M,M,M,12.65
OJC,2020-12-29 13:25,M,M,M,12.65
ATY,2020-12-29 13:25,M,M,M,14.95
OKC,2020-12-29 13:30,M,M,M,20.70
OMA,2020-12-29 13:30,M,M,M,12.65
OJC,2020-12-29 13:30,M,M,M,14.95
ATY,2020-12-29 13:30,M,M,M,12.65
OKC,2020-12-29 13:33,10.61,9.39,92.14,21.85
OKC,2020-12-29 13:35,M,M,M,23.00
OMA,2020-12-29 13:35,M,M,M,12.65
OJC,2020-12-29 13:35,M,M,M,17.25
ATY,2020-12-29 13:35,M,M,M,12.65
OKC,2020-12-29 13:40,M,M,M,23.00
OMA,2020-12-29 13:40,M,M,M,14.95
OJC,2020-12-29 13:40,M,M,M,14.95
ATY,2020-12-29 13:40,M,M,M,14.95
OKC,2020-12-29 13:45,M,M,M,20.70
OMA,2020-12-29 13:45,M,M,M,12.65
OJC,2020-12-29 13:45,M,M,M,16.10
ATY,2020-12-29 13:45,M,M,M,12.65
OKC,2020-12-29 13:50,M,M,M,23.00
OMA,2020-12-29 13:50,M,M,M,12.65
OJC,2020-12-29 13:50,M,M,M,12.65
ATY,2020-12-29 13:50,M,M,M,12.65
OKC,2020-12-29 13:52,10.61,9.39,92.14,25.30
OMA,2020-12-29 13:52,-3.28,-4.39,92.01,12.65
OJC,2020-12-29 13:53,0.00,0.00,100.00,16.10
ATY,2020-12-29 13:53,-6.11,-7.22,91.83,12.65
OKC,2020-12-29 13:55,M,M,M,23.00
OMA,2020-12-29 13:55,M,M,M,12.65
OJC,2020-12-29 13:55,M,M,M,17.25
ATY,2020-12-29 13:55,M,M,M,11.50
OKC,2020-12-29 14:00,M,M,M,23.00
OMA,2020-12-29 14:00,M,M,M,12.65
OJC,2020-12-29 14:00,M,M,M,12.65
ATY,2020-12-29 14:00,M,M,M,12.65
ATY,2020-12-29 14:03,-6.11,-7.22,91.83,12.65
OKC,2020-12-29 14:05,M,M,M,21.85
OMA,2020-12-29 14:05,M,M,M,12.65
OJC,2020-12-29 14:05,M,M,M,12.65
ATY,2020-12-29 14:05,M,M,M,9.20
OKC,2020-12-29 14:10,M,M,M,19.55
OMA,2020-12-29 14:10,M,M,M,12.65
OJC,2020-12-29 14:10,M,M,M,12.65
ATY,2020-12-29 14:10,M,M,M,12.65
OKC,2020-12-29 14:15,M,M,M,21.85
OMA,2020-12-29 14:15,M,M,M,12.65
OJC,2020-12-29 14:15,M,M,M,14.95
ATY,2020-12-29 14:15,M,M,M,12.65
ATY,2020-12-29 14:16,-6.11,-7.22,91.83,11.50
OMA,2020-12-29 14:19,-2.78,-4.39,88.65,13.80
OKC,2020-12-29 14:20,M,M,M,24.15
OMA,2020-12-29 14:20,M,M,M,12.65
OJC,2020-12-29 14:20,M,M,M,12.65
ATY,2020-12-29 14:20,M,M,M,11.50
OMA,2020-12-29 14:24,-2.78,-4.39,88.65,11.50
ATY,2020-12-29 14:24,-6.11,-7.22,91.83,14.95
OKC,2020-12-29 14:25,M,M,M,19.55
OMA,2020-12-29 14:25,M,M,M,11.50
OJC,2020-12-29 14:25,M,M,M,12.65
ATY,2020-12-29 14:25,M,M,M,14.95
OKC,2020-12-29 14:30,M,M,M,25.30
OJC,2020-12-29 14:30,M,M,M,16.10
OMA,2020-12-29 14:31,-2.78,-3.89,92.05,9.20
OKC,2020-12-29 14:35,M,M,M,23.00
OJC,2020-12-29 14:35,M,M,M,12.65
OKC,2020-12-29 14:40,M,M,M,21.85
OMA,2020-12-29 14:40,M,M,M,9.20
OJC,2020-12-29 14:40,M,M,M,14.95
ATY,2020-12-29 14:40,M,M,M,12.65
OMA,2020-12-29 14:44,-2.78,-3.89,92.05,10.35
OKC,2020-12-29 14:45,M,M,M,21.85
OMA,2020-12-29 14:45,M,M,M,10.35
OJC,2020-12-29 14:45,M,M,M,12.65
ATY,2020-12-29 14:45,M,M,M,10.35
OKC,2020-12-29 14:50,M,M,M,23.00
OMA,2020-12-29 14:50,M,M,M,10.35
OJC,2020-12-29 14:50,M,M,M,11.50
ATY,2020-12-29 14:50,M,M,M,12.65
OKC,2020-12-29 14:52,11.11,9.39,89.13,20.70
OMA,2020-12-29 14:52,-2.22,-3.89,88.33,10.35
OJC,2020-12-29 14:53,0.61,0.61,100.00,11.50
ATY,2020-12-29 14:53,-6.11,-6.72,95.43,12.65
OKC,2020-12-29 14:55,M,M,M,23.00
OMA,2020-12-29 14:55,M,M,M,10.35
OJC,2020-12-29 14:55,M,M,M,10.35
ATY,2020-12-29 14:55,M,M,M,12.65
OKC,2020-12-29 15:00,M,M,M,21.85
OMA,2020-12-29 15:00,M,M,M,10.35
OJC,2020-12-29 15:00,M,M,M,11.50
ATY,2020-12-29 15:00,M,M,M,12.65
OKC,2020-12-29 15:05,M,M,M,23.00
OMA,2020-12-29 15:05,M,M,M,9.20
OJC,2020-12-29 15:05,M,M,M,11.50
ATY,2020-12-29 15:05,M,M,M,11.50
OKC,2020-12-29 15:10,M,M,M,24.15
OMA,2020-12-29 15:10,M,M,M,9.20
OJC,2020-12-29 15:10,M,M,M,11.50
ATY,2020-12-29 15:10,M,M,M,10.35
OKC,2020-12-29 15:15,M,M,M,20.70
OMA,2020-12-29 15:15,M,M,M,8.05
OJC,2020-12-29 15:15,M,M,M,11.50
ATY,2020-12-29 15:15,M,M,M,11.50
ATY,2020-12-29 15:16,-6.11,-7.22,91.83,11.50
OKC,2020-12-29 15:20,M,M,M,23.00
OMA,2020-12-29 15:20,M,M,M,8.05
OJC,2020-12-29 15:20,M,M,M,12.65
ATY,2020-12-29 15:20,M,M,M,9.20
ATY,2020-12-29 15:24,-6.11,-6.72,95.43,8.05
OKC,2020-12-29 15:25,M,M,M,23.00
OMA,2020-12-29 15:25,M,M,M,9.20
OJC,2020-12-29 15:25,M,M,M,11.50
ATY,2020-12-29 15:25,M,M,M,9.20
OKC,2020-12-29 15:30,M,M,M,20.70
OJC,2020-12-29 15:30,M,M,M,12.65
ATY,2020-12-29 15:41,-6.11,-7.22,91.83,11.50
ATY,2020-12-29 15:46,-6.11,-7.22,91.83,10.35
OKC,2020-12-29 15:52,11.11,9.39,89.13,18.40
OMA,2020-12-29 15:52,-1.72,-2.78,92.49,6.90
