station,valid,tmpc,dwpc,relh,sped
SFO,2020-05-09 03:10,M,M,M,11.50
BUR,2020-05-09 03:15,M,M,M,2.30
FAT,2020-05-09 03:15,M,M,M,0.00
SFO,2020-05-09 03:15,M,M,M,11.50
BUR,2020-05-09 03:20,M,M,M,4.60
FAT,2020-05-09 03:20,M,M,M,2.30
SFO,2020-05-09 03:20,M,M,M,12.65
BUR,2020-05-09 03:25,M,M,M,4.60
FAT,2020-05-09 03:25,M,M,M,2.30
SFO,2020-05-09 03:25,M,M,M,12.65
BUR,2020-05-09 03:30,M,M,M,5.75
FAT,2020-05-09 03:30,M,M,M,0.00
SFO,2020-05-09 03:30,M,M,M,12.65
BUR,2020-05-09 03:35,M,M,M,5.75
FAT,2020-05-09 03:35,M,M,M,0.00
SFO,2020-05-09 03:35,M,M,M,11.50
BUR,2020-05-09 03:40,M,M,M,4.60
FAT,2020-05-09 03:40,M,M,M,0.00
SFO,2020-05-09 03:40,M,M,M,12.65
BUR,2020-05-09 03:45,M,M,M,4.60
FAT,2020-05-09 03:45,M,M,M,0.00
SFO,2020-05-09 03:45,M,M,M,12.65
BUR,2020-05-09 03:50,M,M,M,4.60
FAT,2020-05-09 03:50,M,M,M,2.30
SFO,2020-05-09 03:50,M,M,M,10.35
BUR,2020-05-09 03:53,17.22,14.39,83.42,3.45
FAT,2020-05-09 03:53,20.61,10.00,50.56,3.45
BUR,2020-05-09 03:55,M,M,M,4.60
FAT,2020-05-09 03:55,M,M,M,0.00
SFO,2020-05-09 03:55,M,M,M,10.35
SFO,2020-05-09 03:56,10.00,9.39,95.98,10.35
BUR,2020-05-09 04:00,M,M,M,4.60
FAT,2020-05-09 04:00,M,M,M,0.00
SFO,2020-05-09 04:00,M,M,M,10.35
BUR,2020-05-09 04:05,M,M,M,4.60
FAT,2020-05-09 04:05,M,M,M,0.00
SFO,2020-05-09 04:05,M,M,M,9.20
BUR,2020-05-09 04:10,M,M,M,4.60
FAT,2020-05-09 04:10,M,M,M,0.00
SFO,2020-05-09 04:10,M,M,M,10.35
BUR,2020-05-09 04:15,M,M,M,4.60
FAT,2020-05-09 04:15,M,M,M,0.00
SFO,2020-05-09 04:15,M,M,M,9.20
BUR,2020-05-09 04:20,M,M,M,2.30
FAT,2020-05-09 04:20,M,M,M,0.00
SFO,2020-05-09 04:20,M,M,M,9.20
BUR,2020-05-09 04:25,M,M,M,2.30
FAT,2020-05-09 04:25,M,M,M,2.30
SFO,2020-05-09 04:25,M,M,M,9.20
BUR,2020-05-09 04:30,M,M,M,2.30
FAT,2020-05-09 04:30,M,M,M,0.00
SFO,2020-05-09 04:30,M,M,M,9.20
BUR,2020-05-09 04:35,M,M,M,2.30
FAT,2020-05-09 04:35,M,M,M,0.00
SFO,2020-05-09 04:35,M,M,M,9.20
BUR,2020-05-09 04:40,M,M,M,4.60
FAT,2020-05-09 04:40,M,M,M,0.00
