station,valid,tmpc,dwpc,relh,sped
DSM,2020-12-19 10:54,-3.28,-5.61,83.89,10.35
OZW,2020-12-19 10:55,0.78,-1.11,87.17,8.05
MSP,2020-12-19 11:01,-3.28,-5.00,87.87,8.05
LIT,2020-12-19 11:12,6.72,6.11,95.88,4.60
OZW,2020-12-19 11:15,1.00,-1.11,85.79,9.20
LIT,2020-12-19 11:23,7.22,6.11,92.65,4.60
OZW,2020-12-19 11:35,1.00,-1.00,86.49,4.60
SPI,2020-12-19 11:52,8.89,2.78,65.51,17.25
BTR,2020-12-19 11:53,18.89,9.39,54.01,10.35
LIT,2020-12-19 11:53,7.22,6.11,92.65,4.60
MSP,2020-12-19 11:53,-3.28,-5.61,83.89,5.75
DSM,2020-12-19 11:54,-3.28,-5.61,83.89,11.50
OZW,2020-12-19 11:55,1.11,-1.00,85.80,8.05
OZW,2020-12-19 12:15,1.22,-0.89,85.81,6.90
LIT,2020-12-19 12:28,7.78,6.72,93.03,3.45
DSM,2020-12-19 12:29,-3.28,-5.61,83.89,11.50
OZW,2020-12-19 12:35,1.22,-0.72,86.87,6.90
SPI,2020-12-19 12:52,8.28,2.22,65.63,13.80
BTR,2020-12-19 12:53,20.61,10.00,50.56,14.95
LIT,2020-12-19 12:53,7.78,6.72,93.03,0.00
MSP,2020-12-19 12:53,-2.78,-5.61,80.83,5.75
DSM,2020-12-19 12:54,-2.78,-5.61,80.83,10.35
OZW,2020-12-19 12:55,1.28,-0.50,87.93,5.75
OZW,2020-12-19 13:15,1.50,-0.50,86.54,5.75
SPI,2020-12-19 13:16,7.78,2.22,67.90,14.95
OZW,2020-12-19 13:35,1.61,-0.28,87.26,6.90
DSM,2020-12-19 13:42,-2.22,-6.11,74.67,4.60
SPI,2020-12-19 13:52,7.22,2.22,70.53,16.10
BTR,2020-12-19 13:53,21.11,10.61,51.07,16.10
LIT,2020-12-19 13:53,8.28,7.22,93.06,5.75
MSP,2020-12-19 13:53,-2.78,-5.61,80.83,5.75
DSM,2020-12-19 13:54,-2.22,-7.78,65.69,9.20
OZW,2020-12-19 13:55,1.72,-0.28,86.56,8.05
OZW,2020-12-19 14:15,1.61,-0.28,87.26,6.90
OZW,2020-12-19 14:35,1.72,-0.39,85.87,8.05
LIT,2020-12-19 14:47,8.00,7.00,93.40,0.00
SPI,2020-12-19 14:52,5.00,1.72,79.34,12.65
BTR,2020-12-19 14:53,19.39,10.61,56.82,10.35
LIT,2020-12-19 14:53,8.28,7.22,93.06,0.00
MSP,2020-12-19 14:53,-3.28,-5.61,83.89,8.05
DSM,2020-12-19 14:54,-1.72,-7.22,66.08,9.20
OZW,2020-12-19 14:55,1.78,-0.11,87.27,6.90
SPI,2020-12-19 15:05,3.89,1.11,82.08,11.50
OZW,2020-12-19 15:15,1.89,-0.22,85.89,6.90
SPI,2020-12-19 15:16,3.28,1.11,85.69,9.20
OZW,2020-12-19 15:35,1.78,-0.11,87.27,8.05
SPI,2020-12-19 15:52,2.78,0.61,85.64,6.90
BTR,2020-12-19 15:53,16.11,12.22,77.72,8.05
LIT,2020-12-19 15:53,8.28,7.22,93.06,9.20
MSP,2020-12-19 15:53,-3.89,-6.11,84.53,8.05
