station,valid,tmpc,dwpc,relh,sped
HIE,2021-11-27 00:00,M,M,M,5.75
BOS,2021-11-27 00:00,M,M,M,16.10
HIE,2021-11-27 00:05,M,M,M,8.05
BOS,2021-11-27 00:05,M,M,M,18.40
BOS,2021-11-27 00:10,M,M,M,20.70
HIE,2021-11-27 00:10,M,M,M,8.05
HIE,2021-11-27 00:13,-1.11,-1.72,95.61,10.35
BOS,2021-11-27 00:15,M,M,M,19.55
HIE,2021-11-27 00:15,M,M,M,10.35
BOS,2021-11-27 00:20,M,M,M,19.55
HIE,2021-11-27 00:20,M,M,M,10.35
HIE,2021-11-27 00:22,-1.11,-2.22,92.15,9.20
BOS,2021-11-27 00:23,1.72,-0.61,84.49,17.25
BOS,2021-11-27 00:25,M,M,M,20.70
HIE,2021-11-27 00:25,M,M,M,5.75
BOS,2021-11-27 00:30,M,M,M,21.85
HIE,2021-11-27 00:30,M,M,M,5.75
HIE,2021-11-27 00:34,-1.11,-2.22,92.15,6.90
BOS,2021-11-27 00:35,M,M,M,19.55
BOS,2021-11-27 00:40,M,M,M,21.85
HIE,2021-11-27 00:40,M,M,M,8.05
HIE,2021-11-27 00:45,M,M,M,5.75
BOS,2021-11-27 00:45,M,M,M,18.40
HIE,2021-11-27 00:50,M,M,M,5.75
BOS,2021-11-27 00:50,M,M,M,21.85
HIE,2021-11-27 00:52,-1.11,-2.22,92.15,6.90
BOS,2021-11-27 00:54,1.72,-1.11,81.46,23.00
BOS,2021-11-27 00:55,M,M,M,19.55
BOS,2021-11-27 01:00,M,M,M,19.55
HIE,2021-11-27 01:00,M,M,M,5.75
HIE,2021-11-27 01:05,M,M,M,10.35
BOS,2021-11-27 01:05,M,M,M,23.00
HIE,2021-11-27 01:07,-1.11,-2.22,92.15,10.35
BOS,2021-11-27 01:10,M,M,M,21.85
HIE,2021-11-27 01:10,M,M,M,4.60
HIE,2021-11-27 01:15,M,M,M,8.05
BOS,2021-11-27 01:15,M,M,M,23.00
HIE,2021-11-27 01:18,-1.11,-2.22,92.15,5.75
BOS,2021-11-27 01:20,M,M,M,25.30
HIE,2021-11-27 01:20,M,M,M,9.20
BOS,2021-11-27 01:23,2.22,-1.72,75.15,23.00
HIE,2021-11-27 01:25,M,M,M,10.35
BOS,2021-11-27 01:25,M,M,M,23.00
BOS,2021-11-27 01:30,M,M,M,16.10
BOS,2021-11-27 01:35,M,M,M,20.70
HIE,2021-11-27 01:35,M,M,M,9.20
HIE,2021-11-27 01:37,-1.11,-2.78,88.44,6.90
HIE,2021-11-27 01:40,M,M,M,5.75
BOS,2021-11-27 01:40,M,M,M,19.55
