station,valid,tmpc,dwpc,relh,sped
BTR,2021-06-15 00:00,M,M,M,0.00
SPI,2021-06-15 00:00,M,M,M,0.00
LIT,2021-06-15 00:00,M,M,M,2.30
DSM,2021-06-15 00:00,M,M,M,2.30
MSP,2021-06-15 00:00,M,M,M,10.35
BTR,2021-06-15 00:05,M,M,M,4.60
SPI,2021-06-15 00:05,M,M,M,0.00
LIT,2021-06-15 00:05,M,M,M,4.60
DSM,2021-06-15 00:05,M,M,M,2.30
MSP,2021-06-15 00:05,M,M,M,9.20
BTR,2021-06-15 00:10,M,M,M,2.30
SPI,2021-06-15 00:10,M,M,M,0.00
LIT,2021-06-15 00:10,M,M,M,4.60
DSM,2021-06-15 00:10,M,M,M,0.00
MSP,2021-06-15 00:10,M,M,M,9.20
OZW,2021-06-15 00:15,14.61,13.11,90.72,3.45
BTR,2021-06-15 00:15,M,M,M,0.00
SPI,2021-06-15 00:15,M,M,M,0.00
LIT,2021-06-15 00:15,M,M,M,4.60
DSM,2021-06-15 00:15,M,M,M,4.60
MSP,2021-06-15 00:15,M,M,M,9.20
BTR,2021-06-15 00:20,M,M,M,0.00
SPI,2021-06-15 00:20,M,M,M,0.00
LIT,2021-06-15 00:20,M,M,M,4.60
DSM,2021-06-15 00:20,M,M,M,5.75
MSP,2021-06-15 00:20,M,M,M,9.20
BTR,2021-06-15 00:25,M,M,M,0.00
SPI,2021-06-15 00:25,M,M,M,0.00
LIT,2021-06-15 00:25,M,M,M,2.30
DSM,2021-06-15 00:25,M,M,M,4.60
MSP,2021-06-15 00:25,M,M,M,10.35
BTR,2021-06-15 00:30,M,M,M,0.00
SPI,2021-06-15 00:30,M,M,M,0.00
LIT,2021-06-15 00:30,M,M,M,2.30
DSM,2021-06-15 00:30,M,M,M,4.60
MSP,2021-06-15 00:30,M,M,M,10.35
OZW,2021-06-15 00:35,14.11,12.72,91.34,3.45
BTR,2021-06-15 00:35,M,M,M,0.00
SPI,2021-06-15 00:35,M,M,M,0.00
LIT,2021-06-15 00:35,M,M,M,2.30
DSM,2021-06-15 00:35,M,M,M,8.05
MSP,2021-06-15 00:35,M,M,M,10.35
BTR,2021-06-15 00:40,M,M,M,0.00
SPI,2021-06-15 00:40,M,M,M,0.00
