station,valid,tmpc,dwpc,relh,sped
DAL,2020-06-29 00:00,M,M,M,12.65
HOU,2020-06-29 00:00,M,M,M,12.65
DAL,2020-06-29 00:05,M,M,M,14.95
HOU,2020-06-29 00:05,M,M,M,11.50
DAL,2020-06-29 00:10,M,M,M,12.65
HOU,2020-06-29 00:10,M,M,M,12.65
DAL,2020-06-29 00:15,M,M,M,12.65
HOU,2020-06-29 00:15,M,M,M,12.65
CVB,2020-06-29 00:15,28.11,23.78,77.35,M
DAL,2020-06-29 00:20,M,M,M,16.10
HOU,2020-06-29 00:20,M,M,M,14.95
DAL,2020-06-29 00:25,M,M,M,16.10
HOU,2020-06-29 00:25,M,M,M,12.65
DAL,2020-06-29 00:30,M,M,M,12.65
HOU,2020-06-29 00:30,M,M,M,12.65
DAL,2020-06-29 00:35,M,M,M,12.65
HOU,2020-06-29 00:35,M,M,M,12.65
CVB,2020-06-29 00:35,28.00,24.00,78.90,M
DAL,2020-06-29 00:40,M,M,M,16.10
HOU,2020-06-29 00:40,M,M,M,12.65
DAL,2020-06-29 00:45,M,M,M,11.50
HOU,2020-06-29 00:45,M,M,M,12.65
DAL,2020-06-29 00:50,M,M,M,14.95
HOU,2020-06-29 00:50,M,M,M,10.35
DAL,2020-06-29 00:53,27.22,21.72,71.92,12.65
HOU,2020-06-29 00:53,28.28,25.00,82.43,12.65
DAL,2020-06-29 00:55,M,M,M,12.65
HOU,2020-06-29 00:55,M,M,M,12.65
CVB,2020-06-29 00:55,27.78,24.00,79.93,M
DAL,2020-06-29 01:00,M,M,M,12.65
HOU,2020-06-29 01:00,M,M,M,11.50
DAL,2020-06-29 01:05,M,M,M,12.65
HOU,2020-06-29 01:05,M,M,M,12.65
DAL,2020-06-29 01:10,M,M,M,18.40
HOU,2020-06-29 01:10,M,M,M,11.50
DAL,2020-06-29 01:15,M,M,M,16.10
HOU,2020-06-29 01:15,M,M,M,12.65
CVB,2020-06-29 01:15,27.78,24.00,79.93,M
DAL,2020-06-29 01:20,M,M,M,14.95
HOU,2020-06-29 01:20,M,M,M,12.65
DAL,2020-06-29 01:25,M,M,M,12.65
HOU,2020-06-29 01:25,M,M,M,12.65
DAL,2020-06-29 01:30,M,M,M,12.65
HOU,2020-06-29 01:30,M,M,M,12.65
DAL,2020-06-29 01:35,M,M,M,12.65
HOU,2020-06-29 01:35,M,M,M,12.65
CVB,2020-06-29 01:35,27.72,24.00,80.19,M
DAL,2020-06-29 01:40,M,M,M,12.65
HOU,2020-06-29 01:40,M,M,M,12.65
DAL,2020-06-29 01:45,M,M,M,12.65
HOU,2020-06-29 01:45,M,M,M,14.95
DAL,2020-06-29 01:50,M,M,M,11.50
HOU,2020-06-29 01:50,M,M,M,12.65
DAL,2020-06-29 01:53,27.22,21.72,71.92,14.95
HOU,2020-06-29 01:53,28.28,25.00,82.43,12.65
DAL,2020-06-29 01:55,M,M,M,11.50
HOU,2020-06-29 01:55,M,M,M,12.65
CVB,2020-06-29 01:55,27.72,24.00,80.19,M
DAL,2020-06-29 02:00,M,M,M,12.65
HOU,2020-06-29 02:00,M,M,M,10.35
DAL,2020-06-29 02:05,M,M,M,14.95
HOU,2020-06-29 02:05,M,M,M,11.50
DAL,2020-06-29 02:10,M,M,M,12.65
HOU,2020-06-29 02:10,M,M,M,10.35
DAL,2020-06-29 02:15,M,M,M,12.65
HOU,2020-06-29 02:15,M,M,M,11.50
CVB,2020-06-29 02:15,27.72,23.89,79.66,M
HOU,2020-06-29 02:17,28.28,25.00,82.43,12.65
DAL,2020-06-29 02:20,M,M,M,11.50
HOU,2020-06-29 02:20,M,M,M,11.50
DAL,2020-06-29 02:25,M,M,M,10.35
HOU,2020-06-29 02:25,M,M,M,12.65
DAL,2020-06-29 02:30,M,M,M,12.65
HOU,2020-06-29 02:30,M,M,M,12.65
DAL,2020-06-29 02:35,M,M,M,11.50
HOU,2020-06-29 02:35,M,M,M,9.20
CVB,2020-06-29 02:35,27.61,23.78,79.64,M
DAL,2020-06-29 02:40,M,M,M,12.65
HOU,2020-06-29 02:40,M,M,M,9.20
DAL,2020-06-29 02:45,M,M,M,12.65
HOU,2020-06-29 02:45,M,M,M,10.35
DAL,2020-06-29 02:50,M,M,M,16.10
HOU,2020-06-29 02:50,M,M,M,10.35
CVB,2020-06-29 02:50,27.61,23.72,79.38,M
DAL,2020-06-29 02:53,27.22,21.72,71.92,13.80
HOU,2020-06-29 02:53,28.28,25.00,82.43,9.20
DAL,2020-06-29 02:55,M,M,M,12.65
HOU,2020-06-29 02:55,M,M,M,10.35
DAL,2020-06-29 03:00,M,M,M,14.95
HOU,2020-06-29 03:00,M,M,M,9.20
DAL,2020-06-29 03:05,M,M,M,14.95
HOU,2020-06-29 03:05,M,M,M,9.20
DAL,2020-06-29 03:10,M,M,M,12.65
HOU,2020-06-29 03:10,M,M,M,9.20
DAL,2020-06-29 03:15,M,M,M,12.65
HOU,2020-06-29 03:15,M,M,M,10.35
CVB,2020-06-29 03:15,27.50,23.72,79.90,M
DAL,2020-06-29 03:20,M,M,M,17.25
HOU,2020-06-29 03:20,M,M,M,11.50
DAL,2020-06-29 03:25,M,M,M,16.10
HOU,2020-06-29 03:25,M,M,M,11.50
DAL,2020-06-29 03:30,M,M,M,12.65
HOU,2020-06-29 03:30,M,M,M,12.65
DAL,2020-06-29 03:35,M,M,M,12.65
HOU,2020-06-29 03:35,M,M,M,9.20
CVB,2020-06-29 03:35,27.50,23.78,80.16,M
DAL,2020-06-29 03:40,M,M,M,12.65
HOU,2020-06-29 03:40,M,M,M,9.20
DAL,2020-06-29 03:45,M,M,M,16.10
HOU,2020-06-29 03:45,M,M,M,9.20
DAL,2020-06-29 03:50,M,M,M,14.95
HOU,2020-06-29 03:50,M,M,M,11.50
DAL,2020-06-29 03:53,27.22,21.72,71.92,16.10
HOU,2020-06-29 03:53,28.28,25.00,82.43,12.65
DAL,2020-06-29 03:55,M,M,M,10.35
HOU,2020-06-29 03:55,M,M,M,10.35
CVB,2020-06-29 03:55,27.11,23.72,81.74,M
DAL,2020-06-29 04:00,M,M,M,10.35
HOU,2020-06-29 04:00,M,M,M,11.50
DAL,2020-06-29 04:05,M,M,M,11.50
HOU,2020-06-29 04:05,M,M,M,11.50
DAL,2020-06-29 04:10,M,M,M,16.10
HOU,2020-06-29 04:10,M,M,M,8.05
DAL,2020-06-29 04:15,M,M,M,14.95
HOU,2020-06-29 04:15,M,M,M,11.50
CVB,2020-06-29 04:15,27.00,23.78,82.55,M
DAL,2020-06-29 04:20,M,M,M,12.65
HOU,2020-06-29 04:20,M,M,M,10.35
DAL,2020-06-29 04:25,M,M,M,14.95
HOU,2020-06-29 04:25,M,M,M,12.65
HOU,2020-06-29 04:26,28.28,25.00,82.43,12.65
DAL,2020-06-29 04:30,M,M,M,16.10
HOU,2020-06-29 04:30,M,M,M,12.65
DAL,2020-06-29 04:35,M,M,M,12.65
HOU,2020-06-29 04:35,M,M,M,10.35
CVB,2020-06-29 04:35,26.72,23.61,83.07,M
DAL,2020-06-29 04:40,M,M,M,9.20
HOU,2020-06-29 04:40,M,M,M,10.35
DAL,2020-06-29 04:45,M,M,M,12.65
HOU,2020-06-29 04:45,M,M,M,10.35
DAL,2020-06-29 04:50,M,M,M,11.50
HOU,2020-06-29 04:50,M,M,M,9.20
DAL,2020-06-29 04:53,27.22,22.22,74.15,13.80
HOU,2020-06-29 04:53,28.28,25.00,82.43,8.05
DAL,2020-06-29 04:55,M,M,M,12.65
HOU,2020-06-29 04:55,M,M,M,10.35
CVB,2020-06-29 04:55,26.50,23.61,84.17,M
DAL,2020-06-29 05:00,M,M,M,12.65
HOU,2020-06-29 05:00,M,M,M,12.65
DAL,2020-06-29 05:05,M,M,M,12.65
HOU,2020-06-29 05:05,M,M,M,11.50
DAL,2020-06-29 05:10,M,M,M,12.65
HOU,2020-06-29 05:10,M,M,M,10.35
DAL,2020-06-29 05:15,M,M,M,12.65
HOU,2020-06-29 05:15,M,M,M,10.35
CVB,2020-06-29 05:15,26.50,23.78,85.02,M
DAL,2020-06-29 05:20,M,M,M,12.65
HOU,2020-06-29 05:20,M,M,M,10.35
DAL,2020-06-29 05:25,M,M,M,12.65
HOU,2020-06-29 05:25,M,M,M,11.50
DAL,2020-06-29 05:30,M,M,M,12.65
HOU,2020-06-29 05:30,M,M,M,11.50
DAL,2020-06-29 05:35,M,M,M,10.35
HOU,2020-06-29 05:35,M,M,M,8.05
CVB,2020-06-29 05:35,26.28,24.00,87.30,M
DAL,2020-06-29 05:40,M,M,M,12.65
HOU,2020-06-29 05:40,M,M,M,9.20
DAL,2020-06-29 05:45,M,M,M,12.65
HOU,2020-06-29 05:45,M,M,M,9.20
DAL,2020-06-29 05:50,M,M,M,12.65
HOU,2020-06-29 05:50,M,M,M,12.65
DAL,2020-06-29 05:53,27.22,22.22,74.15,13.80
HOU,2020-06-29 05:53,28.28,25.00,82.43,11.50
DAL,2020-06-29 05:55,M,M,M,12.65
HOU,2020-06-29 05:55,M,M,M,9.20
CVB,2020-06-29 05:55,26.11,24.28,89.65,M
DAL,2020-06-29 06:00,M,M,M,12.65
HOU,2020-06-29 06:00,M,M,M,10.35
DAL,2020-06-29 06:05,M,M,M,14.95
HOU,2020-06-29 06:05,M,M,M,10.35
DAL,2020-06-29 06:10,M,M,M,10.35
HOU,2020-06-29 06:10,M,M,M,10.35
DAL,2020-06-29 06:15,M,M,M,12.65
HOU,2020-06-29 06:15,M,M,M,11.50
CVB,2020-06-29 06:15,26.00,24.28,90.24,M
DAL,2020-06-29 06:20,M,M,M,14.95
HOU,2020-06-29 06:20,M,M,M,12.65
DAL,2020-06-29 06:25,M,M,M,12.65
HOU,2020-06-29 06:25,M,M,M,10.35
DAL,2020-06-29 06:30,M,M,M,12.65
HOU,2020-06-29 06:30,M,M,M,9.20
DAL,2020-06-29 06:35,M,M,M,12.65
HOU,2020-06-29 06:35,M,M,M,10.35
CVB,2020-06-29 06:35,25.78,24.28,91.44,M
DAL,2020-06-29 06:40,M,M,M,11.50
HOU,2020-06-29 06:40,M,M,M,12.65
DAL,2020-06-29 06:45,M,M,M,12.65
HOU,2020-06-29 06:45,M,M,M,11.50
DAL,2020-06-29 06:50,M,M,M,14.95
HOU,2020-06-29 06:50,M,M,M,11.50
DAL,2020-06-29 06:53,27.22,22.22,74.15,12.65
HOU,2020-06-29 06:53,28.28,24.39,79.47,9.20
DAL,2020-06-29 06:55,M,M,M,11.50
HOU,2020-06-29 06:55,M,M,M,10.35
CVB,2020-06-29 06:55,25.72,24.28,91.74,M
DAL,2020-06-29 07:00,M,M,M,11.50
HOU,2020-06-29 07:00,M,M,M,11.50
DAL,2020-06-29 07:05,M,M,M,12.65
HOU,2020-06-29 07:05,M,M,M,11.50
DAL,2020-06-29 07:10,M,M,M,14.95
HOU,2020-06-29 07:10,M,M,M,11.50
DAL,2020-06-29 07:15,M,M,M,11.50
HOU,2020-06-29 07:15,M,M,M,10.35
CVB,2020-06-29 07:15,25.78,24.28,91.44,M
DAL,2020-06-29 07:20,M,M,M,12.65
HOU,2020-06-29 07:20,M,M,M,10.35
DAL,2020-06-29 07:25,M,M,M,12.65
HOU,2020-06-29 07:25,M,M,M,12.65
DAL,2020-06-29 07:30,M,M,M,12.65
HOU,2020-06-29 07:30,M,M,M,12.65
DAL,2020-06-29 07:35,M,M,M,12.65
HOU,2020-06-29 07:35,M,M,M,11.50
CVB,2020-06-29 07:35,26.00,24.50,91.45,M
DAL,2020-06-29 07:40,M,M,M,14.95
HOU,2020-06-29 07:40,M,M,M,12.65
DAL,2020-06-29 07:45,M,M,M,12.65
HOU,2020-06-29 07:45,M,M,M,12.65
DAL,2020-06-29 07:50,M,M,M,12.65
HOU,2020-06-29 07:50,M,M,M,12.65
DAL,2020-06-29 07:53,27.22,22.22,74.15,10.35
HOU,2020-06-29 07:53,28.89,24.39,76.69,12.65
DAL,2020-06-29 07:55,M,M,M,12.65
HOU,2020-06-29 07:55,M,M,M,10.35
CVB,2020-06-29 07:55,26.28,24.28,88.77,M
DAL,2020-06-29 08:00,M,M,M,12.65
HOU,2020-06-29 08:00,M,M,M,12.65
DAL,2020-06-29 08:05,M,M,M,14.95
HOU,2020-06-29 08:05,M,M,M,12.65
DAL,2020-06-29 08:10,M,M,M,16.10
HOU,2020-06-29 08:10,M,M,M,11.50
DAL,2020-06-29 08:15,M,M,M,12.65
HOU,2020-06-29 08:15,M,M,M,12.65
CVB,2020-06-29 08:15,26.61,24.00,85.60,M
DAL,2020-06-29 08:20,M,M,M,12.65
HOU,2020-06-29 08:20,M,M,M,16.10
DAL,2020-06-29 08:25,M,M,M,14.95
HOU,2020-06-29 08:25,M,M,M,14.95
DAL,2020-06-29 08:30,M,M,M,14.95
HOU,2020-06-29 08:30,M,M,M,12.65
DAL,2020-06-29 08:35,M,M,M,17.25
HOU,2020-06-29 08:35,M,M,M,12.65
CVB,2020-06-29 08:35,26.78,23.50,82.25,M
DAL,2020-06-29 08:40,M,M,M,12.65
HOU,2020-06-29 08:40,M,M,M,11.50
DAL,2020-06-29 08:45,M,M,M,16.10
HOU,2020-06-29 08:45,M,M,M,12.65
DAL,2020-06-29 08:50,M,M,M,12.65
HOU,2020-06-29 08:50,M,M,M,12.65
DAL,2020-06-29 08:53,27.78,22.22,71.78,13.80
HOU,2020-06-29 08:53,29.39,24.39,74.51,16.10
DAL,2020-06-29 08:55,M,M,M,12.65
HOU,2020-06-29 08:55,M,M,M,12.65
CVB,2020-06-29 08:55,27.11,23.00,78.25,M
DAL,2020-06-29 09:00,M,M,M,14.95
HOU,2020-06-29 09:00,M,M,M,14.95
DAL,2020-06-29 09:05,M,M,M,12.65
HOU,2020-06-29 09:05,M,M,M,12.65
DAL,2020-06-29 09:10,M,M,M,17.25
HOU,2020-06-29 09:10,M,M,M,11.50
DAL,2020-06-29 09:15,M,M,M,12.65
HOU,2020-06-29 09:15,M,M,M,14.95
CVB,2020-06-29 09:15,27.50,22.61,74.70,M
DAL,2020-06-29 09:20,M,M,M,14.95
HOU,2020-06-29 09:20,M,M,M,12.65
DAL,2020-06-29 09:25,M,M,M,18.40
HOU,2020-06-29 09:25,M,M,M,11.50
DAL,2020-06-29 09:30,M,M,M,12.65
HOU,2020-06-29 09:30,M,M,M,12.65
DAL,2020-06-29 09:35,M,M,M,16.10
HOU,2020-06-29 09:35,M,M,M,12.65
CVB,2020-06-29 09:35,27.61,22.61,74.22,M
DAL,2020-06-29 09:40,M,M,M,17.25
HOU,2020-06-29 09:40,M,M,M,14.95
DAL,2020-06-29 09:45,M,M,M,14.95
HOU,2020-06-29 09:45,M,M,M,12.65
DAL,2020-06-29 09:50,M,M,M,14.95
HOU,2020-06-29 09:50,M,M,M,11.50
DAL,2020-06-29 09:53,28.28,21.72,67.62,14.95
HOU,2020-06-29 09:53,30.00,24.39,71.93,13.80
DAL,2020-06-29 09:55,M,M,M,16.10
HOU,2020-06-29 09:55,M,M,M,12.65
CVB,2020-06-29 09:55,27.78,22.39,72.51,M
DAL,2020-06-29 10:00,M,M,M,17.25
HOU,2020-06-29 10:00,M,M,M,14.95
DAL,2020-06-29 10:05,M,M,M,17.25
HOU,2020-06-29 10:05,M,M,M,12.65
DAL,2020-06-29 10:10,M,M,M,18.40
HOU,2020-06-29 10:10,M,M,M,14.95
DAL,2020-06-29 10:15,M,M,M,12.65
HOU,2020-06-29 10:15,M,M,M,12.65
CVB,2020-06-29 10:15,28.00,22.22,70.85,M
DAL,2020-06-29 10:20,M,M,M,18.40
HOU,2020-06-29 10:20,M,M,M,14.95
DAL,2020-06-29 10:25,M,M,M,12.65
HOU,2020-06-29 10:25,M,M,M,18.40
DAL,2020-06-29 10:30,M,M,M,18.40
HOU,2020-06-29 10:30,M,M,M,17.25
DAL,2020-06-29 10:35,M,M,M,14.95
HOU,2020-06-29 10:35,M,M,M,19.55
CVB,2020-06-29 10:35,28.50,22.22,68.82,M
DAL,2020-06-29 10:40,M,M,M,16.10
HOU,2020-06-29 10:40,M,M,M,18.40
DAL,2020-06-29 10:45,M,M,M,17.25
HOU,2020-06-29 10:45,M,M,M,18.40
DAL,2020-06-29 10:50,M,M,M,16.10
HOU,2020-06-29 10:50,M,M,M,16.10
DAL,2020-06-29 10:53,29.39,21.72,63.40,13.80
HOU,2020-06-29 10:53,31.11,23.89,65.49,13.80
DAL,2020-06-29 10:55,M,M,M,14.95
HOU,2020-06-29 10:55,M,M,M,14.95
CVB,2020-06-29 10:55,28.61,22.22,68.37,M
DAL,2020-06-29 11:00,M,M,M,12.65
HOU,2020-06-29 11:00,M,M,M,17.25
DAL,2020-06-29 11:05,M,M,M,21.85
HOU,2020-06-29 11:05,M,M,M,17.25
DAL,2020-06-29 11:10,M,M,M,19.55
HOU,2020-06-29 11:10,M,M,M,17.25
DAL,2020-06-29 11:15,M,M,M,12.65
HOU,2020-06-29 11:15,M,M,M,17.25
CVB,2020-06-29 11:15,29.50,22.28,65.16,M
DAL,2020-06-29 11:20,M,M,M,12.65
HOU,2020-06-29 11:20,M,M,M,18.40
DAL,2020-06-29 11:25,M,M,M,16.10
HOU,2020-06-29 11:25,M,M,M,16.10
DAL,2020-06-29 11:30,M,M,M,16.10
HOU,2020-06-29 11:30,M,M,M,12.65
DAL,2020-06-29 11:35,M,M,M,12.65
HOU,2020-06-29 11:35,M,M,M,16.10
CVB,2020-06-29 11:35,30.39,22.11,61.29,M
DAL,2020-06-29 11:39,30.61,21.11,56.92,18.40
DAL,2020-06-29 11:40,M,M,M,18.40
HOU,2020-06-29 11:40,M,M,M,16.10
DAL,2020-06-29 11:45,M,M,M,18.40
HOU,2020-06-29 11:45,M,M,M,16.10
DAL,2020-06-29 11:50,M,M,M,16.10
HOU,2020-06-29 11:50,M,M,M,16.10
DAL,2020-06-29 11:53,31.11,21.11,55.32,16.10
HOU,2020-06-29 11:53,31.72,23.89,63.26,17.25
DAL,2020-06-29 11:55,M,M,M,18.40
HOU,2020-06-29 11:55,M,M,M,12.65
CVB,2020-06-29 11:55,30.61,21.72,59.09,M
DAL,2020-06-29 12:00,M,M,M,14.95
HOU,2020-06-29 12:00,M,M,M,16.10
DAL,2020-06-29 12:05,M,M,M,14.95
HOU,2020-06-29 12:05,M,M,M,18.40
DAL,2020-06-29 12:10,M,M,M,19.55
HOU,2020-06-29 12:10,M,M,M,18.40
CVB,2020-06-29 12:10,30.72,21.78,58.92,M
DAL,2020-06-29 12:15,M,M,M,21.85
HOU,2020-06-29 12:15,M,M,M,18.40
DAL,2020-06-29 12:20,M,M,M,17.25
HOU,2020-06-29 12:20,M,M,M,19.55
DAL,2020-06-29 12:25,M,M,M,16.10
HOU,2020-06-29 12:25,M,M,M,20.70
DAL,2020-06-29 12:30,M,M,M,16.10
HOU,2020-06-29 12:30,M,M,M,16.10
DAL,2020-06-29 12:35,M,M,M,11.50
HOU,2020-06-29 12:35,M,M,M,16.10
CVB,2020-06-29 12:35,30.78,21.78,58.73,M
DAL,2020-06-29 12:40,M,M,M,14.95
HOU,2020-06-29 12:40,M,M,M,14.95
DAL,2020-06-29 12:45,M,M,M,19.55
HOU,2020-06-29 12:45,M,M,M,20.70
DAL,2020-06-29 12:50,M,M,M,17.25
HOU,2020-06-29 12:50,M,M,M,19.55
DAL,2020-06-29 12:53,32.78,21.11,50.33,20.70
HOU,2020-06-29 12:53,32.22,23.28,59.26,14.95
