station,valid,tmpc,dwpc,relh,sped
HIE,2020-11-19 18:52,-3.28,-7.78,71.04,0.00
HIE,2020-11-19 19:52,-4.39,-7.22,80.59,0.00
BOS,2020-11-19 19:54,5.61,0.00,67.17,17.25
HIE,2020-11-19 20:52,-5.00,-7.22,84.39,0.00
BOS,2020-11-19 20:54,6.11,1.11,70.30,20.70
HIE,2020-11-19 21:35,M,M,M,0.00
BOS,2020-11-19 21:35,M,M,M,16.10
HIE,2020-11-19 21:40,M,M,M,0.00
BOS,2020-11-19 21:40,M,M,M,16.10
HIE,2020-11-19 21:45,M,M,M,0.00
BOS,2020-11-19 21:45,M,M,M,19.55
BOS,2020-11-19 21:50,M,M,M,14.95
HIE,2020-11-19 21:52,-5.61,-7.22,88.40,0.00
BOS,2020-11-19 21:54,6.72,2.22,72.99,18.40
HIE,2020-11-19 21:55,M,M,M,0.00
BOS,2020-11-19 21:55,M,M,M,19.55
HIE,2020-11-19 22:52,-5.61,-7.22,88.40,0.00
BOS,2020-11-19 22:54,6.72,1.72,70.43,14.95
HIE,2020-11-19 23:52,-5.00,-6.72,87.70,0.00
BOS,2020-11-19 23:54,7.22,0.00,60.11,19.55
