station,valid,tmpc,dwpc,relh,sped
HIE,2021-06-03 00:00,M,M,M,0.00
BOS,2021-06-03 00:00,M,M,M,11.50
HIE,2021-06-03 00:05,M,M,M,0.00
BOS,2021-06-03 00:05,M,M,M,11.50
HIE,2021-06-03 00:10,M,M,M,0.00
BOS,2021-06-03 00:10,M,M,M,11.50
HIE,2021-06-03 00:20,M,M,M,0.00
BOS,2021-06-03 00:20,M,M,M,10.35
HIE,2021-06-03 00:25,M,M,M,0.00
HIE,2021-06-03 00:30,M,M,M,0.00
BOS,2021-06-03 00:30,M,M,M,11.50
HIE,2021-06-03 00:35,M,M,M,0.00
BOS,2021-06-03 00:35,M,M,M,9.20
HIE,2021-06-03 00:40,M,M,M,0.00
BOS,2021-06-03 00:40,M,M,M,9.20
HIE,2021-06-03 00:45,M,M,M,0.00
BOS,2021-06-03 00:45,M,M,M,9.20
HIE,2021-06-03 00:50,M,M,M,0.00
BOS,2021-06-03 00:50,M,M,M,8.05
HIE,2021-06-03 00:52,13.28,11.72,90.29,0.00
BOS,2021-06-03 00:54,18.28,12.78,70.28,8.05
HIE,2021-06-03 00:55,M,M,M,0.00
BOS,2021-06-03 00:55,M,M,M,9.20
HIE,2021-06-03 01:00,M,M,M,2.30
BOS,2021-06-03 01:00,M,M,M,9.20
HIE,2021-06-03 01:05,M,M,M,0.00
BOS,2021-06-03 01:05,M,M,M,9.20
HIE,2021-06-03 01:10,M,M,M,0.00
BOS,2021-06-03 01:10,M,M,M,9.20
HIE,2021-06-03 01:15,M,M,M,0.00
BOS,2021-06-03 01:15,M,M,M,9.20
HIE,2021-06-03 01:20,M,M,M,0.00
BOS,2021-06-03 01:20,M,M,M,8.05
HIE,2021-06-03 01:25,M,M,M,0.00
BOS,2021-06-03 01:25,M,M,M,9.20
HIE,2021-06-03 01:30,M,M,M,0.00
BOS,2021-06-03 01:30,M,M,M,8.05
HIE,2021-06-03 01:35,M,M,M,0.00
BOS,2021-06-03 01:35,M,M,M,9.20
HIE,2021-06-03 01:45,M,M,M,0.00
BOS,2021-06-03 01:45,M,M,M,5.75
HIE,2021-06-03 01:50,M,M,M,0.00
BOS,2021-06-03 01:50,M,M,M,10.35
HIE,2021-06-03 01:52,13.28,12.22,93.32,0.00
BOS,2021-06-03 01:54,17.78,12.22,69.92,8.05
BOS,2021-06-03 01:55,M,M,M,5.75
HIE,2021-06-03 02:00,M,M,M,0.00
BOS,2021-06-03 02:00,M,M,M,5.75
HIE,2021-06-03 02:05,M,M,M,0.00
BOS,2021-06-03 02:05,M,M,M,5.75
HIE,2021-06-03 02:10,M,M,M,0.00
HIE,2021-06-03 02:15,M,M,M,0.00
BOS,2021-06-03 02:15,M,M,M,5.75
HIE,2021-06-03 02:20,M,M,M,0.00
BOS,2021-06-03 02:20,M,M,M,5.75
HIE,2021-06-03 02:25,M,M,M,0.00
BOS,2021-06-03 02:25,M,M,M,8.05
HIE,2021-06-03 02:30,M,M,M,0.00
BOS,2021-06-03 02:30,M,M,M,9.20
HIE,2021-06-03 02:35,M,M,M,0.00
BOS,2021-06-03 02:35,M,M,M,9.20
HIE,2021-06-03 02:40,M,M,M,0.00
BOS,2021-06-03 02:40,M,M,M,8.05
BOS,2021-06-03 02:50,M,M,M,8.05
HIE,2021-06-03 02:52,13.28,12.78,96.78,3.45
BOS,2021-06-03 02:54,16.72,11.72,72.33,6.90
HIE,2021-06-03 02:55,M,M,M,0.00
BOS,2021-06-03 02:55,M,M,M,8.05
HIE,2021-06-03 03:00,M,M,M,0.00
BOS,2021-06-03 03:00,M,M,M,8.05
HIE,2021-06-03 03:05,M,M,M,2.30
BOS,2021-06-03 03:05,M,M,M,5.75
HIE,2021-06-03 03:10,M,M,M,2.30
BOS,2021-06-03 03:10,M,M,M,8.05
HIE,2021-06-03 03:15,M,M,M,0.00
BOS,2021-06-03 03:15,M,M,M,5.75
HIE,2021-06-03 03:20,M,M,M,0.00
BOS,2021-06-03 03:20,M,M,M,5.75
HIE,2021-06-03 03:25,M,M,M,0.00
BOS,2021-06-03 03:25,M,M,M,8.05
HIE,2021-06-03 03:30,M,M,M,0.00
HIE,2021-06-03 03:35,M,M,M,0.00
BOS,2021-06-03 03:35,M,M,M,5.75
HIE,2021-06-03 03:45,M,M,M,0.00
BOS,2021-06-03 03:45,M,M,M,5.75
HIE,2021-06-03 03:50,M,M,M,0.00
HIE,2021-06-03 03:52,13.89,12.78,93.01,0.00
BOS,2021-06-03 03:54,16.11,11.72,75.20,5.75
HIE,2021-06-03 03:55,M,M,M,4.60
BOS,2021-06-03 03:55,M,M,M,5.75
HIE,2021-06-03 04:05,M,M,M,0.00
BOS,2021-06-03 04:05,M,M,M,5.75
HIE,2021-06-03 04:10,M,M,M,2.30
BOS,2021-06-03 04:10,M,M,M,5.75
HIE,2021-06-03 04:15,M,M,M,4.60
BOS,2021-06-03 04:15,M,M,M,2.30
HIE,2021-06-03 04:20,M,M,M,2.30
BOS,2021-06-03 04:20,M,M,M,5.75
HIE,2021-06-03 04:25,M,M,M,0.00
BOS,2021-06-03 04:25,M,M,M,5.75
HIE,2021-06-03 04:30,M,M,M,0.00
BOS,2021-06-03 04:30,M,M,M,5.75
HIE,2021-06-03 04:35,M,M,M,0.00
BOS,2021-06-03 04:35,M,M,M,4.60
HIE,2021-06-03 04:40,M,M,M,0.00
BOS,2021-06-03 04:40,M,M,M,5.75
HIE,2021-06-03 04:45,M,M,M,0.00
BOS,2021-06-03 04:45,M,M,M,4.60
