"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"05/05/2018 00:00:00","EDT","CAPITL",61757,995.1
"05/05/2018 00:00:00","EDT","CENTRL",61754,1412.2
"05/05/2018 00:00:00","EDT","DUNWOD",61760,606.9
"05/05/2018 00:00:00","EDT","GENESE",61753,825.1
"05/05/2018 00:00:00","EDT","HUD VL",61758,950
"05/05/2018 00:00:00","EDT","LONGIL",61762,1935.5
"05/05/2018 00:00:00","EDT","MHK VL",61756,592.7
"05/05/2018 00:00:00","EDT","MILLWD",61759,250.7
"05/05/2018 00:00:00","EDT","N.Y.C.",61761,5802.8
"05/05/2018 00:00:00","EDT","NORTH",61755,372.4
"05/05/2018 00:00:00","EDT","WEST",61752,1400.1
"05/05/2018 01:00:00","EDT","CAPITL",61757,924.9
"05/05/2018 01:00:00","EDT","CENTRL",61754,1370.5
"05/05/2018 01:00:00","EDT","DUNWOD",61760,565.5
"05/05/2018 01:00:00","EDT","GENESE",61753,790.6
"05/05/2018 01:00:00","EDT","HUD VL",61758,866.4
"05/05/2018 01:00:00","EDT","LONGIL",61762,1826.3
"05/05/2018 01:00:00","EDT","MHK VL",61756,575.4
"05/05/2018 01:00:00","EDT","MILLWD",61759,233.5
"05/05/2018 01:00:00","EDT","N.Y.C.",61761,5460.5
"05/05/2018 01:00:00","EDT","NORTH",61755,394.3
"05/05/2018 01:00:00","EDT","WEST",61752,1359.1
"05/05/2018 02:00:00","EDT","CAPITL",61757,887.6
"05/05/2018 02:00:00","EDT","CENTRL",61754,1358.2
"05/05/2018 02:00:00","EDT","DUNWOD",61760,528.3
"05/05/2018 02:00:00","EDT","GENESE",61753,765.3
"05/05/2018 02:00:00","EDT","HUD VL",61758,813
"05/05/2018 02:00:00","EDT","LONGIL",61762,1733.1
"05/05/2018 02:00:00","EDT","MHK VL",61756,571.1
"05/05/2018 02:00:00","EDT","MILLWD",61759,220.2
"05/05/2018 02:00:00","EDT","N.Y.C.",61761,5115.3
"05/05/2018 02:00:00","EDT","NORTH",61755,399.4
"05/05/2018 02:00:00","EDT","WEST",61752,1336.5
"05/05/2018 03:00:00","EDT","CAPITL",61757,872.1
"05/05/2018 03:00:00","EDT","CENTRL",61754,1358.3
"05/05/2018 03:00:00","EDT","DUNWOD",61760,505.1
"05/05/2018 03:00:00","EDT","GENESE",61753,754.4
"05/05/2018 03:00:00","EDT","HUD VL",61758,779.7
"05/05/2018 03:00:00","EDT","LONGIL",61762,1673.6
"05/05/2018 03:00:00","EDT","MHK VL",61756,570.7
"05/05/2018 03:00:00","EDT","MILLWD",61759,213.7
"05/05/2018 03:00:00","EDT","N.Y.C.",61761,4914.9
"05/05/2018 03:00:00","EDT","NORTH",61755,408.5
"05/05/2018 03:00:00","EDT","WEST",61752,1322
"05/05/2018 04:00:00","EDT","CAPITL",61757,871.9
"05/05/2018 04:00:00","EDT","CENTRL",61754,1358.2
"05/05/2018 04:00:00","EDT","DUNWOD",61760,486
"05/05/2018 04:00:00","EDT","GENESE",61753,757.4
"05/05/2018 04:00:00","EDT","HUD VL",61758,764.2
"05/05/2018 04:00:00","EDT","LONGIL",61762,1647.2
"05/05/2018 04:00:00","EDT","MHK VL",61756,593.1
"05/05/2018 04:00:00","EDT","MILLWD",61759,209.5
"05/05/2018 04:00:00","EDT","N.Y.C.",61761,4772.6
"05/05/2018 04:00:00","EDT","NORTH",61755,393.8
"05/05/2018 04:00:00","EDT","WEST",61752,1329.1
"05/05/2018 05:00:00","EDT","CAPITL",61757,895.4
"05/05/2018 05:00:00","EDT","CENTRL",61754,1394.9
"05/05/2018 05:00:00","EDT","DUNWOD",61760,478.3
"05/05/2018 05:00:00","EDT","GENESE",61753,782.4
"05/05/2018 05:00:00","EDT","HUD VL",61758,767.7
"05/05/2018 05:00:00","EDT","LONGIL",61762,1656.7
"05/05/2018 05:00:00","EDT","MHK VL",61756,603.4
"05/05/2018 05:00:00","EDT","MILLWD",61759,210.3
"05/05/2018 05:00:00","EDT","N.Y.C.",61761,4721.2
"05/05/2018 05:00:00","EDT","NORTH",61755,389.7
"05/05/2018 05:00:00","EDT","WEST",61752,1357.3
"05/05/2018 06:00:00","EDT","CAPITL",61757,931.5
"05/05/2018 06:00:00","EDT","CENTRL",61754,1444.5
"05/05/2018 06:00:00","EDT","DUNWOD",61760,479.3
"05/05/2018 06:00:00","EDT","GENESE",61753,801.9
"05/05/2018 06:00:00","EDT","HUD VL",61758,779.7
"05/05/2018 06:00:00","EDT","LONGIL",61762,1675.8
"05/05/2018 06:00:00","EDT","MHK VL",61756,628.3
"05/05/2018 06:00:00","EDT","MILLWD",61759,214.2
"05/05/2018 06:00:00","EDT","N.Y.C.",61761,4768.9
"05/05/2018 06:00:00","EDT","NORTH",61755,391.5
"05/05/2018 06:00:00","EDT","WEST",61752,1380.3
"05/05/2018 07:00:00","EDT","CAPITL",61757,994.4
"05/05/2018 07:00:00","EDT","CENTRL",61754,1509.3
"05/05/2018 07:00:00","EDT","DUNWOD",61760,503.1
"05/05/2018 07:00:00","EDT","GENESE",61753,853.9
