"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"02/02/2018 00:00:00","EST","CAPITL",61757,1253.1
"02/02/2018 00:00:00","EST","CENTRL",61754,1792.1
"02/02/2018 00:00:00","EST","DUNWOD",61760,527.4
"02/02/2018 00:00:00","EST","GENESE",61753,1035.3
"02/02/2018 00:00:00","EST","HUD VL",61758,967.3
"02/02/2018 00:00:00","EST","LONGIL",61762,1906.6
"02/02/2018 00:00:00","EST","MHK VL",61756,891.3
"02/02/2018 00:00:00","EST","MILLWD",61759,293.4
"02/02/2018 00:00:00","EST","N.Y.C.",61761,4921
"02/02/2018 00:00:00","EST","NORTH",61755,548.7
"02/02/2018 00:00:00","EST","WEST",61752,1717.9
"02/02/2018 01:00:00","EST","CAPITL",61757,1243
"02/02/2018 01:00:00","EST","CENTRL",61754,1771.4
"02/02/2018 01:00:00","EST","DUNWOD",61760,510.4
"02/02/2018 01:00:00","EST","GENESE",61753,1018.1
"02/02/2018 01:00:00","EST","HUD VL",61758,936.3
"02/02/2018 01:00:00","EST","LONGIL",61762,1829.4
"02/02/2018 01:00:00","EST","MHK VL",61756,880.7
"02/02/2018 01:00:00","EST","MILLWD",61759,279
"02/02/2018 01:00:00","EST","N.Y.C.",61761,4737.2
"02/02/2018 01:00:00","EST","NORTH",61755,547.2
"02/02/2018 01:00:00","EST","WEST",61752,1690.6
"02/02/2018 02:00:00","EST","CAPITL",61757,1241
"02/02/2018 02:00:00","EST","CENTRL",61754,1763.2
"02/02/2018 02:00:00","EST","DUNWOD",61760,500.6
"02/02/2018 02:00:00","EST","GENESE",61753,1011.3
"02/02/2018 02:00:00","EST","HUD VL",61758,925.6
"02/02/2018 02:00:00","EST","LONGIL",61762,1790.8
"02/02/2018 02:00:00","EST","MHK VL",61756,858.3
"02/02/2018 02:00:00","EST","MILLWD",61759,275.8
"02/02/2018 02:00:00","EST","N.Y.C.",61761,4631.9
"02/02/2018 02:00:00","EST","NORTH",61755,550.8
