"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"03/16/2020 00:00:00","EDT","CAPITL",61757,1102.7
"03/16/2020 00:00:00","EDT","CENTRL",61754,1578.1
"03/16/2020 00:00:00","EDT","DUNWOD",61760,511.5
"03/16/2020 00:00:00","EDT","GENESE",61753,937
"03/16/2020 00:00:00","EDT","HUD VL",61758,861.8
"03/16/2020 00:00:00","EDT","LONGIL",61762,1742.4
"03/16/2020 00:00:00","EDT","MHK VL",61756,733.6
"03/16/2020 00:00:00","EDT","MILLWD",61759,254.1
"03/16/2020 00:00:00","EDT","N.Y.C.",61761,4439.8
"03/16/2020 00:00:00","EDT","NORTH",61755,603.6
"03/16/2020 00:00:00","EDT","WEST",61752,1507.5
"03/16/2020 01:00:00","EDT","CAPITL",61757,1080.2
"03/16/2020 01:00:00","EDT","CENTRL",61754,1565.6
"03/16/2020 01:00:00","EDT","DUNWOD",61760,496.5
"03/16/2020 01:00:00","EDT","GENESE",61753,921.3
"03/16/2020 01:00:00","EDT","HUD VL",61758,840.5
"03/16/2020 01:00:00","EDT","LONGIL",61762,1680.1
"03/16/2020 01:00:00","EDT","MHK VL",61756,731.7
"03/16/2020 01:00:00","EDT","MILLWD",61759,251.1
"03/16/2020 01:00:00","EDT","N.Y.C.",61761,4276.2
"03/16/2020 01:00:00","EDT","NORTH",61755,578.4
"03/16/2020 01:00:00","EDT","WEST",61752,1496.4
"03/16/2020 02:00:00","EDT","CAPITL",61757,1075.6
"03/16/2020 02:00:00","EDT","CENTRL",61754,1571.6
"03/16/2020 02:00:00","EDT","DUNWOD",61760,484.7
"03/16/2020 02:00:00","EDT","GENESE",61753,916
"03/16/2020 02:00:00","EDT","HUD VL",61758,837.3
"03/16/2020 02:00:00","EDT","LONGIL",61762,1648.6
"03/16/2020 02:00:00","EDT","MHK VL",61756,729.2
"03/16/2020 02:00:00","EDT","MILLWD",61759,249.1
"03/16/2020 02:00:00","EDT","N.Y.C.",61761,4177
"03/16/2020 02:00:00","EDT","NORTH",61755,583.2
"03/16/2020 02:00:00","EDT","WEST",61752,1485.8
"03/16/2020 03:00:00","EDT","CAPITL",61757,1087.2
"03/16/2020 03:00:00","EDT","CENTRL",61754,1586.4
"03/16/2020 03:00:00","EDT","DUNWOD",61760,481.2
"03/16/2020 03:00:00","EDT","GENESE",61753,923.8
"03/16/2020 03:00:00","EDT","HUD VL",61758,838.2
"03/16/2020 03:00:00","EDT","LONGIL",61762,1645.2
"03/16/2020 03:00:00","EDT","MHK VL",61756,733.3
"03/16/2020 03:00:00","EDT","MILLWD",61759,253.1
"03/16/2020 03:00:00","EDT","N.Y.C.",61761,4136
"03/16/2020 03:00:00","EDT","NORTH",61755,604.2
"03/16/2020 03:00:00","EDT","WEST",61752,1490.3
"03/16/2020 04:00:00","EDT","CAPITL",61757,1111.5
"03/16/2020 04:00:00","EDT","CENTRL",61754,1631.6
"03/16/2020 04:00:00","EDT","DUNWOD",61760,490
"03/16/2020 04:00:00","EDT","GENESE",61753,950.2
"03/16/2020 04:00:00","EDT","HUD VL",61758,853.2
"03/16/2020 04:00:00","EDT","LONGIL",61762,1688
"03/16/2020 04:00:00","EDT","MHK VL",61756,757.8
"03/16/2020 04:00:00","EDT","MILLWD",61759,264.5
"03/16/2020 04:00:00","EDT","N.Y.C.",61761,4182.6
"03/16/2020 04:00:00","EDT","NORTH",61755,610.7
"03/16/2020 04:00:00","EDT","WEST",61752,1523.4
"03/16/2020 05:00:00","EDT","CAPITL",61757,1190.8
"03/16/2020 05:00:00","EDT","CENTRL",61754,1723.5
"03/16/2020 05:00:00","EDT","DUNWOD",61760,524.4
"03/16/2020 05:00:00","EDT","GENESE",61753,1031.9
"03/16/2020 05:00:00","EDT","HUD VL",61758,908.9
"03/16/2020 05:00:00","EDT","LONGIL",61762,1798
"03/16/2020 05:00:00","EDT","MHK VL",61756,821.1
"03/16/2020 05:00:00","EDT","MILLWD",61759,277.3
"03/16/2020 05:00:00","EDT","N.Y.C.",61761,4409.2
"03/16/2020 05:00:00","EDT","NORTH",61755,608.8
"03/16/2020 05:00:00","EDT","WEST",61752,1613.7
"03/16/2020 06:00:00","EDT","CAPITL",61757,1313.9
"03/16/2020 06:00:00","EDT","CENTRL",61754,1935.3
"03/16/2020 06:00:00","EDT","DUNWOD",61760,570.5
"03/16/2020 06:00:00","EDT","GENESE",61753,1131.2
"03/16/2020 06:00:00","EDT","HUD VL",61758,997.1
"03/16/2020 06:00:00","EDT","LONGIL",61762,1982.5
"03/16/2020 06:00:00","EDT","MHK VL",61756,880
"03/16/2020 06:00:00","EDT","MILLWD",61759,298.4
"03/16/2020 06:00:00","EDT","N.Y.C.",61761,4824
"03/16/2020 06:00:00","EDT","NORTH",61755,599.2
"03/16/2020 06:00:00","EDT","WEST",61752,1747.2
"03/16/2020 07:00:00","EDT","CAPITL",61757,1392.8
"03/16/2020 07:00:00","EDT","CENTRL",61754,2033.8
"03/16/2020 07:00:00","EDT","DUNWOD",61760,621.4
"03/16/2020 07:00:00","EDT","GENESE",61753,1193.6
"03/16/2020 07:00:00","EDT","HUD VL",61758,1063.5
"03/16/2020 07:00:00","EDT","LONGIL",61762,2105.4
"03/16/2020 07:00:00","EDT","MHK VL",61756,917.5
"03/16/2020 07:00:00","EDT","MILLWD",61759,316.5
"03/16/2020 07:00:00","EDT","N.Y.C.",61761,5241.9
"03/16/2020 07:00:00","EDT","NORTH",61755,613.9
"03/16/2020 07:00:00","EDT","WEST",61752,1808.6
"03/16/2020 08:00:00","EDT","CAPITL",61757,1362.2
"03/16/2020 08:00:00","EDT","CENTRL",61754,2003
"03/16/2020 08:00:00","EDT","DUNWOD",61760,637.5
"03/16/2020 08:00:00","EDT","GENESE",61753,1190.3
"03/16/2020 08:00:00","EDT","HUD VL",61758,1060.4
"03/16/2020 08:00:00","EDT","LONGIL",61762,2110.6
"03/16/2020 08:00:00","EDT","MHK VL",61756,903.3
"03/16/2020 08:00:00","EDT","MILLWD",61759,324.1
"03/16/2020 08:00:00","EDT","N.Y.C.",61761,5555
"03/16/2020 08:00:00","EDT","NORTH",61755,611.1
"03/16/2020 08:00:00","EDT","WEST",61752,1806.7
"03/16/2020 09:00:00","EDT","CAPITL",61757,1288.8
"03/16/2020 09:00:00","EDT","CENTRL",61754,1924.3
"03/16/2020 09:00:00","EDT","DUNWOD",61760,648.3
"03/16/2020 09:00:00","EDT","GENESE",61753,1155.9
"03/16/2020 09:00:00","EDT","HUD VL",61758,1003.5
"03/16/2020 09:00:00","EDT","LONGIL",61762,2054.4
"03/16/2020 09:00:00","EDT","MHK VL",61756,884.6
"03/16/2020 09:00:00","EDT","MILLWD",61759,324.8
"03/16/2020 09:00:00","EDT","N.Y.C.",61761,5723.5
"03/16/2020 09:00:00","EDT","NORTH",61755,629.5
"03/16/2020 09:00:00","EDT","WEST",61752,1798.6
"03/16/2020 10:00:00","EDT","CAPITL",61757,1235.3
"03/16/2020 10:00:00","EDT","CENTRL",61754,1867.4
"03/16/2020 10:00:00","EDT","DUNWOD",61760,655.9
"03/16/2020 10:00:00","EDT","GENESE",61753,1128.7
"03/16/2020 10:00:00","EDT","HUD VL",61758,957.9
"03/16/2020 10:00:00","EDT","LONGIL",61762,2007.7
"03/16/2020 10:00:00","EDT","MHK VL",61756,862.1
"03/16/2020 10:00:00","EDT","MILLWD",61759,326.7
"03/16/2020 10:00:00","EDT","N.Y.C.",61761,5777.9
"03/16/2020 10:00:00","EDT","NORTH",61755,627.1
"03/16/2020 10:00:00","EDT","WEST",61752,1791.7
"03/16/2020 11:00:00","EDT","CAPITL",61757,1204.6
"03/16/2020 11:00:00","EDT","CENTRL",61754,1825.8
"03/16/2020 11:00:00","EDT","DUNWOD",61760,659.7
"03/16/2020 11:00:00","EDT","GENESE",61753,1116.4
"03/16/2020 11:00:00","EDT","HUD VL",61758,928.9
"03/16/2020 11:00:00","EDT","LONGIL",61762,1999
"03/16/2020 11:00:00","EDT","MHK VL",61756,853.5
"03/16/2020 11:00:00","EDT","MILLWD",61759,327.8
"03/16/2020 11:00:00","EDT","N.Y.C.",61761,5807
"03/16/2020 11:00:00","EDT","NORTH",61755,618.6
"03/16/2020 11:00:00","EDT","WEST",61752,1791.5
"03/16/2020 12:00:00","EDT","CAPITL",61757,1167.2
"03/16/2020 12:00:00","EDT","CENTRL",61754,1785.9
"03/16/2020 12:00:00","EDT","DUNWOD",61760,655.5
"03/16/2020 12:00:00","EDT","GENESE",61753,1097.4
"03/16/2020 12:00:00","EDT","HUD VL",61758,911.9
"03/16/2020 12:00:00","EDT","LONGIL",61762,1953
"03/16/2020 12:00:00","EDT","MHK VL",61756,832.3
"03/16/2020 12:00:00","EDT","MILLWD",61759,322.2
"03/16/2020 12:00:00","EDT","N.Y.C.",61761,5818.4
"03/16/2020 12:00:00","EDT","NORTH",61755,598.2
