"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"10/04/2020 00:00:00","EDT","CAPITL",61757,1128.4731
"10/04/2020 00:00:00","EDT","CENTRL",61754,1378.0476
"10/04/2020 00:00:00","EDT","DUNWOD",61760,475.8131
"10/04/2020 00:00:00","EDT","GENESE",61753,826.3657
"10/04/2020 00:00:00","EDT","HUD VL",61758,798.1979
"10/04/2020 00:00:00","EDT","LONGIL",61762,1640.5528
"10/04/2020 00:00:00","EDT","MHK VL",61756,660.181
"10/04/2020 00:00:00","EDT","MILLWD",61759,218.4322
"10/04/2020 00:00:00","EDT","N.Y.C.",61761,4177.894
"10/04/2020 00:00:00","EDT","NORTH",61755,506.2059
"10/04/2020 00:00:00","EDT","WEST",61752,1367.6235
"10/04/2020 01:00:00","EDT","CAPITL",61757,1091.1341
"10/04/2020 01:00:00","EDT","CENTRL",61754,1342.3977
"10/04/2020 01:00:00","EDT","DUNWOD",61760,458.221
"10/04/2020 01:00:00","EDT","GENESE",61753,799.31
"10/04/2020 01:00:00","EDT","HUD VL",61758,764.6123
"10/04/2020 01:00:00","EDT","LONGIL",61762,1559.5655
"10/04/2020 01:00:00","EDT","MHK VL",61756,630.408
"10/04/2020 01:00:00","EDT","MILLWD",61759,205.3977
"10/04/2020 01:00:00","EDT","N.Y.C.",61761,4004.3542
"10/04/2020 01:00:00","EDT","NORTH",61755,504.1996
"10/04/2020 01:00:00","EDT","WEST",61752,1334.7288
"10/04/2020 02:00:00","EDT","CAPITL",61757,1083.5803
"10/04/2020 02:00:00","EDT","CENTRL",61754,1323.0341
"10/04/2020 02:00:00","EDT","DUNWOD",61760,442.5126
"10/04/2020 02:00:00","EDT","GENESE",61753,780.5435
"10/04/2020 02:00:00","EDT","HUD VL",61758,749.4887
"10/04/2020 02:00:00","EDT","LONGIL",61762,1507.9731
"10/04/2020 02:00:00","EDT","MHK VL",61756,620.137
"10/04/2020 02:00:00","EDT","MILLWD",61759,201.2302
"10/04/2020 02:00:00","EDT","N.Y.C.",61761,3884.5731
"10/04/2020 02:00:00","EDT","NORTH",61755,497.6302
"10/04/2020 02:00:00","EDT","WEST",61752,1312.8713
"10/04/2020 03:00:00","EDT","CAPITL",61757,1077.8748
"10/04/2020 03:00:00","EDT","CENTRL",61754,1313.4863
"10/04/2020 03:00:00","EDT","DUNWOD",61760,434.1812
"10/04/2020 03:00:00","EDT","GENESE",61753,782.0459
"10/04/2020 03:00:00","EDT","HUD VL",61758,740.0967
"10/04/2020 03:00:00","EDT","LONGIL",61762,1486.6547
"10/04/2020 03:00:00","EDT","MHK VL",61756,617.8358
"10/04/2020 03:00:00","EDT","MILLWD",61759,198.8902
"10/04/2020 03:00:00","EDT","N.Y.C.",61761,3801.2426
"10/04/2020 03:00:00","EDT","NORTH",61755,495.5153
"10/04/2020 03:00:00","EDT","WEST",61752,1301.368
"10/04/2020 04:00:00","EDT","CAPITL",61757,1090.3459
"10/04/2020 04:00:00","EDT","CENTRL",61754,1324.0833
"10/04/2020 04:00:00","EDT","DUNWOD",61760,432.0652
"10/04/2020 04:00:00","EDT","GENESE",61753,783.8554
"10/04/2020 04:00:00","EDT","HUD VL",61758,740.2476
"10/04/2020 04:00:00","EDT","LONGIL",61762,1487.7626
"10/04/2020 04:00:00","EDT","MHK VL",61756,630.0255
"10/04/2020 04:00:00","EDT","MILLWD",61759,198.6406
"10/04/2020 04:00:00","EDT","N.Y.C.",61761,3759.7008
"10/04/2020 04:00:00","EDT","NORTH",61755,496.8684
"10/04/2020 04:00:00","EDT","WEST",61752,1301.2193
"10/04/2020 05:00:00","EDT","CAPITL",61757,1108.2397
"10/04/2020 05:00:00","EDT","CENTRL",61754,1342.5338
"10/04/2020 05:00:00","EDT","DUNWOD",61760,439.7775
"10/04/2020 05:00:00","EDT","GENESE",61753,794.2717
"10/04/2020 05:00:00","EDT","HUD VL",61758,752.9548
"10/04/2020 05:00:00","EDT","LONGIL",61762,1508.5597
"10/04/2020 05:00:00","EDT","MHK VL",61756,646.5393
"10/04/2020 05:00:00","EDT","MILLWD",61759,203.0073
"10/04/2020 05:00:00","EDT","N.Y.C.",61761,3788.541
"10/04/2020 05:00:00","EDT","NORTH",61755,501.2226
"10/04/2020 05:00:00","EDT","WEST",61752,1297.7602
"10/04/2020 06:00:00","EDT","CAPITL",61757,1144.9075
"10/04/2020 06:00:00","EDT","CENTRL",61754,1412.4385
"10/04/2020 06:00:00","EDT","DUNWOD",61760,452.6601
"10/04/2020 06:00:00","EDT","GENESE",61753,832.3137
"10/04/2020 06:00:00","EDT","HUD VL",61758,780.4736
"10/04/2020 06:00:00","EDT","LONGIL",61762,1546.6904
"10/04/2020 06:00:00","EDT","MHK VL",61756,683.8929
"10/04/2020 06:00:00","EDT","MILLWD",61759,212.6465
"10/04/2020 06:00:00","EDT","N.Y.C.",61761,3870.9522
"10/04/2020 06:00:00","EDT","NORTH",61755,506.1575
"10/04/2020 06:00:00","EDT","WEST",61752,1321.84
"10/04/2020 07:00:00","EDT","CAPITL",61757,1183.5592
"10/04/2020 07:00:00","EDT","CENTRL",61754,1467.3698
"10/04/2020 07:00:00","EDT","DUNWOD",61760,460.5764
"10/04/2020 07:00:00","EDT","GENESE",61753,866.6705
"10/04/2020 07:00:00","EDT","HUD VL",61758,806.6167
"10/04/2020 07:00:00","EDT","LONGIL",61762,1574.662
"10/04/2020 07:00:00","EDT","MHK VL",61756,711.9528
"10/04/2020 07:00:00","EDT","MILLWD",61759,224.178
"10/04/2020 07:00:00","EDT","N.Y.C.",61761,3973.0405
"10/04/2020 07:00:00","EDT","NORTH",61755,517.1634
"10/04/2020 07:00:00","EDT","WEST",61752,1338.2843
"10/04/2020 08:00:00","EDT","CAPITL",61757,1221.1312
"10/04/2020 08:00:00","EDT","CENTRL",61754,1554.501
"10/04/2020 08:00:00","EDT","DUNWOD",61760,482.4581
"10/04/2020 08:00:00","EDT","GENESE",61753,902.4554
"10/04/2020 08:00:00","EDT","HUD VL",61758,835.5617
"10/04/2020 08:00:00","EDT","LONGIL",61762,1621.6021
"10/04/2020 08:00:00","EDT","MHK VL",61756,730.355
"10/04/2020 08:00:00","EDT","MILLWD",61759,240.6181
"10/04/2020 08:00:00","EDT","N.Y.C.",61761,4128.7705
"10/04/2020 08:00:00","EDT","NORTH",61755,531.7683
"10/04/2020 08:00:00","EDT","WEST",61752,1369.4783
"10/04/2020 09:00:00","EDT","CAPITL",61757,1224.3259
"10/04/2020 09:00:00","EDT","CENTRL",61754,1590.8012
"10/04/2020 09:00:00","EDT","DUNWOD",61760,499.7463
"10/04/2020 09:00:00","EDT","GENESE",61753,927.6238
"10/04/2020 09:00:00","EDT","HUD VL",61758,843.2365
"10/04/2020 09:00:00","EDT","LONGIL",61762,1636.9174
"10/04/2020 09:00:00","EDT","MHK VL",61756,751.3737
"10/04/2020 09:00:00","EDT","MILLWD",61759,254.7693
"10/04/2020 09:00:00","EDT","N.Y.C.",61761,4298.9869
"10/04/2020 09:00:00","EDT","NORTH",61755,536.8576
"10/04/2020 09:00:00","EDT","WEST",61752,1391.9893
"10/04/2020 10:00:00","EDT","CAPITL",61757,1225.786
"10/04/2020 10:00:00","EDT","CENTRL",61754,1595.4595
"10/04/2020 10:00:00","EDT","DUNWOD",61760,517.5527
"10/04/2020 10:00:00","EDT","GENESE",61753,937.5002
"10/04/2020 10:00:00","EDT","HUD VL",61758,815.6662
"10/04/2020 10:00:00","EDT","LONGIL",61762,1633.8068
"10/04/2020 10:00:00","EDT","MHK VL",61756,740.2128
"10/04/2020 10:00:00","EDT","MILLWD",61759,256.7728
"10/04/2020 10:00:00","EDT","N.Y.C.",61761,4433.9222
"10/04/2020 10:00:00","EDT","NORTH",61755,525.6018
"10/04/2020 10:00:00","EDT","WEST",61752,1400.7126
"10/04/2020 11:00:00","EDT","CAPITL",61757,1279.1135
"10/04/2020 11:00:00","EDT","CENTRL",61754,1578.5071
"10/04/2020 11:00:00","EDT","DUNWOD",61760,532.8118
"10/04/2020 11:00:00","EDT","GENESE",61753,949.0809
"10/04/2020 11:00:00","EDT","HUD VL",61758,802.1021
"10/04/2020 11:00:00","EDT","LONGIL",61762,1678.9719
"10/04/2020 11:00:00","EDT","MHK VL",61756,725.9722
"10/04/2020 11:00:00","EDT","MILLWD",61759,259.6711
