"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"09/06/2020 00:00:00","EDT","CAPITL",61757,1141.975
"09/06/2020 00:00:00","EDT","CENTRL",61754,1401.5713
"09/06/2020 00:00:00","EDT","DUNWOD",61760,612.253
"09/06/2020 00:00:00","EDT","GENESE",61753,862.8365
"09/06/2020 00:00:00","EDT","HUD VL",61758,882.2773
"09/06/2020 00:00:00","EDT","LONGIL",61762,2224.2851
"09/06/2020 00:00:00","EDT","MHK VL",61756,641.3255
"09/06/2020 00:00:00","EDT","MILLWD",61759,251.8528
"09/06/2020 00:00:00","EDT","N.Y.C.",61761,5270.9661
"09/06/2020 00:00:00","EDT","NORTH",61755,494.5074
"09/06/2020 00:00:00","EDT","WEST",61752,1333.534
"09/06/2020 01:00:00","EDT","CAPITL",61757,1105.2558
"09/06/2020 01:00:00","EDT","CENTRL",61754,1353.0585
"09/06/2020 01:00:00","EDT","DUNWOD",61760,581.5302
"09/06/2020 01:00:00","EDT","GENESE",61753,826.6576
"09/06/2020 01:00:00","EDT","HUD VL",61758,835.0738
"09/06/2020 01:00:00","EDT","LONGIL",61762,2090.5823
"09/06/2020 01:00:00","EDT","MHK VL",61756,609.1322
"09/06/2020 01:00:00","EDT","MILLWD",61759,236.9537
"09/06/2020 01:00:00","EDT","N.Y.C.",61761,5069.6252
"09/06/2020 01:00:00","EDT","NORTH",61755,491.3672
"09/06/2020 01:00:00","EDT","WEST",61752,1291.9454
"09/06/2020 02:00:00","EDT","CAPITL",61757,1082.3359
"09/06/2020 02:00:00","EDT","CENTRL",61754,1322.8393
"09/06/2020 02:00:00","EDT","DUNWOD",61760,555.0645
"09/06/2020 02:00:00","EDT","GENESE",61753,805.3558
"09/06/2020 02:00:00","EDT","HUD VL",61758,802.1958
"09/06/2020 02:00:00","EDT","LONGIL",61762,1998.3156
"09/06/2020 02:00:00","EDT","MHK VL",61756,597.8476
"09/06/2020 02:00:00","EDT","MILLWD",61759,229.1418
"09/06/2020 02:00:00","EDT","N.Y.C.",61761,4889.7666
"09/06/2020 02:00:00","EDT","NORTH",61755,487.6235
"09/06/2020 02:00:00","EDT","WEST",61752,1271.2742
"09/06/2020 03:00:00","EDT","CAPITL",61757,1067.8274
"09/06/2020 03:00:00","EDT","CENTRL",61754,1307.3225
"09/06/2020 03:00:00","EDT","DUNWOD",61760,535.3471
"09/06/2020 03:00:00","EDT","GENESE",61753,796.679
"09/06/2020 03:00:00","EDT","HUD VL",61758,782.4006
"09/06/2020 03:00:00","EDT","LONGIL",61762,1930.0868
"09/06/2020 03:00:00","EDT","MHK VL",61756,593.9852
"09/06/2020 03:00:00","EDT","MILLWD",61759,219.8847
"09/06/2020 03:00:00","EDT","N.Y.C.",61761,4763.4935
"09/06/2020 03:00:00","EDT","NORTH",61755,483.2364
"09/06/2020 03:00:00","EDT","WEST",61752,1257.4019
"09/06/2020 04:00:00","EDT","CAPITL",61757,1066.2217
"09/06/2020 04:00:00","EDT","CENTRL",61754,1305.7234
"09/06/2020 04:00:00","EDT","DUNWOD",61760,522.4443
"09/06/2020 04:00:00","EDT","GENESE",61753,786.1492
"09/06/2020 04:00:00","EDT","HUD VL",61758,775.4668
"09/06/2020 04:00:00","EDT","LONGIL",61762,1896.9885
"09/06/2020 04:00:00","EDT","MHK VL",61756,587.8416
"09/06/2020 04:00:00","EDT","MILLWD",61759,217.0037
"09/06/2020 04:00:00","EDT","N.Y.C.",61761,4683.6497
"09/06/2020 04:00:00","EDT","NORTH",61755,483.882
"09/06/2020 04:00:00","EDT","WEST",61752,1249.2152
"09/06/2020 05:00:00","EDT","CAPITL",61757,1079.8453
"09/06/2020 05:00:00","EDT","CENTRL",61754,1308.671
"09/06/2020 05:00:00","EDT","DUNWOD",61760,519.085
"09/06/2020 05:00:00","EDT","GENESE",61753,793.2962
"09/06/2020 05:00:00","EDT","HUD VL",61758,777.0226
"09/06/2020 05:00:00","EDT","LONGIL",61762,1891.7807
"09/06/2020 05:00:00","EDT","MHK VL",61756,597.1082
"09/06/2020 05:00:00","EDT","MILLWD",61759,217.0187
"09/06/2020 05:00:00","EDT","N.Y.C.",61761,4675.403
"09/06/2020 05:00:00","EDT","NORTH",61755,487.7921
"09/06/2020 05:00:00","EDT","WEST",61752,1254.5668
"09/06/2020 06:00:00","EDT","CAPITL",61757,1090.5461
"09/06/2020 06:00:00","EDT","CENTRL",61754,1331.6668
"09/06/2020 06:00:00","EDT","DUNWOD",61760,519.8715
"09/06/2020 06:00:00","EDT","GENESE",61753,801.1814
"09/06/2020 06:00:00","EDT","HUD VL",61758,785.5487
"09/06/2020 06:00:00","EDT","LONGIL",61762,1888.2666
"09/06/2020 06:00:00","EDT","MHK VL",61756,603.226
"09/06/2020 06:00:00","EDT","MILLWD",61759,220.0088
"09/06/2020 06:00:00","EDT","N.Y.C.",61761,4694.566
"09/06/2020 06:00:00","EDT","NORTH",61755,492.999
