,0
462,Fort Bend
463,Fort Bend
464,Harris
465,Harris
466,Harris
467,Harris
468,Harris
469,Harris
470,Harris
471,Harris
472,Harris
473,Harris
474,Harris
475,Montgomery
476,Harris
477,Harris
478,Harris
479,Harris
480,Harris
481,Harris
482,Calhoun
483,Calhoun
484,Victoria
485,Harris
486,Harris
487,Galveston
488,Galveston
489,Galveston
490,Galveston
491,Galveston
492,Galveston
493,Galveston
494,Galveston
495,Galveston
496,Galveston
497,Galveston
498,Brazoria
499,Brazoria
500,Brazoria
501,Brazoria
502,Brazoria
503,Brazoria
504,Brazoria
505,Brazoria
506,Brazoria
507,Brazoria
508,Brazoria
509,Angelina
510,Grimes
511,Grimes
512,Grimes
513,Grimes
514,Freestone
515,Freestone
516,Freestone
517,Freestone
518,Freestone
519,Freestone
520,Freestone
521,Freestone
522,Limestone
523,Limestone
524,Rusk
525,Rusk
526,Rusk
527,Rusk
528,Robertson
529,Robertson
530,Nacogdoches
531,Cherokee
532,Cherokee
533,Cherokee
534,Titus
535,Titus
536,Titus
537,Henderson
538,Henderson
539,Brazos
540,Robertson
541,Robertson
542,Brazos
543,Brazos
544,Grayson
545,Val Verde
546,Guadalupe
547,Hill
548,Wharton
549,Hood
550,Wharton
551,Wharton
552,Hood
553,Hood
554,Winkler
555,Pecos
556,Pecos
557,Upton
558,Upton
559,Pecos
560,Pecos
561,Dawson
562,Ward
563,Andrews
564,Pecos
565,Presidio
566,Dawson
567,Coke
568,Foard
569,Irion
570,Irion
571,Borden
572,Webb
573,Crockett
574,Borden
575,Haskell
576,Zapata
577,Nueces
578,Willacy
579,Nueces
580,Carson
581,Starr
582,Kenedy
583,Wilbarger
584,Mills
585,San Patricio
586,Schleicher
587,Glasscock
588,Wilbarger
589,Carson
590,San Patricio
591,Concho
592,Borden
593,Borden
594,Dickens
595,Tom Green
596,Val Verde
597,Crosby
598,Harris
599,San Patricio
600,Nacogdoches
601,Cottle
602,Haskell
603,Webb
604,Bell
605,Matagorda
